[2021-09-28 16:16:32] [INFO] [common.py:74] <module>: Initializing the common module.
[2021-09-28 16:16:32] [INFO] [common.py:134] <module>: Changing the recursion limit from 1000 to 1000000 at the user's request.
[2021-09-28 16:16:32] [INFO] [project.py:33] <module>: Loading libclang from "/usr/lib/x86_64-linux-gnu/libclang-10.so.1".
[2021-09-28 16:16:32] [INFO] [project.py:42] <module>: Loaded libclang successfully.
[2021-09-28 16:16:32] [INFO] [database.py:34] __init__: Connecting to the database with the following configurations: {'host': '127.0.0.1', 'port': '3306', 'user': 'admin', 'password': '', 'database': 'software', 'sql_mode': 'ONLY_FULL_GROUP_BY,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'}
[2021-09-28 16:16:32] [INFO] [database.py:42] __init__: Autocommit is False.
[2021-09-28 16:16:32] [INFO] [insert_alerts_in_database.py:40] insert_alerts_in_database: Found the following SATs: {'Cppcheck': 1, 'Flawfinder': 2}
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Glibc" (glibc).
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Apache HTTP Server" (apache).
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Xen" (xen).
[2021-09-28 16:16:32] [INFO] [project.py:126] get_project_list_from_config: Loading the project "Linux Kernel" (kernel) with the following configurations: {'short_name': 'kernel', 'database_id': 2, 'database_name': 'kernel', 'github_data_name': 'linux', 'vendor_id': 33, 'product_id': 47, 'url_pattern': 'linux|kernel|redhat', 'master_branch': 'master', 'language': 'c', 'include_directory_path': 'include', 'repository_path': '/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/linux', 'output_directory_path': 'output/final', 'scrape_all_branches': False}
[2021-09-28 16:16:32] [INFO] [project.py:87] __init__: Loaded the project "Linux Kernel" located in "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/linux".
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Mozilla" (mozilla).
[2021-09-28 16:16:33] [INFO] [sats.py:224] __init__: Loaded Cppcheck version 1.90.
[2021-09-28 16:16:33] [INFO] [sats.py:335] __init__: Loaded Flawfinder version 2.0.10.
[2021-09-28 16:16:33] [INFO] [sats.py:105] get_sat_info_from_config: Ignoring the SAT "Cppcheck".
[2021-09-28 16:16:33] [INFO] [insert_alerts_in_database.py:95] insert_alerts_in_database: Starting the insertion of 1459 CSV alert files.
[2021-09-28 16:16:33] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 1 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-96-0d0826019e529f21c84687521d03f60cd241ca7d.csv.zip" (after).
[2021-09-28 17:06:17] [INFO] [insert_alerts_in_database.py:136] insert_alerts_in_database: Skipping the alerts for the commit f54e18f1b831c92f6512d2eedb224cd63d607d3d (before, "flawfinder-69-f54e18f1b831c92f6512d2eedb224cd63d607d3d-1.csv.zip") in the project "Linux Kernel" since they already exist.
[2021-09-28 17:06:17] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 3 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-95-d3217b15a19a4779c39b212358a5c71d725822ee.csv.zip" (after).
[2021-09-28 17:55:12] [INFO] [insert_alerts_in_database.py:136] insert_alerts_in_database: Skipping the alerts for the commit fbe1bf140671619508dfa575d74a185ae53c5dbb (before, "flawfinder-68-fbe1bf140671619508dfa575d74a185ae53c5dbb-1.csv.zip") in the project "Linux Kernel" since they already exist.
[2021-09-28 17:55:12] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 5 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-94-3cf521f7dc87c031617fd47e4b7aa2593c2f3daf.csv.zip" (after).
[2021-09-28 18:43:56] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 6 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-678-6352a29305373ae6196491e6d4669f301e26492e-1.csv.zip" (before).
[2021-09-28 19:06:58] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 7 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-93-4442dc8a92b8f9ad8ee9e7f8438f4c04c03a22dc.csv.zip" (after).
[2021-09-28 19:56:52] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 8 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-677-6b4dbcd86a9d464057fcc7abe4d0574093071fcc-1.csv.zip" (before).
[2021-09-28 20:19:55] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 9 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-92-295dc39d941dc2ae53d5c170365af4c9d5c16212.csv.zip" (after).
[2021-09-28 21:12:42] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 10 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-676-3440625d78711bee41a84cf29c3d8c579b522666-1.csv.zip" (before).
