[2021-10-01 03:10:01] [INFO] [common.py:74] <module>: Initializing the common module.
[2021-10-01 03:10:01] [INFO] [common.py:134] <module>: Changing the recursion limit from 1000 to 1000000 at the user's request.
[2021-10-01 03:10:02] [INFO] [project.py:33] <module>: Loading libclang from "/usr/lib/x86_64-linux-gnu/libclang-10.so.1".
[2021-10-01 03:10:02] [INFO] [project.py:42] <module>: Loaded libclang successfully.
[2021-10-01 03:10:02] [INFO] [database.py:34] __init__: Connecting to the database with the following configurations: {'host': '127.0.0.1', 'port': '3306', 'user': 'admin', 'password': '', 'database': 'software', 'sql_mode': 'ONLY_FULL_GROUP_BY,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'}
[2021-10-01 03:10:02] [INFO] [database.py:42] __init__: Autocommit is False.
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:41] insert_alerts_in_database: Found the following SATs: {'Cppcheck': 1, 'Flawfinder': 2}
[2021-10-01 03:10:02] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Glibc" (glibc).
[2021-10-01 03:10:02] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Apache HTTP Server" (apache).
[2021-10-01 03:10:02] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Xen" (xen).
[2021-10-01 03:10:02] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Linux Kernel" (kernel).
[2021-10-01 03:10:02] [INFO] [project.py:126] get_project_list_from_config: Loading the project "Mozilla" (mozilla) with the following configurations: {'short_name': 'mozilla', 'database_id': 1, 'database_name': 'mozilla', 'github_data_name': 'mozilla', 'vendor_id': 452, 'product_id': None, 'url_pattern': 'mozilla', 'master_branch': 'master', 'language': 'c++', 'include_directory_path': None, 'repository_path': '/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/gecko-dev', 'output_directory_path': 'output/final', 'scrape_all_branches': False}
[2021-10-01 03:10:02] [INFO] [project.py:87] __init__: Loaded the project "Mozilla" located in "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/gecko-dev".
[2021-10-01 03:10:02] [INFO] [sats.py:224] __init__: Loaded Cppcheck version 1.90.
[2021-10-01 03:10:02] [INFO] [sats.py:335] __init__: Loaded Flawfinder version 2.0.10.
[2021-10-01 03:10:02] [INFO] [sats.py:105] get_sat_info_from_config: Ignoring the SAT "Cppcheck".
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:96] insert_alerts_in_database: Starting the insertion of 7630 CSV alert files.
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 1 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/current_commit/part5/flawfinder-99-48bb8e02c7ac52308ce477028cb0287fac888128.csv.zip" (after).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 2 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/previous_commit/part5/flawfinder-99-48bb8e02c7ac52308ce477028cb0287fac888128-1.csv.zip" (before).
[2021-10-01 03:10:02] [WARNING] [insert_alerts_in_database.py:133] insert_alerts_in_database: Skipping the patch with the commit 1d8cd72e694740f6ad98b0e4de3eb532c2371ba (after, "flawfinder-98-1d8cd72e694740f6ad98b0e4de3eb532c2371ba1.csv.zip") in the project "Mozilla" since it does not exist in the database.
[2021-10-01 03:10:02] [WARNING] [insert_alerts_in_database.py:133] insert_alerts_in_database: Skipping the patch with the commit 1d8cd72e694740f6ad98b0e4de3eb532c2371ba (before, "flawfinder-98-1d8cd72e694740f6ad98b0e4de3eb532c2371ba1-1.csv.zip") in the project "Mozilla" since it does not exist in the database.
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 5 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/current_commit/part5/flawfinder-97-494f074b53c740e0cf5e8ec3fdaceef615202d53.csv.zip" (after).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 6 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/previous_commit/part5/flawfinder-97-494f074b53c740e0cf5e8ec3fdaceef615202d53-1.csv.zip" (before).
[2021-10-01 03:10:02] [WARNING] [insert_alerts_in_database.py:133] insert_alerts_in_database: Skipping the patch with the commit 8c6aa977979c7d57ff039b368df98ccc255d510 (after, "flawfinder-96-8c6aa977979c7d57ff039b368df98ccc255d5101.csv.zip") in the project "Mozilla" since it does not exist in the database.
[2021-10-01 03:10:02] [WARNING] [insert_alerts_in_database.py:133] insert_alerts_in_database: Skipping the patch with the commit 8c6aa977979c7d57ff039b368df98ccc255d510 (before, "flawfinder-96-8c6aa977979c7d57ff039b368df98ccc255d5101-1.csv.zip") in the project "Mozilla" since it does not exist in the database.
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 9 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/current_commit/part5/flawfinder-95-1a2da7cf6b99c56255963ce92a30a5bf85fe9af3.csv.zip" (after).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 10 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/previous_commit/part5/flawfinder-95-1a2da7cf6b99c56255963ce92a30a5bf85fe9af3-1.csv.zip" (before).
