Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,SumCountOutput,AvgCountOutput,MaxCountOutput,CountPath,SumCountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Struct,Arena,Source\memory_and_file_io.h,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,5,0,0,5,0,0,0,0,0,0,0,,,,,9,1,8,6,0,0,0,0,,,,,,,,,5,5,0,0,,,,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0
Struct,Copy_Ese_Files_Params,Source\internet_explorer.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,,,,0,2,0,0,2,0,0,0,0,0,0,0,,,,,5,0,5,3,0,0,0,0,,,,,,,,,2,2,0,0,,,,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0
Struct,Csv_Entry,Source\memory_and_file_io.h,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,2,0,0,2,0,0,0,0,0,0,0,,,,,5,0,5,3,0,0,0,0,,,,,,,,,2,2,0,0,,,,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0
Struct,Custom_Groups,Source\custom_groups.h,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,,,,0,4,0,0,4,0,0,0,0,0,0,0,,,,,8,1,7,5,0,0,0,0,,,,,,,,,4,4,0,0,,,,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0
Struct,Domain,Source\custom_groups.h,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,3,0,0,3,0,0,0,0,0,0,0,,,,,6,0,6,4,0,0,0,0,,,,,,,,,3,3,0,0,,,,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0
Struct,Dos_Date_Time,Source\memory_and_file_io.h,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,2,0,0,2,0,0,0,0,0,0,0,,,,,5,0,5,3,0,0,0,0,,,,,,,,,2,2,0,0,,,,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0
Struct,Exporter,Source\web_cache_exporter.h,0,0,0,17,48,51,0,0,0,0,0,0,0,0,0,3,0,,0,0,,,,,0,45,0,0,45,0,0,0,0,0,0,0,,,,,116,17,48,46,0,51,0,0,,,,,,,,,45,45,0,0,,,,,,0,0,0,0,,0,0,,,,,,0,1,0,0,0,0
Struct,External_Locations,Source\web_cache_exporter.h,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,,,,0,2,0,0,2,0,0,0,0,0,0,0,,,,,5,0,5,3,0,0,0,0,,,,,,,,,2,2,0,0,,,,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0
Struct,File_Signature,Source\custom_groups.h,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,3,0,0,3,0,0,0,0,0,0,0,,,,,6,0,6,4,0,0,0,0,,,,,,,,,3,3,0,0,,,,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0
Struct,Find_Filename_Result,Source\java_plugin.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,2,0,0,2,0,0,0,0,0,0,0,,,,,5,0,5,3,0,0,0,0,,,,,,,,,2,2,0,0,,,,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0
