Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",No,No,"[924, 927]",default,Struct,Struct,ap_errorlog_handler,include/http_core.h,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",No,No,"[818, 857]",default,Struct,Struct,ap_errorlog_info,include/http_core.h,0,0,0,8,15,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,40,8,15,14,0,17,0,0,13,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",No,No,"[868, 901]",default,Struct,Struct,ap_errorlog_provider,include/http_core.h,0,0,0,3,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,34,3,7,6,0,24,0,0,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",No,No,"[1357, 1364]",default,Struct,Struct,ap_loadavg_t,include/httpd.h,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,8,0,5,4,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",No,No,"[1242, 1248]",default,Struct,Struct,ap_logconf,include/httpd.h,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,7,1,4,3,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",No,No,"[632, 637]",default,Struct,Struct,ap_method_list_t,include/httpd.h,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,6,0,4,3,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",No,No,"[1341, 1350]",default,Struct,Struct,ap_sload_t,include/httpd.h,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,10,0,6,5,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",No,No,"[1700, 1704]",default,Struct,Struct,ap_vrprintf_data,server/protocol.c,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",No,No,"[513, 516]",default,Struct,Struct,check_header_ctx,modules/http/http_filters.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",No,No,"[1073, 1179]",default,Struct,Struct,conn_rec,include/httpd.h,0,0,0,17,36,54,0,0,0,0,0,0,0,0,0,6,0,0,0,0,31,0,0,31,0,0,0,0,0,0,0,107,17,33,32,0,54,1,2,31,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0
