Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ab.c,support/ab.c,5,63,6,228,1885,389,11,10,12,3,73,4,52,6,0,24,264,11,50,2408,188,1357,209,1045,361,471,176,291,12,59,1009046935,790,1025,191,4,830,55,55,61,32,6,44,2,6,883314174,0,270,241,299,90
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ajp.h,modules/proxy/ajp.h,0,0,0,58,137,324,0,0,0,0,0,0,0,0,0,0,0,0,0,517,58,60,58,0,323,4,77,0,0,0,0,42,42,42,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ajp_header.c,modules/proxy/ajp_header.c,4,42,5,74,635,158,11,10,13,6,51,4,42,5,0,14,92,7,27,862,74,628,115,468,158,2,5,91,6,21,65249,239,343,61,0,282,55,55,84,32,4,19,1,4,36071788,0,149,144,184,93
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ajp_header.h,modules/proxy/ajp_header.h,0,0,0,11,73,108,0,0,0,0,0,0,0,0,0,0,0,0,0,190,11,0,0,0,108,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ap_listen.h,include/ap_listen.h,0,0,0,22,51,78,0,0,0,0,0,0,0,0,0,0,0,0,0,151,22,30,8,0,78,2,19,0,0,0,0,25,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ap_mmn.h,include/ap_mmn.h,0,0,0,9,14,489,0,0,0,0,0,0,0,0,0,0,0,0,0,509,9,0,0,0,489,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ap_mpm.h,include/ap_mpm.h,0,0,0,28,85,221,0,0,0,0,0,0,0,0,0,0,0,0,0,330,27,37,36,0,213,18,40,0,0,0,0,9,14,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,ap_regex.h,include/ap_regex.h,0,0,0,26,66,173,0,0,0,0,0,0,0,0,0,0,0,0,0,249,26,41,41,0,166,9,22,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,cache_storage.c,modules/cache/cache_storage.c,7,45,19,82,452,246,9,9,13,3,71,7,45,19,0,10,94,9,22,780,82,449,51,298,246,0,3,91,9,28,10881,190,271,45,0,226,26,26,37,16,6,21,2,6,40864289,0,93,91,125,38
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,cache_util.c,modules/cache/cache_util.c,5,38,10,147,883,322,8,8,11,4,53,5,38,10,0,23,209,9,31,1345,147,880,147,577,322,0,3,152,7,29,7901,382,558,109,1,448,44,35,48,21,6,50,2,6,35570880,0,193,181,244,97
