Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,No,default,Static,Static Function,"dav_add_if_resource(apr_pool_t *,dav_if_header *,const char *,apr_size_t)",modules/dav/main/util.c,3,11,0,5,14,3,11,3,6,0,0,0,5,2,6,7,1,0,6,2,2,2,1,1,0,1,0,0
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,No,default,Static,Static Function,"dav_add_if_state(apr_pool_t *,dav_if_header *,const char *,dav_if_state_type,int,const dav_hooks_locks *)",modules/dav/main/util.c,6,27,4,10,37,6,27,6,15,4,0,0,9,4,11,14,2,0,12,4,4,4,4,5,5,3,5,0
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,No,default,none,Function,"dav_add_vary_header(request_rec *,request_rec *,const dav_resource *)",modules/dav/main/util.c,4,18,5,5,27,4,18,6,11,5,0,0,4,4,6,9,3,0,6,4,4,4,1,1,0,3,0,0
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,No,default,none,Function,"dav_auto_checkin(request_rec *,dav_resource *,int,int,dav_auto_version_info *)",modules/dav/main/util.c,14,84,11,14,107,14,84,10,60,11,0,0,9,32,14,29,4,0,25,16,16,25,16,19,19,4,19,0
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,No,default,none,Function,"dav_auto_checkout(request_rec *,dav_resource *,int,dav_auto_version_info *)",modules/dav/main/util.c,24,102,21,11,144,24,102,11,76,21,0,0,19,7993,32,49,6,0,43,18,18,23,17,24,24,3,24,0
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,No,default,none,Function,"dav_buffer_append(apr_pool_t *,dav_buffer *,const char *)",modules/dav/main/util.c,1,8,0,5,9,1,8,3,4,0,0,0,4,1,4,4,1,0,3,1,1,1,1,0,0,0,0,0
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,No,default,none,Function,"dav_buffer_init(apr_pool_t *,dav_buffer *,const char *)",modules/dav/main/util.c,0,6,0,5,6,0,6,2,2,0,0,0,3,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,No,default,none,Function,"dav_buffer_place(apr_pool_t *,dav_buffer *,const char *)",modules/dav/main/util.c,1,7,0,5,8,1,7,3,3,0,0,0,3,1,3,3,1,0,2,1,1,1,1,0,0,0,0,0
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,No,default,none,Function,"dav_buffer_place_mem(apr_pool_t *,dav_buffer *,const void *,apr_size_t,apr_size_t)",modules/dav/main/util.c,0,7,0,7,7,0,7,3,2,0,0,0,2,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,No,default,Static,Static Function,"dav_can_auto_checkout(request_rec *,dav_resource *,dav_auto_version,dav_lockdb **,int *)",modules/dav/main/util.c,7,40,0,6,47,7,40,9,24,0,0,0,7,10,10,17,3,0,14,8,8,8,7,12,12,3,12,0
