Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",,No,,default,none,Function,APR_DECLARE_EXTERNAL_HOOK(),,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,7,0,0,1,1,1,1,0,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",Unknown,No,,default,none,Function,"APR_DECLARE_EXTERNAL_HOOK(,,apr_status_t,,conn_rec *)",include/http_core.h,2,7,4,0,13,2,7,3,4,4,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",Unknown,No,,default,none,Function,APR_HOOK_STRUCT((*) ()),server/protocol.c,4,30,1,0,35,4,30,19,14,1,0,0,3,4,10,12,1,0,11,3,3,3,1,0,0,1,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",Unknown,No,,default,none,Function,APR_HOOK_STRUCT((*) ()),server/core.c,10,28,14,0,52,10,26,25,6,14,0,2,1,1,2,2,2,0,0,1,1,1,1,0,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",Unknown,No,,default,none,Function,APR_OPTIONAL_FN_TYPE(),server/core.c,1,8,3,0,12,1,8,5,3,3,0,0,1,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",Unknown,No,,default,Static,Static Function,APR_OPTIONAL_FN_TYPE(),server/core.c,3,11,0,2,14,3,11,3,5,0,0,0,1,3,3,5,0,0,5,3,3,3,3,2,2,1,2,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",Unknown,No,,default,Static,Static Function,APR_OPTIONAL_FN_TYPE(*),server/core.c,1,8,0,2,9,1,8,3,3,0,0,0,1,2,2,3,0,0,3,2,2,2,1,1,0,1,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",Unknown,No,,default,Static,Static Function,APR_OPTIONAL_FN_TYPE(*),server/core.c,1,8,0,1,9,1,8,3,3,0,0,0,1,2,2,3,0,0,3,2,2,2,1,1,0,1,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",Unknown,No,,default,Static,Static Function,APR_OPTIONAL_FN_TYPE(*),server/core.c,1,8,0,1,9,1,8,3,3,0,0,0,1,2,2,3,0,0,3,2,2,2,1,1,0,1,0,0
21,Yes,Yes,3b365793c19aff95d1cf9bbea19f138752264d12,"[""CVE-2013-5704""]",No,No,"[199, 214]",default,Static,Static Function,"add_cl(apr_pool_t *,apr_bucket_alloc_t *,apr_bucket_brigade *,const char *)",modules/proxy/mod_proxy_http.c,1,15,0,6,16,1,15,6,7,0,0,0,5,1,6,6,2,0,4,1,1,1,1,0,0,0,0,0
