Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
25,Yes,Yes,838b88e3d08ba2c53d930de8498971acd69920b7,"[""CVE-2014-8109""]",,,Function,__ctype_b_loc(),,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
25,Yes,Yes,838b88e3d08ba2c53d930de8498971acd69920b7,"[""CVE-2014-8109""]",No,"[233, 264]",Static Function,"ap_lua_interpolate_string(apr_pool_t *,const char *,const char **)",modules/lua/mod_lua.c,,,,1,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,32,1,30,5,18,1,0,0,4,12,17,22,4,0,18,6,6,10,3,4,,,,,3,,3,3,,0.03,,,,
25,Yes,Yes,838b88e3d08ba2c53d930de8498971acd69920b7,"[""CVE-2014-8109""]",No,"[148, 165]",Static Function,"ap_lua_release_state(lua_State *,ap_lua_vm_spec *,request_rec *)",modules/lua/mod_lua.c,,,,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,18,0,18,4,12,0,0,0,7,4,9,12,3,0,9,4,4,4,1,0,,,,,0,,3,0,,0.00,,,,
25,Yes,Yes,838b88e3d08ba2c53d930de8498971acd69920b7,"[""CVE-2014-8109""]",No,"[1683, 1686]",Function,ap_lua_ssl_is_https(conn_rec *),modules/lua/mod_lua.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,2,2,2,1,0,,,,,0,,0,0,,0.00,,,,
25,Yes,Yes,838b88e3d08ba2c53d930de8498971acd69920b7,"[""CVE-2014-8109""]",No,"[1674, 1681]",Function,"ap_lua_ssl_val(apr_pool_t *,server_rec *,conn_rec *,request_rec *,const char *)",modules/lua/mod_lua.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,2,3,0,0,0,1,2,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
25,Yes,Yes,838b88e3d08ba2c53d930de8498971acd69920b7,"[""CVE-2014-8109""]",No,"[860, 891]",Static Function,"config_getstr(ap_configfile_t *,char *,size_t)",modules/lua/mod_lua.c,,,,1,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,32,1,31,6,20,0,0,0,4,8,13,19,4,0,15,7,7,8,5,6,,,,,6,,3,5,,0.00,,,,
25,Yes,Yes,838b88e3d08ba2c53d930de8498971acd69920b7,"[""CVE-2014-8109""]",No,"[893, 900]",Struct,cr_ctx,modules/lua/mod_lua.c,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,5,0,0,5,0,0,0,0,0,0,0,,8,0,8,6,0,0,0,0,,,,5,5,0,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
25,Yes,Yes,838b88e3d08ba2c53d930de8498971acd69920b7,"[""CVE-2014-8109""]",No,"[1930, 1948]",Static Function,"create_dir_config(apr_pool_t *,char *)",modules/lua/mod_lua.c,,,,1,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,1,18,2,15,0,0,0,16,1,13,13,1,0,12,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
25,Yes,Yes,838b88e3d08ba2c53d930de8498971acd69920b7,"[""CVE-2014-8109""]",No,"[1950, 1957]",Static Function,create_request_config(request_rec *),modules/lua/mod_lua.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,8,2,5,0,0,0,6,1,5,5,1,0,4,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
25,Yes,Yes,838b88e3d08ba2c53d930de8498971acd69920b7,"[""CVE-2014-8109""]",No,"[1959, 1966]",Static Function,"create_server_config(apr_pool_t *,server_rec *)",modules/lua/mod_lua.c,,,,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,2,6,2,3,0,0,0,3,1,3,3,1,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
25,Yes,Yes,838b88e3d08ba2c53d930de8498971acd69920b7,"[""CVE-2014-8109""]",No,"[167, 231]",Static Function,"create_vm_spec(apr_pool_t **,request_rec *,const ap_lua_dir_cfg *,const ap_lua_server_cfg *,const char *,const char *,apr_size_t,const char *,const char *)",modules/lua/mod_lua.c,,,,4,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,65,4,53,12,37,0,6,2,21,8,27,33,3,0,30,10,7,10,1,7,,,,,0,,1,0,,0.00,,,,
