CVE,CWE
CVE-1999-0067,
CVE-2000-1204,
CVE-2000-1205,79
CVE-2001-1342,
CVE-2002-0061,
CVE-2002-0661,
CVE-2002-0839,
CVE-2002-1156,
CVE-2003-0016,
CVE-2003-0245,
CVE-2003-0987,
CVE-2003-1307,
CVE-2004-0492,
CVE-2004-0493,
CVE-2004-0751,
CVE-2004-0811,
CVE-2004-0885,
CVE-2004-0940,119
CVE-2005-2700,
CVE-2005-2970,
CVE-2005-3357,399
CVE-2006-3747,189
CVE-2006-3918,
CVE-2006-5752,
CVE-2007-3304,
CVE-2007-6203,79
CVE-2007-6420,352
CVE-2008-2364,399
CVE-2008-2939,79
CVE-2009-1195,16
CVE-2009-1890,189
CVE-2009-1891,399
CVE-2009-1955,
CVE-2009-2699,
CVE-2010-0408,
CVE-2010-0425,
CVE-2010-0434,200
CVE-2010-1452,
CVE-2010-2068,200
CVE-2010-2791,200
CVE-2011-0419,399
CVE-2011-1752,476
CVE-2011-1783,
CVE-2011-3192,399
CVE-2011-3368,20
CVE-2011-3639,20
CVE-2011-4317,20
CVE-2012-0021,20
CVE-2012-0031,399
CVE-2012-0053,264
CVE-2012-0883,264
CVE-2012-1181,119
CVE-2012-3499,79
CVE-2012-4557,399
CVE-2012-4558,79
CVE-2013-1862,310
CVE-2013-1896,264
CVE-2013-2249,
CVE-2013-4352,
CVE-2013-5704,264
CVE-2013-6438,20
CVE-2014-0098,20
CVE-2014-0117,20
CVE-2014-0118,399
CVE-2014-0226,362
CVE-2014-0231,399
CVE-2014-3523,399
CVE-2014-3583,119
CVE-2014-8109,264
CVE-2015-0228,20
CVE-2015-0253,
CVE-2015-3183,20
CVE-2015-3185,264
