File Path,Topological Index,Parent Count,Vulnerable Commit Hash,Vulnerable Tag Name,Vulnerable Author Date,Vulnerable Changed Lines,Vulnerable File Functions,Vulnerable File Classes,Neutral Commit Hash,Neutral Tag Name,Neutral Author Date,Neutral Changed Lines,Neutral File Functions,Neutral File Classes,CVEs,Last Change Commit Hashes
grp/initgroups.c,0,1,edc8cc2a29b53fd6eeb82cd5fae14aa6bbb827dc,cvs/fedora-glibc-20050401T1444,2005-03-29 23:27:12,"[[1, 1], [76, 76]]","[{""Name"": ""getgrouplist"", ""Signature"": ""getgrouplist(const char *, int, int *, int *)"", ""Lines"": [140, 170], ""Vulnerable"": ""No""}, {""Name"": ""static_link_warning"", ""Signature"": ""static_link_warning(int)"", ""Lines"": [172, 220], ""Vulnerable"": ""No""}]",,edac424073092fda118fb8514ad524d3a66a9ae6,cvs/fedora-glibc-20050401T1444,2005-03-29 23:41:03,"[[1, 1], [76, 78]]","[{""Name"": ""getgrouplist"", ""Signature"": ""getgrouplist(const char *, int, int *, int *)"", ""Lines"": [142, 172], ""Vulnerable"": ""No""}, {""Name"": ""static_link_warning"", ""Signature"": ""static_link_warning(int)"", ""Lines"": [174, 222], ""Vulnerable"": ""No""}]",,"[""CVE-2005-3590""]","[""a334319f6530564d22e775935d9c91663623a1b4""]"
intl/dcigettext.c,0,1,edc8cc2a29b53fd6eeb82cd5fae14aa6bbb827dc,cvs/fedora-glibc-20050401T1444,2005-03-29 23:27:12,"[[180, 180], [439, 439], [635, 637]]","[{""Name"": ""stpcpy"", ""Signature"": ""stpcpy(char *, const char *)"", ""Lines"": [1130, 1138], ""Vulnerable"": ""No""}]","[{""Name"": ""known_translation_t"", ""Signature"": ""known_translation_t"", ""Lines"": [177, 197], ""Kind"": ""Struct"", ""Vulnerable"": ""Yes""}]",edac424073092fda118fb8514ad524d3a66a9ae6,cvs/fedora-glibc-20050401T1444,2005-03-29 23:41:03,"[[180, 180], [439, 439], [635, 639]]","[{""Name"": ""stpcpy"", ""Signature"": ""stpcpy(char *, const char *)"", ""Lines"": [1132, 1140], ""Vulnerable"": ""No""}]","[{""Name"": ""known_translation_t"", ""Signature"": ""known_translation_t"", ""Lines"": [177, 197], ""Kind"": ""Struct"", ""Vulnerable"": ""No""}]","[""CVE-2005-3590""]","[""9cfe5381a17b19e6558902606a59e6ad6695e410""]"
nscd/connections.c,1,1,1329b60176b59b185ad71fc87a86dd0cf9cff21b,cvs/fedora-glibc-20060424T0820,2006-03-31 21:50:22,"[[1559, 1560], [1562, 1570]]","[{""Name"": ""writeall"", ""Signature"": ""writeall(int, const void *, int)"", ""Lines"": [187, 202], ""Vulnerable"": ""No""}, {""Name"": ""check_use"", ""Signature"": ""check_use(const char *, int, int *, enum usekey, int, int)"", ""Lines"": [249, 295], ""Vulnerable"": ""No""}, {""Name"": ""verify_persistent_db"", ""Signature"": ""verify_persistent_db(void *, struct database_pers_head *, int)"", ""Lines"": [299, 426], ""Vulnerable"": ""No""}, {""Name"": ""nscd_init"", ""Signature"": ""nscd_init()"", ""Lines"": [430, 801], ""Vulnerable"": ""No""}, {""Name"": ""close_sockets"", ""Signature"": ""close_sockets()"", ""Lines"": [805, 809], ""Vulnerable"": ""No""}, {""Name"": ""invalidate_cache"", ""Signature"": ""invalidate_cache(char *)"", ""Lines"": [812, 833], ""Vulnerable"": ""No""}, {""Name"": ""handle_request"", ""Signature"": ""handle_request(int, int *, void *, int)"", ""Lines"": [882, 1107], ""Vulnerable"": ""No""}, {""Name"": ""restart"", ""Signature"": ""restart()"", ""Lines"": [1111, 1241], ""Vulnerable"": ""No""}, {""Name"": ""nscd_run"", ""Signature"": ""nscd_run(void *)"", ""Lines"": [1270, 1455], ""Vulnerable"": ""No""}, {""Name"": ""fd_ready"", ""Signature"": ""fd_ready(int)"", ""Lines"": [1460, 1507], ""Vulnerable"": ""No""}, {""Name"": ""restart_p"", ""Signature"": ""restart_p(int)"", ""Lines"": [1511, 1516], ""Vulnerable"": ""No""}, {""Name"": ""main_loop_poll"", ""Signature"": ""main_loop_poll()"", ""Lines"": [1523, 1624], ""Vulnerable"": ""Yes""}, {""Name"": ""start_threads"", ""Signature"": ""start_threads()"", ""Lines"": [1722, 1805], ""Vulnerable"": ""No""}, {""Name"": ""begin_drop_privileges"", ""Signature"": ""begin_drop_privileges()"", ""Lines"": [1811, 1848], ""Vulnerable"": ""No""}, {""Name"": ""finish_drop_privileges"", ""Signature"": ""finish_drop_privileges()"", ""Lines"": [1853, 1875], ""Vulnerable"": ""No""}]","[{""Name"": ""fdlist"", ""Signature"": ""fdlist"", ""Lines"": [1245, 1249], ""Kind"": ""Struct"", ""Vulnerable"": ""No""}]",9388dcbb84dd616b20823ac46c8630b8c2845a82,cvs/fedora-glibc-20060424T0820,2006-04-01 18:51:15,"[[1559, 1560], [1562, 1576]]","[{""Name"": ""writeall"", ""Signature"": ""writeall(int, const void *, int)"", ""Lines"": [187, 202], ""Vulnerable"": ""No""}, {""Name"": ""check_use"", ""Signature"": ""check_use(const char *, int, int *, enum usekey, int, int)"", ""Lines"": [249, 295], ""Vulnerable"": ""No""}, {""Name"": ""verify_persistent_db"", ""Signature"": ""verify_persistent_db(void *, struct database_pers_head *, int)"", ""Lines"": [299, 426], ""Vulnerable"": ""No""}, {""Name"": ""nscd_init"", ""Signature"": ""nscd_init()"", ""Lines"": [430, 801], ""Vulnerable"": ""No""}, {""Name"": ""close_sockets"", ""Signature"": ""close_sockets()"", ""Lines"": [805, 809], ""Vulnerable"": ""No""}, {""Name"": ""invalidate_cache"", ""Signature"": ""invalidate_cache(char *)"", ""Lines"": [812, 833], ""Vulnerable"": ""No""}, {""Name"": ""handle_request"", ""Signature"": ""handle_request(int, int *, void *, int)"", ""Lines"": [882, 1107], ""Vulnerable"": ""No""}, {""Name"": ""restart"", ""Signature"": ""restart()"", ""Lines"": [1111, 1241], ""Vulnerable"": ""No""}, {""Name"": ""nscd_run"", ""Signature"": ""nscd_run(void *)"", ""Lines"": [1270, 1455], ""Vulnerable"": ""No""}, {""Name"": ""fd_ready"", ""Signature"": ""fd_ready(int)"", ""Lines"": [1460, 1507], ""Vulnerable"": ""No""}, {""Name"": ""restart_p"", ""Signature"": ""restart_p(int)"", ""Lines"": [1511, 1516], ""Vulnerable"": ""No""}, {""Name"": ""main_loop_poll"", ""Signature"": ""main_loop_poll()"", ""Lines"": [1523, 1630], ""Vulnerable"": ""No""}, {""Name"": ""start_threads"", ""Signature"": ""start_threads()"", ""Lines"": [1728, 1811], ""Vulnerable"": ""No""}, {""Name"": ""begin_drop_privileges"", ""Signature"": ""begin_drop_privileges()"", ""Lines"": [1817, 1854], ""Vulnerable"": ""No""}, {""Name"": ""finish_drop_privileges"", ""Signature"": ""finish_drop_privileges()"", ""Lines"": [1859, 1881], ""Vulnerable"": ""No""}]","[{""Name"": ""fdlist"", ""Signature"": ""fdlist"", ""Lines"": [1245, 1249], ""Kind"": ""Struct"", ""Vulnerable"": ""No""}]","[""CVE-2006-7254""]","[""6cac69275f7319e30f37115640dd3c56c07757e1""]"
grp/initgroups.c,2,1,9c06eb66b5b4662c22532ab03525eab46c4cf2eb,cvs/fedora-glibc-20060807T1859,2006-08-03 09:36:43,"[[1, 1], [77, 78], [145, 145], [147, 147], [149, 149], [158, 158], [160, 168], [171, 171]]","[{""Name"": ""getgrouplist"", ""Signature"": ""getgrouplist(const char *, int, int *, int *)"", ""Lines"": [142, 172], ""Vulnerable"": ""Yes""}, {""Name"": ""static_link_warning"", ""Signature"": ""static_link_warning(int)"", ""Lines"": [174, 222], ""Vulnerable"": ""No""}]",,6c215a8d6c972ca3324107109c393f21e782fb10,cvs/fedora-glibc-20060807T1859,2006-08-03 15:26:02,"[[1, 1], [77, 78], [144, 144], [145, 145], [147, 147], [156, 156], [158, 158], [161, 165]]","[{""Name"": ""getgrouplist"", ""Signature"": ""getgrouplist(const char *, int, int *, int *)"", ""Lines"": [142, 166], ""Vulnerable"": ""No""}, {""Name"": ""static_link_warning"", ""Signature"": ""static_link_warning(int)"", ""Lines"": [168, 216], ""Vulnerable"": ""No""}]",,"[""CVE-2005-3590""]","[""edac424073092fda118fb8514ad524d3a66a9ae6""]"
stdio-common/printf_fphex.c,2,1,9c06eb66b5b4662c22532ab03525eab46c4cf2eb,cvs/fedora-glibc-20060807T1859,2006-08-03 09:36:43,"[[407, 407]]","[{""Name"": ""__printf_fphex"", ""Signature"": ""__printf_fphex(int *, const struct printf_info *, const void *const *)"", ""Lines"": [92, 490], ""Vulnerable"": ""Yes""}]","[{""Name"": """", ""Signature"": """", ""Lines"": [98, 102], ""Kind"": ""Union"", ""Vulnerable"": ""No""}, {""Name"": """", ""Signature"": """", ""Lines"": [98, 102], ""Kind"": ""Union"", ""Vulnerable"": ""No""}]",6c215a8d6c972ca3324107109c393f21e782fb10,cvs/fedora-glibc-20060807T1859,2006-08-03 15:26:02,"[[407, 410]]","[{""Name"": ""__printf_fphex"", ""Signature"": ""__printf_fphex(int *, const struct printf_info *, const void *const *)"", ""Lines"": [92, 493], ""Vulnerable"": ""No""}]","[{""Name"": """", ""Signature"": """", ""Lines"": [98, 102], ""Kind"": ""Union"", ""Vulnerable"": ""No""}, {""Name"": """", ""Signature"": """", ""Lines"": [98, 102], ""Kind"": ""Union"", ""Vulnerable"": ""No""}]","[""CVE-2005-3590""]","[""9c06eb66b5b4662c22532ab03525eab46c4cf2eb""]"
stdlib/strfmon_l.c,3,1,59a7162b17f55cb292844e37ceb9c3b0a1994080,cvs/fedora-glibc-20090424T0747,2009-04-18 12:12:33,"[[2, 2], [136, 136], [224, 225], [230, 230], [563, 563], [592, 594]]","[{""Name"": ""__vstrfmon_l"", ""Signature"": ""__vstrfmon_l(char *, int, int, const char *, int)"", ""Lines"": [87, 610], ""Vulnerable"": ""Yes""}, {""Name"": ""___strfmon_l"", ""Signature"": ""___strfmon_l(char *, int, int, const char *, ...)"", ""Lines"": [612, 624], ""Vulnerable"": ""No""}]","[{""Name"": """", ""Signature"": """", ""Lines"": [107, 111], ""Kind"": ""Union"", ""Vulnerable"": ""No""}, {""Name"": """", ""Signature"": """", ""Lines"": [107, 111], ""Kind"": ""Union"", ""Vulnerable"": ""No""}]",153aa31b93be22e01b236375fb02a9f9b9a0195f,cvs/fedora-glibc-20090424T0747,2009-04-18 19:53:59,"[[2, 2], [136, 136], [224, 233], [238, 238], [571, 571], [600, 601]]","[{""Name"": ""__vstrfmon_l"", ""Signature"": ""__vstrfmon_l(char *, int, int, const char *, int)"", ""Lines"": [87, 617], ""Vulnerable"": ""No""}, {""Name"": ""___strfmon_l"", ""Signature"": ""___strfmon_l(char *, int, int, const char *, ...)"", ""Lines"": [619, 631], ""Vulnerable"": ""No""}]","[{""Name"": """", ""Signature"": """", ""Lines"": [107, 111], ""Kind"": ""Union"", ""Vulnerable"": ""No""}, {""Name"": """", ""Signature"": """", ""Lines"": [107, 111], ""Kind"": ""Union"", ""Vulnerable"": ""No""}]","[""CVE-2009-4881""]","[""c61a9cfbc48e9d9b719b4bc26fa3d9ce3fbaa964""]"
stdio-common/printf_fp.c,4,1,9d076f21cdf5f7bb2293498ed22330bb02c0a68d,fedora/glibc-2.10.90-25,2009-09-28 17:35:41,"[[894, 895]]","[{""Name"": ""___printf_fp"", ""Signature"": ""___printf_fp(int *, const struct printf_info *, const void *const *)"", ""Lines"": [154, 1236], ""Vulnerable"": ""Yes""}]","[{""Name"": """", ""Signature"": """", ""Lines"": [160, 164], ""Kind"": ""Union"", ""Vulnerable"": ""No""}, {""Name"": """", ""Signature"": """", ""Lines"": [160, 164], ""Kind"": ""Union"", ""Vulnerable"": ""No""}]",199eb0de8d673fb23aa127721054b4f1803d61f3,fedora/glibc-2.10.90-25,2009-09-29 13:11:59,"[[894, 902]]","[{""Name"": ""___printf_fp"", ""Signature"": ""___printf_fp(int *, const struct printf_info *, const void *const *)"", ""Lines"": [154, 1243], ""Vulnerable"": ""No""}]","[{""Name"": """", ""Signature"": """", ""Lines"": [160, 164], ""Kind"": ""Union"", ""Vulnerable"": ""No""}, {""Name"": """", ""Signature"": """", ""Lines"": [160, 164], ""Kind"": ""Union"", ""Vulnerable"": ""No""}]","[""CVE-2009-4880""]","[""003c9895a89e71767ad64bafac1ca99622be2eb7""]"
stdio-common/vfprintf.c,4,1,9d076f21cdf5f7bb2293498ed22330bb02c0a68d,fedora/glibc-2.10.90-25,2009-09-28 17:35:41,"[[1442, 1443], [1447, 1449], [1452, 1452], [1458, 1458], [1468, 1468], [1472, 1474], [1477, 1477], [1483, 1483], [1513, 1513], [1515, 1516], [1517, 1517], [1524, 1524], [1533, 1533]]","[{""Name"": ""_IO_vfprintf_internal"", ""Signature"": ""_IO_vfprintf_internal(int *, const char *, int)"", ""Lines"": [195, 1964], ""Vulnerable"": ""Yes""}, {""Name"": ""printf_unknown"", ""Signature"": ""printf_unknown(int *, const struct printf_info *, const void *const *)"", ""Lines"": [1968, 2016], ""Vulnerable"": ""No""}, {""Name"": ""_IO_helper_overflow"", ""Signature"": ""_IO_helper_overflow(int *, int)"", ""Lines"": [2103, 2133], ""Vulnerable"": ""No""}]","[{""Name"": """", ""Signature"": """", ""Lines"": [1335, 1339], ""Kind"": ""Union"", ""Vulnerable"": ""No""}, {""Name"": """", ""Signature"": """", ""Lines"": [1335, 1339], ""Kind"": ""Union"", ""Vulnerable"": ""No""}]",199eb0de8d673fb23aa127721054b4f1803d61f3,fedora/glibc-2.10.90-25,2009-09-29 13:11:59,"[[1442, 1449], [1453, 1455], [1458, 1458], [1464, 1464], [1474, 1481], [1485, 1487], [1490, 1490], [1496, 1496], [1526, 1526], [1528, 1528], [1530, 1530], [1537, 1537], [1546, 1546]]","[{""Name"": ""_IO_vfprintf_internal"", ""Signature"": ""_IO_vfprintf_internal(int *, const char *, int)"", ""Lines"": [195, 1977], ""Vulnerable"": ""No""}, {""Name"": ""printf_unknown"", ""Signature"": ""printf_unknown(int *, const struct printf_info *, const void *const *)"", ""Lines"": [1981, 2029], ""Vulnerable"": ""No""}, {""Name"": ""_IO_helper_overflow"", ""Signature"": ""_IO_helper_overflow(int *, int)"", ""Lines"": [2116, 2146], ""Vulnerable"": ""No""}]","[{""Name"": """", ""Signature"": """", ""Lines"": [1335, 1339], ""Kind"": ""Union"", ""Vulnerable"": ""No""}, {""Name"": """", ""Signature"": """", ""Lines"": [1335, 1339], ""Kind"": ""Union"", ""Vulnerable"": ""No""}]","[""CVE-2009-4880""]","[""9d26efa90c6dcbcd6b3e586c9927b6058ef4d529""]"
elf/dynamic-link.h,5,1,7a033a828df19b4f3bfd7e4d66102f63d1167f08,fedora/glibc-2.11.90-10,2010-01-18 15:23:23,"[[105, 105], [116, 116], [121, 121], [123, 123], [126, 126], [129, 129]]",,,db07e962b6ea963dbb345439f6ab9b0cf74d87c5,fedora/glibc-2.11.90-10,2010-01-18 15:24:09,"[[106, 110], [121, 121], [126, 126], [128, 128], [131, 131], [134, 134]]",,,"[""CVE-2010-0830""]","[""7a033a828df19b4f3bfd7e4d66102f63d1167f08""]"
misc/mntent_r.c,6,1,8c0677fe5d91b7269364ca08fa08ed09e4c2d8c9,glibc-2.12,2010-04-28 22:00:14,"[[2, 2], [197, 197], [205, 205]]","[{""Name"": ""__setmntent"", ""Signature"": ""__setmntent(const char *, const char *)"", ""Lines"": [39, 54], ""Vulnerable"": ""No""}]",,ab00f4eac8f4932211259ff87be83144f5211540,glibc-2.12,2010-05-02 19:12:55,"[[2, 2], [197, 197], [205, 205]]","[{""Name"": ""__setmntent"", ""Signature"": ""__setmntent(const char *, const char *)"", ""Lines"": [39, 54], ""Vulnerable"": ""No""}]",,"[""CVE-2010-0296""]","[""66f17705e46e88f8f01e66556fe62487aecdce29""]"
