Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
109,Yes,Yes,c803cb9b24c6cea15698768e4301e963b98e742c,"[""CVE-2017-12132""]",Yes,No,"[427, 432]",default,Struct,Struct,query_info,support/resolv_test.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,6,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Yes,Yes,c803cb9b24c6cea15698768e4301e963b98e742c,"[""CVE-2017-12132""]",No,No,"[60, 85]",default,Struct,Struct,resolv_redirect_config,support/resolv_test.h,0,0,0,4,11,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,26,4,11,9,0,11,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109,Yes,Yes,c803cb9b24c6cea15698768e4301e963b98e742c,"[""CVE-2017-12132""]",No,No,"[53, 57]",default,Struct,Struct,resolv_redirect_server_config,support/resolv_test.h,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Yes,Yes,c803cb9b24c6cea15698768e4301e963b98e742c,"[""CVE-2017-12132""]",No,No,"[54, 77]",default,Struct,Struct,resolv_response_builder,support/resolv_test.c,0,0,0,4,14,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,24,4,14,12,0,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Yes,Yes,c803cb9b24c6cea15698768e4301e963b98e742c,"[""CVE-2017-12132""]",No,No,"[108, 122]",default,Struct,Struct,resolv_response_flags,support/resolv_test.h,0,0,0,2,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,15,2,9,7,0,4,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Yes,Yes,c803cb9b24c6cea15698768e4301e963b98e742c,"[""CVE-2017-12132""]",No,No,"[491, 505]",default,Struct,Struct,resolv_test,support/resolv_test.c,0,0,0,3,8,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,15,3,8,6,0,4,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Yes,Yes,c803cb9b24c6cea15698768e4301e963b98e742c,"[""CVE-2017-12132""]",No,No,"[467, 487]",default,Struct,Struct,resolv_test_server,support/resolv_test.c,0,0,0,4,9,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,21,4,9,7,0,8,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Yes,Yes,c803cb9b24c6cea15698768e4301e963b98e742c,"[""CVE-2017-12132""]",No,No,"[699, 704]",default,Struct,Struct,tcp_thread_closure,support/resolv_test.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,6,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Yes,Yes,c803cb9b24c6cea15698768e4301e963b98e742c,"[""CVE-2017-12132""]",No,No,"[512, 517]",default,Struct,Struct,thread_closure,support/resolv_test.c,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,6,4,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Yes,Yes,c803cb9b24c6cea15698768e4301e963b98e742c,"[""CVE-2017-12132""]",No,No,"[48, 52]",default,Struct,Struct,to_be_freed,support/resolv_test.c,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
