Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
146,Yes,No,108bc4049f8ae82710aec26a92ffdb4b439c83fd,"[""CVE-2016-10739""]",No,Yes,File,digits_dots.c,nss/digits_dots.c,24,194,18,28,232,37,39,37,48,10,236,24,194,18,0,1,17,8,9,297,28,218,29,147,37,1,14,34,17,27,1739641,116,157,19,3,135,39,37,48,21,6,6,3,6,6205248,0,39,37,48,21
146,Yes,No,108bc4049f8ae82710aec26a92ffdb4b439c83fd,"[""CVE-2016-10739""]",No,Unknown,File,gai.c,nscd/gai.c,0,0,0,6,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,1,0,0,22,0,17,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
146,Yes,No,108bc4049f8ae82710aec26a92ffdb4b439c83fd,"[""CVE-2016-10739""]",No,Yes,File,getaddrinfo.c,sysdeps/posix/getaddrinfo.c,10,76,7,309,1968,249,15,15,22,9,94,10,72,7,0,22,203,9,38,2525,295,1741,457,1162,245,131,117,217,10,59,2043482000,870,1188,282,14,892,122,122,180,80,9,52,2,9,2517047472,0,337,334,489,198
146,Yes,No,108bc4049f8ae82710aec26a92ffdb4b439c83fd,"[""CVE-2016-10739""]",No,Unknown,File,gethstbynm3_r.c,nscd/gethstbynm3_r.c,0,0,0,8,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,53,8,7,2,2,17,0,21,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
146,Yes,No,108bc4049f8ae82710aec26a92ffdb4b439c83fd,"[""CVE-2016-10739""]",No,Unknown,File,inet.h,include/arpa/inet.h,0,0,0,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,9,9,0,1,0,3,0,0,0,0,3,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Yes,No,108bc4049f8ae82710aec26a92ffdb4b439c83fd,"[""CVE-2016-10739""]",No,Unknown,File,inet_addr.c,resolv/inet_addr.c,2,22,4,18,99,100,4,4,5,3,28,2,22,4,0,4,13,3,7,217,18,89,31,47,100,0,10,17,4,10,405,47,64,21,3,40,11,11,15,10,3,5,1,3,187337,1,16,16,21,13
146,Yes,No,108bc4049f8ae82710aec26a92ffdb4b439c83fd,"[""CVE-2016-10739""]",No,Yes,File,res_init.c,resolv/res_init.c,3,42,3,55,516,146,9,8,13,5,48,3,42,3,0,11,55,5,11,712,55,473,89,304,146,0,43,112,10,44,1000000067,211,308,58,0,250,56,56,89,35,7,22,2,7,40754428,0,97,92,140,60
146,Yes,No,108bc4049f8ae82710aec26a92ffdb4b439c83fd,"[""CVE-2016-10739""]",No,Yes,File,tst-aton.c,resolv/tst-aton.c,3,25,0,8,75,17,5,5,6,1,28,3,25,0,0,1,5,5,5,100,8,68,48,51,17,0,7,5,5,5,5,15,20,8,0,12,5,5,6,1,3,3,3,3,8125,0,5,5,6,1
146,Yes,No,108bc4049f8ae82710aec26a92ffdb4b439c83fd,"[""CVE-2016-10739""]",No,Unknown,File,tst-inet_aton_exact.c,resolv/tst-inet_aton_exact.c,4,19,1,7,22,18,1,1,1,1,24,4,19,1,0,1,1,1,1,47,7,19,3,15,18,0,3,4,4,4,1,15,16,2,0,14,1,1,1,1,0,0,0,0,240,0,1,1,1,1
146,Yes,No,108bc4049f8ae82710aec26a92ffdb4b439c83fd,"[""CVE-2016-10739""]",No,Yes,File,tst-resolv-nondecimal.c,resolv/tst-resolv-nondecimal.c,4,23,1,20,98,21,2,2,2,1,27,4,23,1,0,4,10,2,4,139,20,91,32,70,21,0,7,25,6,11,11,57,64,17,0,47,4,4,4,1,1,1,0,1,61985,0,7,7,7,4
146,Yes,No,108bc4049f8ae82710aec26a92ffdb4b439c83fd,"[""CVE-2016-10739""]",No,Yes,File,tst-resolv-trailing.c,resolv/tst-resolv-trailing.c,5,49,1,14,104,18,2,2,2,1,54,5,49,1,0,2,3,2,3,136,14,97,50,79,18,0,7,14,7,13,4,47,51,13,1,37,3,3,3,1,2,2,1,2,9,0,4,4,4,2
