Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,ElfW(),elf/rtld.c,13,55,23,5,91,13,23,5,14,23,6,27,13,8,12,15,2,0,13,4,4,6,1,0,0,1,0,1
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,ElfW(),elf/rtld.c,15,69,16,9,100,15,44,14,26,16,7,21,18,12,22,26,3,0,23,5,5,5,1,1,0,2,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,ElfW(),elf/dl-lookup.c,6,61,38,9,104,6,58,15,31,38,0,3,5,22,16,27,2,2,23,15,15,26,9,13,11,4,11,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"ElfW(,)",sysdeps/riscv/sotruss-lib.c,2,13,1,6,16,2,13,7,5,1,0,0,2,1,3,3,0,0,3,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,_IO_acquire_lock_clear_flags2_fct(FILE **),libio/libioP.h,0,9,0,2,9,0,9,4,3,0,0,0,2,2,3,4,1,1,2,2,2,2,1,0,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"_IO_adjust_column(unsigned,const char *,int)",libio/genops.c,0,9,0,4,9,0,9,3,5,0,0,0,1,3,3,5,1,0,4,3,3,3,3,3,3,2,3,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"_IO_adjust_wcolumn(unsigned,const wchar_t *,int)",libio/wgenops.c,0,9,0,3,9,0,9,3,5,0,0,0,1,3,3,5,1,0,4,3,3,3,3,3,3,2,3,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,_IO_cleanup(),libio/genops.c,2,7,9,0,18,2,7,3,3,9,0,0,3,1,3,3,1,0,2,1,1,1,1,0,0,0,0,1
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,_IO_cookie_close(FILE *),libio/iofopncook.c,2,12,0,4,14,2,9,4,5,0,1,2,1,2,4,5,2,0,3,2,2,2,1,1,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"_IO_cookie_init(struct _IO_cookie_file *,int,void *,cookie_io_functions_t)",libio/iofopncook.c,5,14,3,10,22,5,14,3,9,3,0,0,11,1,8,8,0,0,8,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,"_IO_cookie_read(FILE *,void *,ssize_t)",libio/iofopncook.c,2,12,0,6,14,2,9,4,5,0,1,2,1,2,4,5,2,0,3,2,2,2,1,1,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,"_IO_cookie_seek(FILE *,off64_t,int)",libio/iofopncook.c,1,14,0,6,15,1,11,4,7,0,1,2,1,1,3,3,2,0,1,2,2,4,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,"_IO_cookie_seekoff(FILE *,off64_t,int,int)",libio/iofopncook.c,0,6,2,4,8,0,6,2,2,2,0,0,4,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,"_IO_cookie_write(FILE *,const void *,ssize_t)",libio/iofopncook.c,3,18,0,6,21,3,15,5,9,0,1,2,2,3,7,9,3,0,6,3,3,3,1,1,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,_IO_default_doallocate(FILE *),libio/genops.c,2,10,0,1,12,2,10,3,5,0,0,0,3,2,5,6,1,0,5,2,2,2,1,1,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"_IO_default_finish(FILE *,int)",libio/genops.c,4,22,0,8,26,4,18,3,8,0,2,2,6,8,9,12,2,0,10,4,4,5,1,0,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"_IO_default_imbue(FILE *,void *)",libio/genops.c,0,4,0,0,4,0,4,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"_IO_default_read(FILE *,void *,ssize_t)",libio/genops.c,0,5,0,0,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"_IO_default_seekpos(FILE *,off64_t,int)",libio/genops.c,0,5,0,5,5,0,5,3,1,0,0,0,4,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,_IO_default_showmanyc(FILE *),libio/genops.c,0,5,0,0,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"_IO_default_stat(FILE *,void *)",libio/genops.c,0,5,0,0,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,_IO_default_sync(FILE *),libio/genops.c,0,5,0,0,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,_IO_default_uflow(FILE *),libio/genops.c,0,8,0,4,8,0,8,3,4,0,0,0,5,2,3,4,1,0,3,2,2,2,1,1,0,1,0,0
