Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
136,Yes,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,"[""CVE-2018-11236""]",,Unknown,,default,none,Function,__ctype_get_mb_cur_max(),,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Yes,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,"[""CVE-2018-11236""]",,Unknown,,default,none,Function,__ctype_get_mb_cur_max(),,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Yes,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,"[""CVE-2018-11236""]",No,No,"[129, 247]",default,Static,Static Function,"allocate_big(size_t,const void *,size_t,size_t)",support/blob_repeat.c,12,93,14,5,119,12,90,24,69,14,1,2,15,461,44,58,13,0,45,15,15,15,7,7,7,2,7,0
136,Yes,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,"[""CVE-2018-11236""]",No,No,"[89, 103]",default,Static,Static Function,"allocate_malloc(size_t,const void *,size_t,size_t)",support/blob_repeat.c,0,15,0,6,15,0,15,6,10,0,0,0,3,2,4,5,1,0,4,2,2,2,1,1,0,1,0,0
136,Yes,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,"[""CVE-2018-11236""]",No,Unknown,,default,Static,Static Function,do_test(),stdlib/test-bz22786.c,7,28,7,1,42,7,28,9,19,7,0,0,13,3,17,19,6,0,13,3,3,4,3,2,2,1,2,0
136,Yes,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,"[""CVE-2018-11236""]",No,No,,default,Static,Static Function,do_test(),support/tst-support_blob_repeat.c,6,54,1,2,61,6,54,11,41,1,0,0,8,80,36,47,8,0,39,12,12,12,1,4,0,4,0,0
136,Yes,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,"[""CVE-2018-11236""]",No,No,"[52, 85]",default,Static,Static Function,"fill(char *,const char *,size_t,size_t)",support/blob_repeat.c,0,33,1,6,34,0,33,8,20,1,0,0,4,7,15,21,5,0,16,7,7,9,1,4,0,3,0,0
136,Yes,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,"[""CVE-2018-11236""]",No,No,"[108, 125]",default,Static,Static Function,"minimum_stride_size(size_t,size_t)",support/blob_repeat.c,2,12,4,3,18,2,12,4,7,4,0,0,4,2,6,7,2,0,5,2,2,2,1,1,0,1,0,0
136,Yes,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,"[""CVE-2018-11236""]",No,No,"[249, 263]",default,none,Function,"support_blob_repeat_allocate(const void *,size_t,size_t)",support/blob_repeat.c,0,15,0,5,15,0,15,5,7,0,0,0,5,3,5,7,1,0,6,3,3,3,3,2,2,1,2,0
136,Yes,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,"[""CVE-2018-11236""]",No,No,"[265, 278]",default,none,Function,support_blob_repeat_free(struct support_blob_repeat *),support/blob_repeat.c,0,14,0,6,14,0,14,4,8,0,0,0,4,3,5,7,1,0,6,3,3,3,1,1,0,2,0,0
