Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
136,No,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,,,,Function,__ctype_get_mb_cur_max(),,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
136,No,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,,No,,Static Function,"allocate_big(size_t,const void *,size_t,size_t)",support/blob_repeat.c,,,,12,93,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,123,12,90,24,70,18,1,2,16,461,44,58,13,0,45,15,15,15,7,7,,,,,7,,2,7,,0.20,,,,
136,No,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,,No,,Static Function,"allocate_malloc(size_t,const void *,size_t,size_t)",support/blob_repeat.c,,,,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,0,15,6,10,0,0,0,3,2,4,5,1,0,4,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
136,No,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,,No,,File,blob_repeat.c,support/blob_repeat.c,2,28,3,23,207,52,5,5,5,2,33,2,27,3,,,,0,,,,,,7,,,,,,,,,,,,,,282,23,191,54,127,52,1,15,,,83,116,30,0,86,,,,,,15,15,15,7,,,3,,,0.27,34,34,36,15
136,No,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,,No,,Static Function,"fill(char *,const char *,size_t,size_t)",support/blob_repeat.c,,,,0,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,34,0,33,8,20,1,0,0,4,7,15,21,5,0,16,7,7,9,1,4,,,,,0,,3,0,,0.03,,,,
136,No,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,,No,,Static Function,"fill0(char *,const char *,size_t,size_t)",support/blob_repeat.c,,,,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,11,3,4,0,0,0,1,2,3,4,0,0,4,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
136,No,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,,No,,Static Function,"minimum_stride_size(size_t,size_t)",support/blob_repeat.c,,,,2,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,2,12,4,7,4,0,0,4,2,6,7,2,0,5,2,2,2,1,1,,,,,0,,1,0,,0.33,,,,
136,No,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,,No,,Function,"support_blob_repeat_allocate(const void *,size_t,size_t)",support/blob_repeat.c,,,,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,0,15,5,7,0,0,0,5,3,5,7,1,0,6,3,3,3,3,2,,,,,2,,1,2,,0.00,,,,
136,No,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,,No,,Function,support_blob_repeat_free(struct support_blob_repeat *),support/blob_repeat.c,,,,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,0,14,4,8,0,0,0,4,3,5,7,1,0,6,3,3,3,1,1,,,,,0,,2,0,,0.00,,,,
136,No,No,f5e7e95921847bd83186bfe621fc2b48c4de5477,,No,,File,tst-strtod-overflow.c,stdlib/tst-strtod-overflow.c,0,0,0,4,32,17,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,53,4,22,4,14,17,0,10,,,11,13,3,0,10,,,,,,0,0,0,0,,,0,,,0.77,0,0,0,0
