CVE,CWE
CVE-2009-4880,189
CVE-2009-4881,189
CVE-2009-5029,189
CVE-2009-5064,264
CVE-2010-0296,20
CVE-2010-0830,189
CVE-2011-0536,
CVE-2011-1071,399
CVE-2011-1089,16
CVE-2011-1095,264
CVE-2011-1659,189
CVE-2011-2702,94
CVE-2012-0864,189
CVE-2012-3404,189
CVE-2012-3405,189
CVE-2012-3406,264
CVE-2012-3480,189
CVE-2012-4412,189
CVE-2012-4424,119
CVE-2012-6656,20
CVE-2013-1914,119
CVE-2013-2207,264
CVE-2013-4237,119
CVE-2013-4332,189
CVE-2013-4458,119
CVE-2013-7423,17
CVE-2013-7424,17
CVE-2014-0475,22
CVE-2014-4043,94
CVE-2014-5119,189
CVE-2014-6040,119
CVE-2014-7817,20
CVE-2015-1472,119
CVE-2015-1473,119
CVE-2015-1781,119
CVE-2015-5277,119
