CVE,CWE
,
CVE-2005-4134,
CVE-2006-0292,
CVE-2006-0293,
CVE-2006-0294,
CVE-2006-0295,
CVE-2006-0296,
CVE-2006-0297,
CVE-2006-0298,20
CVE-2006-0299,
CVE-2006-0748,399
CVE-2006-0749,399
CVE-2006-0884,20
CVE-2006-1045,
CVE-2006-1529,
CVE-2006-1530,
CVE-2006-1531,
CVE-2006-1723,
CVE-2006-1724,
CVE-2006-1725,264
CVE-2006-1726,264
CVE-2006-1727,
CVE-2006-1728,
CVE-2006-1729,20
CVE-2006-1730,189
CVE-2006-1731,79
CVE-2006-1732,
CVE-2006-1733,264
CVE-2006-1734,
CVE-2006-1735,264
CVE-2006-1736,
CVE-2006-1737,189
CVE-2006-1738,
CVE-2006-1739,119
CVE-2006-1740,
CVE-2006-1741,79
CVE-2006-1742,
CVE-2006-1790,399
CVE-2006-1942,
CVE-2006-1993,399
CVE-2006-2775,264
CVE-2006-2776,
CVE-2006-2777,
CVE-2006-2778,
CVE-2006-2779,94
CVE-2006-2780,94
CVE-2006-2781,119
CVE-2006-2782,20
CVE-2006-2783,79
CVE-2006-2784,264
CVE-2006-2785,
CVE-2006-2786,
CVE-2006-2787,
CVE-2006-2894,20
CVE-2006-3113,
CVE-2006-3677,16
CVE-2006-3801,
CVE-2006-3802,
CVE-2006-3803,
CVE-2006-3804,
CVE-2006-3805,
CVE-2006-3806,189
CVE-2006-3807,
CVE-2006-3808,
CVE-2006-3809,
CVE-2006-3810,
CVE-2006-3811,
CVE-2006-3812,
CVE-2006-4253,264
CVE-2006-4340,20
CVE-2006-4565,119
CVE-2006-4566,
CVE-2006-4567,
CVE-2006-4568,79
CVE-2006-4569,
CVE-2006-4570,
CVE-2006-5462,
CVE-2006-5463,
CVE-2006-5464,
CVE-2006-5747,
CVE-2006-5748,
CVE-2006-6077,
CVE-2006-6497,
CVE-2006-6498,
CVE-2006-6499,
CVE-2006-6500,119
CVE-2006-6501,264
CVE-2006-6502,
CVE-2006-6503,254
CVE-2006-6504,94
CVE-2006-6505,
CVE-2006-6506,
CVE-2006-6507,
CVE-2007-0008,189
CVE-2007-0009,119
CVE-2007-0775,
CVE-2007-0776,119
CVE-2007-0777,119
CVE-2007-0778,200
CVE-2007-0779,
CVE-2007-0780,79
CVE-2007-0800,
CVE-2007-0981,264
CVE-2007-0994,94
CVE-2007-0995,79
CVE-2007-0996,
CVE-2007-1092,
CVE-2007-1095,
CVE-2007-1362,20
CVE-2007-1558,
CVE-2007-1562,200
CVE-2007-2292,20
CVE-2007-2445,
CVE-2007-2867,119
CVE-2007-2868,94
CVE-2007-2869,
CVE-2007-2870,
CVE-2007-2871,
CVE-2007-3073,
CVE-2007-3089,
CVE-2007-3285,264
CVE-2007-3511,
CVE-2007-3656,200
CVE-2007-3670,79
CVE-2007-3736,
CVE-2007-3737,
CVE-2007-3738,
CVE-2007-3844,
CVE-2007-3845,
CVE-2007-4041,78
CVE-2007-4841,20
CVE-2007-4879,
CVE-2007-5045,94
CVE-2007-5334,16
CVE-2007-5337,200
CVE-2007-5338,264
CVE-2007-5339,20
CVE-2007-5340,20
CVE-2007-5947,79
CVE-2007-5959,
