Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,domain.c,xen/arch/x86/domain.c,6,29,3,330,1501,210,7,6,8,3,38,6,29,3,0,49,255,5,52,2035,330,1416,169,995,210,1,84,515,11,92,1000017425,698,998,152,21,825,90,86,114,37,5,67,1,5,5686958604,0,324,308,384,157
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,grant_table.c,xen/common/grant_table.c,7,42,3,537,2774,329,8,8,9,4,52,7,41,3,0,63,568,9,31,3623,529,2653,437,1678,329,68,62,651,10,52,377624,1450,1919,311,9,1599,54,54,66,23,5,114,2,5,534878018,0,503,486,575,308
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,ioreq.c,xen/arch/x86/hvm/ioreq.c,6,24,1,323,1059,75,4,4,5,2,31,6,24,1,0,44,440,10,24,1454,323,1045,188,701,75,0,14,313,7,18,445,495,673,149,0,524,15,13,22,12,3,54,1,3,21615160,0,179,164,204,105
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,memory.c,xen/common/memory.c,15,65,6,260,1110,115,12,11,15,9,85,14,58,5,0,16,153,10,42,1475,239,936,99,655,106,149,55,230,14,53,2622010,466,660,89,0,571,71,56,82,56,5,31,2,5,1313144796,0,195,180,234,144
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,mm.c,xen/arch/arm/mm.c,3,18,3,218,1031,267,3,3,3,1,23,3,16,3,0,47,174,4,16,1498,197,821,209,494,239,187,76,274,6,25,174,444,596,182,3,411,18,15,21,15,4,34,1,4,12789281,0,130,118,143,82
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,mm.c,xen/arch/x86/mm.c,6,36,2,986,5179,508,8,8,10,4,44,6,36,2,0,136,933,7,29,6652,979,4966,758,3411,507,35,188,1552,11,78,1010251413,2423,3495,598,16,2881,105,98,128,54,10,265,2,10,1673850299,0,1153,1079,1392,609
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,mm.h,xen/include/xen/mm.h,0,6,0,68,480,76,1,1,1,1,6,0,6,0,0,24,67,3,8,615,52,209,112,44,75,192,123,65,3,6,30,91,121,76,0,45,2,2,5,1,1,6,0,1,8645,0,30,30,33,24
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Unknown,File,p2m-common.h,xen/include/xen/p2m-common.h,0,0,0,4,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,11,11,0,5,0,4,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,p2m.c,xen/arch/x86/mm/p2m.c,4,24,3,393,1825,402,7,7,8,2,31,4,24,3,0,71,528,7,31,2612,378,1722,325,1096,397,99,24,807,11,43,12261,1077,1462,269,2,1191,36,36,42,17,6,138,2,6,58068561,0,467,466,535,197
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,p2m.c,xen/arch/arm/p2m.c,4,18,5,282,962,333,3,3,4,1,27,4,18,5,0,51,312,6,17,1558,282,920,236,592,330,11,35,340,7,35,2562,483,648,155,3,490,23,17,27,8,3,37,1,3,33893407,0,166,144,188,90
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,p2m.h,xen/include/asm-arm/p2m.h,1,7,1,67,184,130,2,2,2,1,9,1,7,1,0,11,22,2,4,365,67,159,105,30,130,0,25,31,3,11,21,70,87,60,0,27,6,6,6,5,1,2,0,1,19280,0,17,17,18,15
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,p2m.h,xen/include/asm-x86/p2m.h,1,10,1,150,460,304,4,3,4,1,12,1,9,1,0,14,74,5,20,885,150,352,249,64,304,4,108,38,3,9,27,190,237,160,0,77,18,18,20,3,2,10,1,2,172837,0,50,44,55,16
276,Yes,No,a0cce6048d010a30ac82f8db7787bbf9aada64f4,"[""CVE-2017-10918""]",No,Yes,File,smmu.c,xen/drivers/passthrough/arm/smmu.c,4,22,3,487,2058,307,4,4,5,2,29,4,22,3,0,55,354,6,20,2840,397,1321,319,869,258,562,328,325,6,35,113079,728,960,254,1,705,32,20,32,14,3,57,1,3,39892653,0,240,215,251,131
