Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,apic.c,xen/arch/x86/apic.c,4,19,6,218,879,386,3,3,4,1,28,4,18,6,0,43,97,2,17,1472,218,834,119,554,385,13,34,236,5,22,2854,469,624,130,1,493,14,14,18,9,3,40,1,3,1426250,0,147,144,170,71
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,apicdef.h,xen/include/asm-x86/apicdef.h,0,0,0,57,318,67,0,0,0,0,0,0,0,0,0,0,0,0,0,389,57,203,202,0,67,0,115,0,0,0,0,117,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,boot.c,xen/common/efi/boot.c,6,52,1,149,1116,40,11,10,13,3,58,6,51,1,0,18,141,8,44,1297,149,1059,173,696,33,13,54,203,11,73,1000049725,575,848,266,12,570,69,67,84,17,4,29,2,4,2664861828,0,189,177,233,57
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,bug.h,xen/include/asm-arm/arm64/bug.h,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,bug.h,xen/include/asm-arm/bug.h,0,0,0,13,60,19,0,0,0,0,0,0,0,0,0,0,0,0,0,86,13,12,11,0,19,2,48,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,bug.h,xen/include/asm-arm/arm32/bug.h,0,0,0,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,common.c,xen/arch/x86/mm/shadow/common.c,4,28,6,504,2641,784,6,6,7,3,36,4,27,6,0,89,777,9,21,3787,492,2432,533,1645,765,111,117,877,10,42,1000134131,1285,1788,300,5,1483,107,101,109,63,7,124,1,7,207739973,0,563,518,664,282
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,cpufeature.h,xen/include/asm-arm/cpufeature.h,0,0,0,6,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,0,0,0,8,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,debugger.h,xen/include/asm-arm/debugger.h,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,domain.c,xen/arch/x86/domain.c,5,29,3,350,1634,175,7,6,8,2,36,5,28,3,0,54,329,6,48,2149,350,1549,193,1069,175,0,85,580,11,81,1000012893,833,1182,168,20,994,101,97,130,34,5,76,1,5,3445414345,0,383,346,457,160
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,domain.c,xen/common/domain.c,6,23,2,301,1058,99,5,4,5,3,31,5,22,1,0,42,314,7,30,1454,290,965,126,679,86,62,57,369,9,59,594719,548,737,121,3,613,34,32,37,27,3,52,1,3,418590431,0,195,182,214,132
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,domctl.c,xen/common/domctl.c,11,55,5,195,910,107,11,9,13,7,71,11,53,5,0,16,187,12,83,1204,193,847,88,629,107,28,37,203,13,108,56981,425,596,76,1,519,119,89,139,82,5,20,1,5,35694045436,0,178,147,213,112
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,domctl.c,xen/arch/x86/domctl.c,65,394,9,203,1219,43,80,64,94,38,466,65,388,9,0,3,187,62,139,1457,202,1164,81,883,43,15,41,200,67,152,2104701,592,815,77,3,735,200,152,243,113,7,9,3,7,352022224112,0,240,192,283,115
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,domctl.h,xen/include/public/domctl.h,0,0,0,116,663,432,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,116,471,419,0,432,2,191,0,0,0,0,448,448,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
