Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[83, 87]",default,none,Function,__div0(),xen/arch/arm/traps.c,0,5,0,0,5,0,5,1,2,0,0,0,3,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[671, 715]",default,Static,Static Function,"_show_registers(struct cpu_user_regs *,struct reg_ctxt *,int,const struct vcpu *)",xen/arch/arm/traps.c,4,41,0,8,45,4,28,4,18,0,5,8,8,3,15,17,0,0,17,3,3,3,1,1,0,2,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[1254, 1292]",default,Static,Static Function,"advance_pc(struct cpu_user_regs *,union hsr)",xen/arch/arm/traps.c,6,22,11,9,39,6,22,2,17,11,0,0,5,3,13,15,1,0,14,4,4,7,1,1,0,2,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[1211, 1252]",default,Static,Static Function,"check_conditional_instr(struct cpu_user_regs *,union hsr)",xen/arch/arm/traps.c,12,24,6,13,42,12,24,4,16,6,0,0,3,7,14,19,3,0,16,7,7,8,6,5,5,2,5,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[48, 59]",default,Static,Static Function,check_stack_alignment_constraints(),xen/arch/arm/traps.c,0,12,0,0,12,0,5,3,3,0,4,3,3,1,3,3,0,0,3,1,1,1,1,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[259, 273]",default,Static,Static Function,"cpsr_switch_mode(struct cpu_user_regs *,int)",xen/arch/arm/traps.c,2,13,0,3,15,2,13,2,10,0,0,0,2,8,7,10,1,0,9,4,4,4,1,0,0,1,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[172, 227]",default,Static,Static Function,"decode_fsc(uint32_t,int *)",xen/arch/arm/traps.c,4,52,0,2,56,4,52,2,47,0,0,0,2,13,33,46,1,0,45,13,2,13,1,78,0,1,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[1294, 1366]",default,Static,Static Function,"do_cp15_32(struct cpu_user_regs *,union hsr)",xen/arch/arm/traps.c,2,71,0,14,73,2,65,5,48,0,1,5,10,12,27,40,3,1,36,14,9,14,7,21,21,2,21,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[1368, 1404]",default,Static,Static Function,"do_cp15_64(struct cpu_user_regs *,union hsr)",xen/arch/arm/traps.c,2,35,0,11,37,2,33,3,21,0,0,2,8,4,11,15,1,0,14,5,5,5,3,3,2,2,2,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[1037, 1064]",default,Static,Static Function,"do_debug_trap(struct cpu_user_regs *,unsigned int)",xen/arch/arm/traps.c,0,28,0,6,28,0,28,4,22,0,0,0,4,5,17,22,3,0,19,5,2,5,1,10,0,1,0,0
