Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[148, 160]",Static Function,check_hwdom_reqs(struct domain *),xen/drivers/passthrough/iommu.c,,,,3,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,3,10,1,7,0,0,0,5,3,4,6,0,0,6,3,3,3,1,1,,,,,0,,1,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,,File,iommu.c,xen/drivers/passthrough/iommu.c,3,16,0,92,365,54,4,4,5,1,19,3,16,0,,,,0,,,,,,21,,,,,,,,,,,,,,511,92,350,78,228,54,3,12,,,168,255,74,0,181,,,,,,19,19,20,4,,,3,,,0.15,94,94,114,33
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[216, 240]",Function,iommu_construct(struct domain *),xen/drivers/passthrough/iommu.c,,,,4,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,4,15,2,9,6,0,0,7,4,7,10,1,0,9,4,4,4,4,3,,,,,3,,2,3,,0.40,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[447, 452]",Function,iommu_crash_shutdown(),xen/drivers/passthrough/iommu.c,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,1,3,0,0,0,5,2,2,3,0,0,3,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[420, 439]",Function,"iommu_do_domctl(struct xen_domctl *,struct domain *,(*) ())",xen/drivers/passthrough/iommu.c,,,,4,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,4,9,4,4,0,3,4,1,2,3,4,1,0,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[242, 250]",Function,iommu_domain_destroy(struct domain *),xen/drivers/passthrough/iommu.c,,,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,2,7,1,4,0,0,0,3,2,3,4,0,0,4,2,2,3,1,1,,,,,0,,1,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[132, 146]",Function,iommu_domain_init(struct domain *),xen/drivers/passthrough/iommu.c,,,,3,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,3,12,3,9,0,0,0,6,3,7,9,2,0,7,3,3,3,3,2,,,,,2,,1,2,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[476, 502]",Static Function,iommu_dump_p2m_table(unsigned char),xen/drivers/passthrough/iommu.c,,,,4,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,4,23,3,13,0,0,0,7,5,10,13,2,0,11,4,4,5,4,1,,,,,1,,1,1,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[299, 314]",Static Function,iommu_free_pagetables(unsigned long),xen/drivers/passthrough/iommu.c,,,,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,2,14,2,10,0,0,0,9,2,8,9,1,0,8,3,3,3,3,2,,,,,2,,2,2,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[454, 466]",Function,"iommu_get_reserved_device_memory(iommu_grdm_t *,void *)",xen/drivers/passthrough/iommu.c,,,,3,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,3,10,2,6,0,0,0,3,3,5,7,1,0,6,3,3,3,3,2,,,,,2,,1,2,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[468, 474]",Function,"iommu_has_feature(struct domain *,enum iommu_feature)",xen/drivers/passthrough/iommu.c,,,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,1,6,1,3,0,0,0,3,2,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[162, 205]",Function,iommu_hwdom_init(struct domain *),xen/drivers/passthrough/iommu.c,,,,9,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,44,9,35,9,27,0,0,0,15,18,18,24,8,0,16,7,7,9,1,1,,,,,0,,2,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[316, 338]",Function,"iommu_iotlb_flush(struct domain *,unsigned long,unsigned int)",xen/drivers/passthrough/iommu.c,,,,4,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,23,4,19,4,12,0,0,0,8,6,7,11,2,0,9,5,5,8,1,1,,,,,0,,2,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[340, 361]",Function,iommu_iotlb_flush_all(struct domain *),xen/drivers/passthrough/iommu.c,,,,4,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,22,4,18,3,12,0,0,0,8,6,7,11,2,0,9,5,5,8,1,1,,,,,0,,2,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[252, 274]",Function,"iommu_map_page(struct domain *,unsigned long,unsigned long,unsigned int)",xen/drivers/passthrough/iommu.c,,,,4,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,23,4,19,4,12,0,0,0,8,6,7,11,2,0,9,5,5,7,1,1,,,,,0,,2,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[414, 418]",Function,iommu_resume(),xen/drivers/passthrough/iommu.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,2,0,0,0,2,2,1,2,0,0,2,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[363, 404]",Function,iommu_setup(),xen/drivers/passthrough/iommu.c,,,,6,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,42,6,36,3,27,0,0,0,11,128,16,23,2,0,21,13,13,17,1,0,,,,,0,,1,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[441, 445]",Function,iommu_share_p2m_table(struct domain *),xen/drivers/passthrough/iommu.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,2,0,0,0,3,2,1,2,0,0,2,2,2,3,1,0,,,,,0,,1,0,,0.00,,,,
252,Yes,No,93e1435290867703c50acad1f54b9208df473562,"[""CVE-2017-14431""]",No,"[406, 412]",Function,iommu_suspend(),xen/drivers/passthrough/iommu.c,,,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,6,1,3,0,0,0,3,2,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
