CVE,CWE
-,
CVE-2012-5510,
CVE-2012-5511,119
CVE-2012-5512,16
CVE-2012-5513,20
CVE-2012-5514,
CVE-2012-5515,
CVE-2012-5525,
CVE-2012-5634,16
CVE-2012-6075,120
CVE-2013-0151,264
CVE-2013-0152,399
CVE-2013-0153,
CVE-2013-0154,
CVE-2013-0190,20
CVE-2013-0215,264
CVE-2013-0216,20
CVE-2013-0228,189
CVE-2013-0231,119
CVE-2013-1432,399
CVE-2013-1442,200
CVE-2013-1917,20
CVE-2013-1918,119
CVE-2013-1919,264
CVE-2013-1920,264
CVE-2013-1922,264
CVE-2013-1952,20
CVE-2013-1964,264
CVE-2013-2007,264
CVE-2013-2072,119
CVE-2013-2076,200
CVE-2013-2077,264
CVE-2013-2078,20
CVE-2013-2194,189
CVE-2013-2211,264
CVE-2013-2212,119
CVE-2013-3495,264
CVE-2013-4329,264
CVE-2013-4344,120
CVE-2013-4355,200
CVE-2013-4356,264
CVE-2013-4361,200
CVE-2013-4368,200
CVE-2013-4369,
CVE-2013-4370,119
CVE-2013-4371,399
CVE-2013-4375,399
CVE-2013-4416,119
CVE-2013-4494,20
CVE-2013-4551,20
CVE-2013-4553,119
CVE-2013-4554,264
CVE-2013-6375,264
CVE-2013-6400,264
CVE-2013-6885,399
CVE-2014-1642,399
CVE-2014-1666,264
CVE-2014-1891,189
CVE-2014-1895,189
CVE-2014-1896,20
CVE-2014-1950,399
CVE-2014-2580,399
CVE-2014-2599,20
CVE-2014-2915,264
CVE-2014-2986,20
CVE-2014-3124,264
CVE-2014-3125,264
CVE-2014-3714,20
CVE-2014-3967,
CVE-2014-3969,264
CVE-2014-4021,119
CVE-2014-4022,200
CVE-2014-5146,399
CVE-2014-5147,264
CVE-2014-5148,119
CVE-2014-6268,399
CVE-2014-7154,362
CVE-2014-7155,264
CVE-2014-7156,264
CVE-2014-7188,399
CVE-2014-8594,20
CVE-2014-8595,17
CVE-2014-8866,17
CVE-2014-8867,17
CVE-2014-9030,20
CVE-2014-9065,17
CVE-2015-0268,20
CVE-2015-0361,
CVE-2015-1563,399
CVE-2015-2044,200
CVE-2015-2045,200
CVE-2015-2150,264
CVE-2015-2151,264
CVE-2015-2152,264
CVE-2015-2751,17
CVE-2015-2752,20
CVE-2015-2756,264
CVE-2015-3209,787
CVE-2015-3259,264
CVE-2015-3340,200
CVE-2015-3456,119
CVE-2015-4103,264
CVE-2015-4104,264
CVE-2015-4105,399
CVE-2015-4106,863
CVE-2015-4163,
CVE-2015-4164,399
CVE-2015-5154,119
CVE-2015-5165,200
CVE-2015-5166,264
CVE-2015-5307,399
CVE-2015-6654,264
CVE-2015-7311,17
CVE-2015-7504,787
CVE-2015-7812,254
CVE-2015-7813,399
CVE-2015-7814,119
CVE-2015-7835,264
CVE-2015-7969,399
CVE-2015-7970,399
CVE-2015-7971,19
CVE-2015-7972,399
CVE-2015-8338,254
CVE-2015-8339,19
CVE-2015-8341,399
CVE-2015-8550,284
CVE-2015-8551,476
CVE-2015-8554,119
CVE-2015-8555,200
CVE-2015-8615,254
CVE-2016-1570,20
CVE-2016-1571,17
CVE-2016-2270,20
CVE-2016-2271,
CVE-2016-3157,264
CVE-2016-3158,200
CVE-2016-3960,264
CVE-2016-3961,20
null,
