CVE,CVE Details URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2019-11743,https://www.cvedetails.com/cve/CVE-2019-11743,2019-09-27,2019-10-04,4.3,Partial,None,None,Medium,Not required,None,Obtain Information,200,https://bugzilla.mozilla.org/show_bug.cgi?id=1560495,1560495,"https://www.mozilla.org/security/advisories/mfsa2019-26/,https://www.mozilla.org/security/advisories/mfsa2019-30/,https://www.mozilla.org/security/advisories/mfsa2019-29/,https://www.mozilla.org/security/advisories/mfsa2019-25/,https://www.mozilla.org/security/advisories/mfsa2019-27/","MFSA-2019-26,MFSA-2019-30,MFSA-2019-29,MFSA-2019-25,MFSA-2019-27",,,,
CVE-2019-11746,https://www.cvedetails.com/cve/CVE-2019-11746,2019-09-27,2019-10-04,6.8,Partial,Partial,Partial,Medium,Not required,None,,416,https://bugzilla.mozilla.org/show_bug.cgi?id=1564449,1564449,"https://www.mozilla.org/security/advisories/mfsa2019-29/,https://www.mozilla.org/security/advisories/mfsa2019-30/,https://www.mozilla.org/security/advisories/mfsa2019-27/,https://www.mozilla.org/security/advisories/mfsa2019-25/,https://www.mozilla.org/security/advisories/mfsa2019-26/","MFSA-2019-29,MFSA-2019-30,MFSA-2019-27,MFSA-2019-25,MFSA-2019-26",,,,
CVE-2019-11754,https://www.cvedetails.com/cve/CVE-2019-11754,2019-09-27,2019-10-04,4.3,None,Partial,None,Medium,Not required,None,,20,https://bugzilla.mozilla.org/show_bug.cgi?id=1580506,1580506,https://www.mozilla.org/security/advisories/mfsa2019-31/,MFSA-2019-31,,,,
CVE-2017-7824,https://www.cvedetails.com/cve/CVE-2017-7824,2018-06-11,2018-08-09,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,119,https://bugzilla.mozilla.org/show_bug.cgi?id=1398381,1398381,"https://www.mozilla.org/security/advisories/mfsa2017-23/,https://www.mozilla.org/security/advisories/mfsa2017-21/,https://www.mozilla.org/security/advisories/mfsa2017-22/","MFSA-2017-23,MFSA-2017-21,MFSA-2017-22",,,,
CVE-2017-7809,https://www.cvedetails.com/cve/CVE-2017-7809,2018-06-11,2018-08-03,7.5,Partial,Partial,Partial,Low,Not required,None,,416,https://bugzilla.mozilla.org/show_bug.cgi?id=1380284,1380284,"https://www.mozilla.org/security/advisories/mfsa2017-20/,https://www.mozilla.org/security/advisories/mfsa2017-19/,https://www.mozilla.org/security/advisories/mfsa2017-18/","MFSA-2017-20,MFSA-2017-19,MFSA-2017-18",,,,
CVE-2017-7838,https://www.cvedetails.com/cve/CVE-2017-7838,2018-06-11,2018-06-25,5.0,None,Partial,None,Low,Not required,None,,20,https://bugzilla.mozilla.org/show_bug.cgi?id=1399540,1399540,https://www.mozilla.org/security/advisories/mfsa2017-24/,MFSA-2017-24,,,,
CVE-2016-5259,https://www.cvedetails.com/cve/CVE-2016-5259,2016-08-04,2017-08-15,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,416,https://bugzilla.mozilla.org/show_bug.cgi?id=1282992,1282992,https://www.mozilla.org/security/announce/2016/mfsa2016-73.html,MFSA-2016-73,,,,
CVE-2016-5250,https://www.cvedetails.com/cve/CVE-2016-5250,2016-08-04,2018-06-11,5.0,Partial,None,None,Low,Not required,None,Obtain Information,200,https://bugzilla.mozilla.org/show_bug.cgi?id=1254688,1254688,"https://www.mozilla.org/security/advisories/mfsa2016-88/,https://www.mozilla.org/security/announce/2016/mfsa2016-84.html,https://www.mozilla.org/security/advisories/mfsa2016-86/","MFSA-2016-88,MFSA-2016-84,MFSA-2016-86",,,,
CVE-2016-2835,https://www.cvedetails.com/cve/CVE-2016-2835,2016-08-04,2017-08-15,6.8,Partial,Partial,Partial,Medium,Not required,None,"Denial Of Service,Execute Code,Memory corruption",,"https://bugzilla.mozilla.org/show_bug.cgi?id=1282246,https://bugzilla.mozilla.org/show_bug.cgi?id=1280215,https://bugzilla.mozilla.org/show_bug.cgi?id=1275582,https://bugzilla.mozilla.org/show_bug.cgi?id=1270537,https://bugzilla.mozilla.org/show_bug.cgi?id=1264998,https://bugzilla.mozilla.org/show_bug.cgi?id=1254106,https://bugzilla.mozilla.org/show_bug.cgi?id=1222101,https://bugzilla.mozilla.org/show_bug.cgi?id=1251308,https://bugzilla.mozilla.org/show_bug.cgi?id=1280443","1282246,1280215,1275582,1270537,1264998,1254106,1222101,1251308,1280443",https://www.mozilla.org/security/announce/2016/mfsa2016-62.html,MFSA-2016-62,,,,
CVE-2015-0817,https://www.cvedetails.com/cve/CVE-2015-0817,2015-03-23,2017-01-02,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,17,https://bugzilla.mozilla.org/show_bug.cgi?id=1145255,1145255,https://www.mozilla.org/security/announce/2015/mfsa2015-29.html,MFSA-2015-29,,,,
