CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2002-0806,https://www.cvedetails.com/cve/CVE-2002-0806,2002-08-12,2008-09-05,2.1,None,Partial,None,Low,Not required,None,,,"{""Bugzilla"": [""2.14"", ""2.14.1"", ""2.16""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=141557""]","[""141557""]",,,,,,,
CVE-2003-0154,https://www.cvedetails.com/cve/CVE-2003-0154,2003-04-02,2016-10-17,6.8,Partial,Partial,Partial,Medium,Not required,User,"[""Cross Site Scripting""]",,"{""Bonsai"": [""1.3""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=146244"", ""https://bugzilla.mozilla.org/attachment.cgi?id=95950&action=view"", ""https://bugzilla.mozilla.org/show_bug.cgi?id=163573"", ""https://bugzilla.mozilla.org/attachment.cgi?id=95985&action=view""]","[""146244"", ""95950"", ""163573"", ""95985""]",,,,,,,
CVE-2001-1407,https://www.cvedetails.com/cve/CVE-2001-1407,2001-09-10,2016-10-17,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Bypass a restriction or similar""]",,"{""Bugzilla"": [""2.4"", ""2.6"", ""2.8"", ""2.10"", ""2.12"", ""2.14""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=96085""]","[""96085""]",,,,,,,
CVE-2001-0329,https://www.cvedetails.com/cve/CVE-2001-0329,2001-06-27,2008-09-10,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Execute Code""]",,"{""Bugzilla"": [""2.4"", ""2.6"", ""2.8"", ""2.10""]}","[""https://www.mozilla.org/projects/bugzilla/security2_12.html""]",[null],,,,,,,
CVE-2005-1576,https://www.cvedetails.com/cve/CVE-2005-1576,2005-05-12,2008-09-05,2.6,None,Partial,None,High,Not required,None,,,"{""Firefox"": [""0.10.1"", ""1.0""]}",,,,,,,,,
CVE-2005-2114,https://www.cvedetails.com/cve/CVE-2005-2114,2005-07-05,2017-10-10,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Camino"": [""0.8.4""], ""Firefox"": [""1.0.4""], ""Mozilla"": [""1.7.8""]}",,,,,,,,,
CVE-2005-2268,https://www.cvedetails.com/cve/CVE-2005-2268,2005-07-13,2017-10-10,2.6,None,Partial,None,High,Not required,None,,,"{""Firefox"": [""0.8"", ""0.9"", ""0.9.1"", ""0.9.2"", ""0.9.3"", ""0.10"", ""0.10.1"", ""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4""], ""Mozilla"": [""1.3"", ""1.4"", ""1.4.1"", ""1.5"", ""1.5.1"", ""1.6"", ""1.7"", ""1.7.1"", ""1.7.2"", ""1.7.3"", ""1.7.5"", ""1.7.6"", ""1.7.7"", ""1.7.8""]}",,,"[""https://www.mozilla.org/security/announce/mfsa2005-54.html""]","[""MFSA-2005-54""]","{""MFSA-2005-54"": {""Announced"": ""2005-07-12"", ""Reporter"": ""Secunia.com"", ""Impact"": ""Low"", ""Products"": [""Firefox"", ""Mozilla Suite""], ""Fixed In"": [""Firefox 1.0.5"", ""Mozilla Suite 1.7.10""]}}",,,,
CVE-2005-2173,https://www.cvedetails.com/cve/CVE-2005-2173,2005-07-08,2008-09-05,5.0,None,Partial,None,Low,Not required,None,,,"{""Bugzilla"": [""2.17.1"", ""2.17.3"", ""2.17.4"", ""2.17.5"", ""2.17.6"", ""2.17.7"", ""2.18"", ""2.18.1"", ""2.19"", ""2.19.1"", ""2.19.2"", ""2.19.3""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=293159""]","[""293159""]",,,,,,,
CVE-2006-6502,https://www.cvedetails.com/cve/CVE-2006-6502,2006-12-19,2018-10-17,7.1,None,None,Complete,Medium,Not required,None,"[""Denial Of Service""]",,"{""Firefox"": [""1.5"", ""1.5.0.1"", ""1.5.0.2"", ""1.5.0.3"", ""1.5.0.4"", ""1.5.0.5"", ""1.5.0.6"", ""1.5.0.7"", ""1.5.0.8"", ""2.0""], ""Seamonkey"": [""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4"", ""1.0.5"", ""1.0.6""], ""Thunderbird"": [""0.1"", ""0.2"", ""0.3"", ""0.4"", ""0.5"", ""0.6"", ""0.7"", ""0.7.1"", ""0.7.2"", ""0.7.3"", ""0.8"", ""0.9"", ""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4"", ""1.0.5"", ""1.0.6"", ""1.0.7"", ""1.0.8"", ""1.5"", ""1.5.0.1"", ""1.5.0.2"", ""1.5.0.3"", ""1.5.0.4"", ""1.5.0.6"", ""1.5.0.7"", ""1.5.0.8""]}",,,"[""https://www.mozilla.org/security/announce/2006/mfsa2006-71.html""]","[""MFSA-2006-71""]","{""MFSA-2006-71"": {""Announced"": ""2006-12-19"", ""Reporter"": ""Steven Michaud"", ""Impact"": ""Critical"", ""Products"": [""Firefox"", ""SeaMonkey"", ""Thunderbird""], ""Fixed In"": [""Firefox 1.5.0.9"", ""Firefox 2.0.0.1"", ""SeaMonkey 1.0.7"", ""Thunderbird 1.5.0.9""]}}",,,,
CVE-2007-0778,https://www.cvedetails.com/cve/CVE-2007-0778,2007-02-26,2019-10-09,5.4,Complete,None,None,High,Not required,None,"[""Obtain Information""]",200,"{""Firefox"": [""1.5"", ""1.5.0.1"", ""1.5.0.2"", ""1.5.0.3"", ""1.5.0.4"", ""1.5.0.5"", ""1.5.0.6"", ""1.5.0.7"", ""1.5.0.8"", ""1.5.0.9"", ""2.0"", ""2.0.0.1""], ""Seamonkey"": [""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4"", ""1.0.5"", ""1.0.6"", ""1.0.7""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=347852""]","[""347852""]","[""https://www.mozilla.org/security/announce/2007/mfsa2007-03.html""]","[""MFSA-2007-03""]","{""MFSA-2007-03"": {""Announced"": ""2007-02-23"", ""Reporter"": ""Aad"", ""Impact"": ""Moderate"", ""Products"": [""Firefox"", ""SeaMonkey""], ""Fixed In"": [""Firefox 1.5.0.10"", ""Firefox 2.0.0.2"", ""SeaMonkey 1.0.8""]}}",,,,
