CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2000-0655,https://www.cvedetails.com/cve/CVE-2000-0655,2000-07-25,2008-09-10,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service"", ""Execute Code""]",,"{""Mozilla"": [""M15""]}",,,,,,,,,
CVE-2002-0008,https://www.cvedetails.com/cve/CVE-2002-0008,2002-01-31,2008-09-10,7.5,Partial,Partial,Partial,Low,Not required,User,,,"{""Bugzilla"": [""2.14.1""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=108385"", ""https://bugzilla.mozilla.org/show_bug.cgi?id=108516""]","[""108385"", ""108516""]",,,,,,,
CVE-2002-2061,https://www.cvedetails.com/cve/CVE-2002-2061,2002-12-31,2008-09-10,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Execute Code"", ""Overflow""]",,"{""Mozilla"": [""1.0""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=157202""]","[""157202""]",,,,,,,
CVE-2001-1403,https://www.cvedetails.com/cve/CVE-2001-1403,2001-09-10,2016-10-17,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Gain privileges""]",,"{""Bugzilla"": [""2.4"", ""2.6"", ""2.8"", ""2.10"", ""2.12"", ""2.14""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=15980""]","[""15980""]",,,,,,,
CVE-2005-0585,https://www.cvedetails.com/cve/CVE-2005-0585,2005-03-25,2017-10-10,2.6,None,Partial,None,High,Not required,None,,,"{""Firefox"": [""0.8"", ""0.9"", ""0.9.1"", ""0.9.2"", ""0.9.3"", ""0.10"", ""0.10.1"", ""1.0""], ""Mozilla"": [""1.3"", ""1.4"", ""1.4.1"", ""1.5"", ""1.5.1"", ""1.6"", ""1.7"", ""1.7.1"", ""1.7.2"", ""1.7.3"", ""1.7.5""]}",,,"[""https://www.mozilla.org/security/announce/mfsa2005-23.html""]","[""MFSA-2005-23""]","{""MFSA-2005-23"": {""Announced"": ""2005-02-24"", ""Reporter"": ""Jakob Balle (Secunia)"", ""Risk"": ""Low"", ""Impact"": ""Low"", ""Products"": [""Firefox"", ""Mozilla Suite""], ""Fixed In"": [""Firefox 1.0.1"", ""Mozilla Suite 1.7.6""]}}",,,,
CVE-2004-1639,https://www.cvedetails.com/cve/CVE-2004-1639,2004-10-26,2017-07-10,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Firefox"": [""0.10""], ""Gecko"": [""2004-09-13""], ""Mozilla"": [""5.0""]}",,,,,,,,,
CVE-2005-0231,https://www.cvedetails.com/cve/CVE-2005-0231,2005-02-07,2017-10-10,2.6,None,Partial,None,High,Not required,None,"[""Bypass a restriction or similar""]",,"{""Firefox"": [""1.0""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=280056""]","[""280056""]","[""https://www.mozilla.org/security/announce/mfsa2005-26.html""]","[""MFSA-2005-26""]","{""MFSA-2005-26"": {""Announced"": ""2005-02-24"", ""Reporter"": ""Michael Krax"", ""Risk"": ""Low"", ""Impact"": ""Critical"", ""Products"": [""Firefox"", ""Mozilla Suite""], ""Fixed In"": [""Firefox 1.0.1"", ""Mozilla Suite 1.7.6""]}}",,,,
CVE-2005-0401,https://www.cvedetails.com/cve/CVE-2005-0401,2005-05-02,2018-05-02,5.1,Partial,Partial,Partial,High,Not required,None,"[""Execute Code""]",,"{""Firefox"": [""0.8"", ""0.9"", ""0.9.1"", ""0.9.2"", ""0.9.3"", ""0.10"", ""0.10.1"", ""1.0""], ""Mozilla"": [""1.3"", ""1.4"", ""1.4.1"", ""1.5"", ""1.5.1"", ""1.6"", ""1.7"", ""1.7.1"", ""1.7.2"", ""1.7.3"", ""1.7.5""]}",,,"[""https://www.mozilla.org/security/announce/mfsa2005-32.html""]","[""MFSA-2005-32""]","{""MFSA-2005-32"": {""Announced"": ""2005-03-22"", ""Reporter"": ""Michael Krax"", ""Impact"": ""Low"", ""Products"": [""Firefox"", ""Mozilla Suite""], ""Fixed In"": [""Firefox 1.0.2"", ""Mozilla Suite 1.7.7""]}}",,,,
CVE-2006-1728,https://www.cvedetails.com/cve/CVE-2006-1728,2006-04-14,2018-10-18,9.3,Complete,Complete,Complete,Medium,Not required,Admin,"[""Execute Code""]",,"{""Firefox"": [""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4"", ""1.0.5"", ""1.0.6"", ""1.0.7""], ""Mozilla Suite"": [""1.7.6"", ""1.7.7"", ""1.7.8"", ""1.7.10"", ""1.7.11"", ""1.7.12""], ""Seamonkey"": [""1.0""]}",,,"[""https://www.mozilla.org/security/announce/2006/mfsa2006-24.html""]","[""MFSA-2006-24""]","{""MFSA-2006-24"": {""Announced"": ""2006-04-13"", ""Reporter"": ""shutdown"", ""Impact"": ""Critical"", ""Products"": [""Firefox"", ""Mozilla Suite"", ""SeaMonkey"", ""Thunderbird""], ""Fixed In"": [""Firefox 1.0.8"", ""Firefox 1.5.0.2"", ""Mozilla Suite 1.7.13"", ""SeaMonkey 1.0.1"", ""Thunderbird 1.0.8"", ""Thunderbird 1.5.0.2""], ""CVEs"": [""CVE-2006-1728""]}}",,,,
CVE-2006-1733,https://www.cvedetails.com/cve/CVE-2006-1733,2006-04-14,2018-10-18,6.8,Partial,Partial,Partial,Medium,Not required,User,"[""Execute Code""]",264,"{""Firefox"": [""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4"", ""1.0.5"", ""1.0.6"", ""1.0.7"", ""1.5""], ""Mozilla Suite"": [""1.7.6"", ""1.7.7"", ""1.7.8"", ""1.7.10"", ""1.7.11"", ""1.7.12""], ""Seamonkey"": [""1.0""], ""Thunderbird"": [""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4"", ""1.0.5"", ""1.0.6"", ""1.0.7"", ""1.5""]}",,,"[""https://www.mozilla.org/security/announce/2006/mfsa2006-16.html""]","[""MFSA-2006-16""]","{""MFSA-2006-16"": {""Announced"": ""2006-04-13"", ""Reporter"": ""moz_bug_r_a4"", ""Impact"": ""Critical"", ""Products"": [""Firefox"", ""Mozilla Suite"", ""SeaMonkey"", ""Thunderbird""], ""Fixed In"": [""Firefox 1.0.8"", ""Firefox 1.5"", ""Mozilla Suite 1.7.13"", ""SeaMonkey 1"", ""Thunderbird 1.0.8"", ""Thunderbird 1.5""], ""CVEs"": [""CVE-2006-1733""]}}",,,,
