CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2002-0354,https://www.cvedetails.com/cve/CVE-2002-0354,2002-06-25,2016-10-17,5.0,None,Partial,None,Low,Not required,None,,,"{""Mozilla"": [""0.9.7"", ""0.9.9"", ""1.0""]}",,,,,,,,,
CVE-2002-0803,https://www.cvedetails.com/cve/CVE-2002-0803,2002-08-12,2008-09-10,5.0,Partial,None,None,Low,Not required,None,,,"{""Bugzilla"": [""2.14"", ""2.14.1"", ""2.16""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=126801""]","[""126801""]",,,,,,,
CVE-2002-0804,https://www.cvedetails.com/cve/CVE-2002-0804,2002-08-12,2008-09-05,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Bypass a restriction or similar""]",,"{""Bugzilla"": [""2.14"", ""2.14.1"", ""2.16""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=129466""]","[""129466""]",,,,,"[""15a6747ad2e4ed9b1f85d49f696b46893584074a"", ""4687c514981261ebe0662f662bf6ed7b3653f567""]",,
CVE-2002-0593,https://www.cvedetails.com/cve/CVE-2002-0593,2002-06-18,2008-09-05,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Denial Of Service"", ""Execute Code"", ""Overflow""]",,"{""Mozilla"": [""0.9.9"", ""1.0""]}",,,,,,,,,
CVE-2005-0399,https://www.cvedetails.com/cve/CVE-2005-0399,2005-05-02,2018-05-02,5.1,Partial,Partial,Partial,High,Not required,User,"[""Execute Code"", ""Overflow""]",,"{""Firefox"": [""0.8"", ""0.9"", ""0.9.1"", ""0.9.2"", ""0.9.3"", ""0.10"", ""0.10.1"", ""1.0"", ""1.0.1""], ""Mozilla"": [""1.3"", ""1.4"", ""1.4.1"", ""1.5"", ""1.5.1"", ""1.6"", ""1.7"", ""1.7.1"", ""1.7.2"", ""1.7.3"", ""1.7.5""], ""Thunderbird"": [""0.1"", ""0.2"", ""0.3"", ""0.4"", ""0.5"", ""0.6"", ""0.7"", ""0.7.1"", ""0.7.2"", ""0.7.3"", ""0.8"", ""0.9"", ""1.0"", ""1.0.1""]}",,,"[""https://www.mozilla.org/security/announce/mfsa2005-30.html""]","[""MFSA-2005-30""]","{""MFSA-2005-30"": {""Announced"": ""2005-03-22"", ""Reporter"": ""Mark Dowd (ISS X-Force)"", ""Risk"": ""High"", ""Impact"": ""Critical"", ""Products"": [""Firefox"", ""Mozilla Suite"", ""Thunderbird""], ""Fixed In"": [""Firefox 1.0.2"", ""Mozilla Suite 1.7.6"", ""Thunderbird 1.0.2""]}}",,,,
CVE-2004-1614,https://www.cvedetails.com/cve/CVE-2004-1614,2004-10-18,2016-10-17,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Mozilla"": [""1.0"", ""1.0.1"", ""1.0.2"", ""1.1"", ""1.2"", ""1.2.1"", ""1.3"", ""1.3.1"", ""1.4"", ""1.4.1"", ""1.4.2"", ""1.5"", ""1.6"", ""1.7"", ""1.7.1"", ""1.7.2"", ""1.7.3"", ""1.8""]}",,,,,,,,,
CVE-2005-0401,https://www.cvedetails.com/cve/CVE-2005-0401,2005-05-02,2018-05-02,5.1,Partial,Partial,Partial,High,Not required,None,"[""Execute Code""]",,"{""Firefox"": [""0.8"", ""0.9"", ""0.9.1"", ""0.9.2"", ""0.9.3"", ""0.10"", ""0.10.1"", ""1.0""], ""Mozilla"": [""1.3"", ""1.4"", ""1.4.1"", ""1.5"", ""1.5.1"", ""1.6"", ""1.7"", ""1.7.1"", ""1.7.2"", ""1.7.3"", ""1.7.5""]}",,,"[""https://www.mozilla.org/security/announce/mfsa2005-32.html""]","[""MFSA-2005-32""]","{""MFSA-2005-32"": {""Announced"": ""2005-03-22"", ""Reporter"": ""Michael Krax"", ""Impact"": ""Low"", ""Products"": [""Firefox"", ""Mozilla Suite""], ""Fixed In"": [""Firefox 1.0.2"", ""Mozilla Suite 1.7.7""]}}",,,,
CVE-2005-0231,https://www.cvedetails.com/cve/CVE-2005-0231,2005-02-07,2017-10-10,2.6,None,Partial,None,High,Not required,None,"[""Bypass a restriction or similar""]",,"{""Firefox"": [""1.0""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=280056""]","[""280056""]","[""https://www.mozilla.org/security/announce/mfsa2005-26.html""]","[""MFSA-2005-26""]","{""MFSA-2005-26"": {""Announced"": ""2005-02-24"", ""Reporter"": ""Michael Krax"", ""Risk"": ""Low"", ""Impact"": ""Critical"", ""Products"": [""Firefox"", ""Mozilla Suite""], ""Fixed In"": [""Firefox 1.0.1"", ""Mozilla Suite 1.7.6""]}}",,,,
CVE-2006-0913,https://www.cvedetails.com/cve/CVE-2006-0913,2006-02-28,2018-10-18,5.5,None,Partial,Partial,Low,Single system,None,"[""Execute Code"", ""Sql Injection""]",,"{""Bugzilla"": [""2.17.1"", ""2.17.3"", ""2.17.4"", ""2.17.5"", ""2.17.6"", ""2.17.7"", ""2.18"", ""2.18.1"", ""2.18.2"", ""2.18.3"", ""2.18.4"", ""2.19"", ""2.19.1"", ""2.19.2"", ""2.19.3"", ""2.20"", ""2.21"", ""2.21.1""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=312498""]","[""312498""]",,,,,,,
CVE-2006-1728,https://www.cvedetails.com/cve/CVE-2006-1728,2006-04-14,2018-10-18,9.3,Complete,Complete,Complete,Medium,Not required,Admin,"[""Execute Code""]",,"{""Firefox"": [""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4"", ""1.0.5"", ""1.0.6"", ""1.0.7""], ""Mozilla Suite"": [""1.7.6"", ""1.7.7"", ""1.7.8"", ""1.7.10"", ""1.7.11"", ""1.7.12""], ""Seamonkey"": [""1.0""]}",,,"[""https://www.mozilla.org/security/announce/2006/mfsa2006-24.html""]","[""MFSA-2006-24""]","{""MFSA-2006-24"": {""Announced"": ""2006-04-13"", ""Reporter"": ""shutdown"", ""Impact"": ""Critical"", ""Products"": [""Firefox"", ""Mozilla Suite"", ""SeaMonkey"", ""Thunderbird""], ""Fixed In"": [""Firefox 1.0.8"", ""Firefox 1.5.0.2"", ""Mozilla Suite 1.7.13"", ""SeaMonkey 1.0.1"", ""Thunderbird 1.0.8"", ""Thunderbird 1.5.0.2""], ""CVEs"": [""CVE-2006-1728""]}}",,,,
CVE-2006-1530,https://www.cvedetails.com/cve/CVE-2006-1530,2006-04-14,2018-10-18,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Denial Of Service"", ""Execute Code""]",,"{""Firefox"": [""0.1"", ""0.2"", ""0.3"", ""0.4"", ""0.5"", ""0.6"", ""0.6.1"", ""0.7"", ""0.7.1"", ""0.8"", ""0.9"", ""0.9.1"", ""0.9.2"", ""0.9.3"", ""0.10"", ""0.10.1"", ""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4"", ""1.0.5"", ""1.0.6"", ""1.0.7"", ""1.0.8"", ""1.4.1"", ""1.5"", ""1.5.0.1""], ""Seamonkey"": [""1.0""], ""Thunderbird"": [""0.1"", ""0.2"", ""0.3"", ""0.4"", ""0.5"", ""0.6"", ""0.7"", ""0.7.1"", ""0.7.2"", ""0.7.3"", ""0.8"", ""0.9"", ""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4"", ""1.0.5"", ""1.0.6"", ""1.0.7"", ""1.0.8"", ""1.5"", ""1.5.0.1""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=326615""]","[""326615""]","[""https://www.mozilla.org/security/announce/2006/mfsa2006-20.html""]","[""MFSA-2006-20""]","{""MFSA-2006-20"": {""Announced"": ""2006-04-13"", ""Reporter"": ""various"", ""Impact"": ""Critical"", ""Products"": [""Firefox"", ""SeaMonkey"", ""Thunderbird""], ""Fixed In"": [""Firefox 1.5.0.2"", ""SeaMonkey 1.0.1"", ""Thunderbird 1.5.0.2""], ""CVEs"": [""CVE-2006-1724"", ""CVE-2006-1529"", ""CVE-2006-1530"", ""CVE-2006-1531"", ""CVE-2006-1723""]}}",,,,
CVE-2005-4534,https://www.cvedetails.com/cve/CVE-2005-4534,2005-12-27,2018-10-19,7.5,Partial,Partial,Partial,Low,Not required,User,,,"{""Bugzilla"": [""2.9"", ""2.10"", ""2.12"", ""2.14"", ""2.14.1"", ""2.14.2"", ""2.14.3"", ""2.14.4"", ""2.14.5"", ""2.16"", ""2.16.1"", ""2.16.2"", ""2.16.3"", ""2.16.4"", ""2.16.5"", ""2.16.6"", ""2.16.7"", ""2.16.8"", ""2.16.9"", ""2.16.10""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=305353""]","[""305353""]",,,,,,,
