CVE,CVE Details URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2019-15219,https://www.cvedetails.com/cve/CVE-2019-15219,2019-08-19,2019-08-22,4.9,None,None,Complete,Low,Not required,None,,476,,,,,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=9a5729f68d3a82786aea110b1bfe610be318f80a,9a5729f68d3a82786aea110b1bfe610be318f80a,,
CVE-2019-15223,https://www.cvedetails.com/cve/CVE-2019-15223,2019-08-19,2019-09-05,4.9,None,None,Complete,Low,Not required,None,,476,,,,,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=0b074ab7fc0d575247b9cc9f93bb7e007ca38840,0b074ab7fc0d575247b9cc9f93bb7e007ca38840,,
CVE-2019-15916,https://www.cvedetails.com/cve/CVE-2019-15916,2019-09-04,2019-10-04,7.8,None,None,Complete,Low,Not required,None,"Denial Of Service,Overflow",119,,,,,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=895a5e96dbd6386c8e78e5b78e067dcc67b7f0ab,895a5e96dbd6386c8e78e5b78e067dcc67b7f0ab,,
CVE-2018-1092,https://www.cvedetails.com/cve/CVE-2018-1092,2018-04-01,2018-10-31,7.1,None,None,Complete,Medium,Not required,None,Denial Of Service,476,"https://bugzilla.kernel.org/show_bug.cgi?id=199179,https://bugzilla.kernel.org/show_bug.cgi?id=199275,https://bugzilla.redhat.com/show_bug.cgi?id=1560777","199179,199275,1560777",,,https://git.kernel.org/pub/scm/linux/kernel/git/tytso/ext4.git/commit/?id=8e4b5eae5decd9dfe5a4ee369c22028f90ab4c44,8e4b5eae5decd9dfe5a4ee369c22028f90ab4c44,,
CVE-2018-1095,https://www.cvedetails.com/cve/CVE-2018-1095,2018-04-01,2018-10-31,7.1,None,None,Complete,Medium,Not required,None,Denial Of Service,476,"https://bugzilla.redhat.com/show_bug.cgi?id=1560793,https://bugzilla.kernel.org/show_bug.cgi?id=199185","1560793,199185",,,https://git.kernel.org/pub/scm/linux/kernel/git/tytso/ext4.git/commit/?id=ce3fd194fcc6fbdc00ce095a852f22df97baa401,ce3fd194fcc6fbdc00ce095a852f22df97baa401,,
CVE-2018-7191,https://www.cvedetails.com/cve/CVE-2018-7191,2019-05-17,2019-05-31,4.9,None,None,Complete,Low,Not required,None,Denial Of Service,476,,,,,"https://github.com/torvalds/linux/commit/0ad646c81b2182f7fa67ec0c8c825e0ee165696d,https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=5c25f65fd1e42685f7ccd80e0621829c105785d9,https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=0ad646c81b2182f7fa67ec0c8c825e0ee165696d,https://github.com/torvalds/linux/commit/5c25f65fd1e42685f7ccd80e0621829c105785d9","0ad646c81b2182f7fa67ec0c8c825e0ee165696d,5c25f65fd1e42685f7ccd80e0621829c105785d9,0ad646c81b2182f7fa67ec0c8c825e0ee165696d,5c25f65fd1e42685f7ccd80e0621829c105785d9",,
CVE-2017-0631,https://www.cvedetails.com/cve/CVE-2017-0631,2017-05-12,2017-05-19,2.6,Partial,None,None,High,Not required,None,Obtain Information,200,,,,,,,,
CVE-2017-0633,https://www.cvedetails.com/cve/CVE-2017-0633,2017-05-12,2017-05-19,2.6,Partial,None,None,High,Not required,None,Obtain Information,200,,,,,,,,
CVE-2017-2634,https://www.cvedetails.com/cve/CVE-2017-2634,2018-07-27,2019-10-09,7.8,None,None,Complete,Low,Not required,None,"Overflow,Memory corruption",119,https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2017-2634,CVE-2017-2634,,,https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/commit/?id=f53dc67c5e7babafe239b93a11678b0e05bead51,f53dc67c5e7babafe239b93a11678b0e05bead51,,
CVE-2016-8410,https://www.cvedetails.com/cve/CVE-2016-8410,2017-01-12,2017-01-18,2.6,Partial,None,None,High,Not required,None,Obtain Information,200,,,,,,,,
