CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-1999-0183,https://www.cvedetails.com/cve/CVE-1999-0183,1997-09-01,2008-09-09,6.4,Partial,Partial,None,Low,Not required,None,,,"{""Linux Kernel"": [""2.6.20.1""]}",,,,,,,,,
CVE-1999-0165,https://www.cvedetails.com/cve/CVE-1999-0165,1997-03-01,2018-10-30,10.0,Complete,Complete,Complete,Low,Not required,None,,,"{""Linux Kernel"": [""2.6.20.1""]}",,,,,,,,,
CVE-1999-0171,https://www.cvedetails.com/cve/CVE-1999-0171,1997-01-01,2008-09-09,2.1,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Linux Kernel"": [""2.6.20.1""]}",,,,,,,,,
CVE-1999-0061,https://www.cvedetails.com/cve/CVE-1999-0061,1997-10-02,2008-09-09,5.1,Partial,Partial,Partial,High,Not required,User,,,"{""Linux Kernel"": [""2.6.20.1""]}",,,,,,,,,
CVE-2003-0127,https://www.cvedetails.com/cve/CVE-2003-0127,2003-03-31,2018-05-02,7.2,Complete,Complete,Complete,Low,Not required,Admin,"[""Gain privileges""]",,"{""Linux Kernel"": [""2.2.0"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.5"", ""2.2.6"", ""2.2.7"", ""2.2.8"", ""2.2.9"", ""2.2.10"", ""2.2.11"", ""2.2.12"", ""2.2.13"", ""2.2.14"", ""2.2.15"", ""2.2.16"", ""2.2.17"", ""2.2.18"", ""2.2.19"", ""2.2.20"", ""2.2.21"", ""2.2.22"", ""2.2.23"", ""2.2.24"", ""2.4.0"", ""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.4"", ""2.4.5"", ""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9"", ""2.4.10"", ""2.4.11"", ""2.4.12"", ""2.4.13"", ""2.4.14"", ""2.4.15"", ""2.4.16"", ""2.4.17"", ""2.4.18"", ""2.4.19"", ""2.4.20"", ""2.4.21""]}",,,,,,,,,
CVE-2003-0187,https://www.cvedetails.com/cve/CVE-2003-0187,2003-08-27,2017-10-10,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Linux Kernel"": [""2.4.20""]}",,,,,,,,,
CVE-2002-0704,https://www.cvedetails.com/cve/CVE-2002-0704,2002-07-26,2016-10-17,5.0,Partial,None,None,Low,Not required,None,,,"{""Linux Kernel"": [""2.4.4"", ""2.4.5"", ""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9"", ""2.4.10"", ""2.4.11"", ""2.4.12"", ""2.4.13"", ""2.4.14"", ""2.4.15"", ""2.4.16"", ""2.4.17"", ""2.4.18"", ""2.4.19""]}",,,,,,,,,
CVE-2003-0986,https://www.cvedetails.com/cve/CVE-2003-0986,2003-12-31,2017-10-10,1.7,None,None,Partial,Low,Single system,None,"[""Denial Of Service""]",,"{""Linux Kernel"": [""2.4.0"", ""2.4.18"", ""2.4.19"", ""2.4.21"", ""2.4.22"", ""2.4.23 Ow2"", ""2.4.23"", ""2.4.24"", ""2.4.24 Ow1"", ""2.6.0"", ""2.6.1"", ""2.6.2""]}",,,,,,,,,
CVE-2005-0530,https://www.cvedetails.com/cve/CVE-2005-0530,2005-05-02,2017-10-18,2.1,Partial,None,None,Low,Not required,None,,,"{""Linux Kernel"": [""2.6.10"", ""2.6.11 Rc1 Bk6""]}",,,,,,,,,
CVE-2004-1144,https://www.cvedetails.com/cve/CVE-2004-1144,2004-12-31,2017-10-10,7.2,Complete,Complete,Complete,Low,Not required,Admin,"[""Gain privileges""]",,"{""Linux Kernel"": [""2.4.0""]}",,,,,,,,,
CVE-2005-0531,https://www.cvedetails.com/cve/CVE-2005-0531,2005-05-02,2017-10-10,2.1,None,Partial,None,Low,Not required,None,"[""Overflow""]",,"{""Linux Kernel"": [""2.6.10"", ""2.6.11""]}",,,,,,,,,
CVE-2005-0504,https://www.cvedetails.com/cve/CVE-2005-0504,2005-03-14,2017-10-10,4.6,Partial,Partial,Partial,Low,Not required,User,"[""Execute Code"", ""Overflow""]",119,"{""Linux Kernel"": [""2.2.0"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.5"", ""2.2.6"", ""2.2.7"", ""2.2.8"", ""2.2.9"", ""2.2.10"", ""2.2.11"", ""2.2.12"", ""2.2.13"", ""2.2.14"", ""2.2.15"", ""2.2.15 Pre20"", ""2.2.16"", ""2.2.17"", ""2.2.18"", ""2.2.19"", ""2.2.20"", ""2.2.21"", ""2.2.22"", ""2.2.23"", ""2.2.24"", ""2.2.25"", ""2.3.0"", ""2.3.99"", ""2.4.0"", ""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.4"", ""2.4.5"", ""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9"", ""2.4.10"", ""2.4.11"", ""2.4.12"", ""2.4.13"", ""2.4.14"", ""2.4.15"", ""2.4.16"", ""2.4.17"", ""2.4.18"", ""2.4.19"", ""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23 Ow2"", ""2.4.23"", ""2.4.24"", ""2.4.24 Ow1"", ""2.4.25"", ""2.4.26"", ""2.4.27"", ""2.4.28"", ""2.4.29"", ""2.5.0"", ""2.5.1"", ""2.5.2"", ""2.5.3"", ""2.5.4"", ""2.5.5"", ""2.5.6"", ""2.5.7"", ""2.5.8"", ""2.5.9"", ""2.5.10"", ""2.5.11"", ""2.5.12"", ""2.5.13"", ""2.5.14"", ""2.5.15"", ""2.5.16"", ""2.5.17"", ""2.5.18"", ""2.5.19"", ""2.5.20"", ""2.5.21"", ""2.5.22"", ""2.5.23"", ""2.5.24"", ""2.5.25"", ""2.5.26"", ""2.5.27"", ""2.5.28"", ""2.5.29"", ""2.5.30"", ""2.5.31"", ""2.5.32"", ""2.5.33"", ""2.5.34"", ""2.5.35"", ""2.5.36"", ""2.5.37"", ""2.5.38"", ""2.5.39"", ""2.5.40"", ""2.5.41"", ""2.5.42"", ""2.5.43"", ""2.5.44"", ""2.5.45"", ""2.5.46"", ""2.5.47"", ""2.5.48"", ""2.5.49"", ""2.5.50"", ""2.5.51"", ""2.5.52"", ""2.5.53"", ""2.5.54"", ""2.5.55"", ""2.5.56"", ""2.5.57"", ""2.5.58"", ""2.5.59"", ""2.5.60"", ""2.5.61"", ""2.5.62"", ""2.5.63"", ""2.5.64"", ""2.5.65"", ""2.5.66"", ""2.5.67"", ""2.5.68"", ""2.5.69"", ""2.6 Test9 Cvs"", ""2.6.0"", ""2.6.1"", ""2.6.2"", ""2.6.3"", ""2.6.4"", ""2.6.5"", ""2.6.6"", ""2.6.7"", ""2.6.8"", ""2.6.9"", ""2.6.10"", ""2.6.21""]}",,,,,,,,,
