CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2012-6032,https://www.cvedetails.com/cve/CVE-2012-6032,2012-11-23,2017-08-28,4.9,None,None,Complete,Low,Not required,None,"[""Denial Of Service"", ""Overflow"", ""Memory corruption""]",189,"{""XEN"": [""4.0.0"", ""4.1.0"", ""4.2.0""]}",,,,,,,,,
CVE-2012-0217,https://www.cvedetails.com/cve/CVE-2012-0217,2012-06-12,2018-10-12,7.2,Complete,Complete,Complete,Low,Not required,None,"[""Overflow"", ""Gain privileges""]",119,"{""XEN"": [""4.0.0"", ""4.0.1"", ""4.0.2"", ""4.0.3"", ""4.0.4"", ""4.1.0"", ""4.1.1"", ""4.1.2""]}",,,,,,,,,
CVE-2007-6416,https://www.cvedetails.com/cve/CVE-2007-6416,2007-12-17,2017-09-28,4.6,Partial,Partial,Partial,Low,Not required,None,,264,"{""XEN"": [""3.1.2""]}",,,,,,,,,
CVE-2012-3432,https://www.cvedetails.com/cve/CVE-2012-3432,2012-12-03,2013-10-10,1.9,None,None,Partial,Medium,Not required,None,"[""Denial Of Service""]",264,"{""XEN"": [""3.3.0"", ""4.0.0"", ""4.0.1"", ""4.0.2"", ""4.0.3"", ""4.0.4"", ""4.1.0"", ""4.1.1"", ""4.1.2"", ""4.1.3"", ""4.2.0""]}",,,,,,,,,
CVE-2009-3525,https://www.cvedetails.com/cve/CVE-2009-3525,2009-10-05,2017-09-18,7.2,Complete,Complete,Complete,Low,Not required,None,,264,"{""XEN"": [""3.0.3"", ""3.3.0"", ""3.3.1""]}",,,,,,,,,
CVE-2012-3495,https://www.cvedetails.com/cve/CVE-2012-3495,2012-11-23,2017-06-30,6.1,Partial,Partial,Complete,Low,Not required,None,"[""Denial Of Service"", ""Gain privileges""]",20,"{""XEN"": [""4.1.0"", ""4.1.1"", ""4.1.2"", ""4.1.3""]}",,,,,,,,,
CVE-2014-7188,https://www.cvedetails.com/cve/CVE-2014-7188,2014-10-02,2018-10-30,8.3,Complete,Complete,Complete,Low,Not required,None,"[""Denial Of Service""]",399,"{""XEN"": [""4.1.0"", ""4.1.1"", ""4.1.2"", ""4.1.3"", ""4.1.4"", ""4.1.5"", ""4.1.6.1"", ""4.2.0"", ""4.2.1"", ""4.2.2"", ""4.2.3"", ""4.3.0"", ""4.3.1"", ""4.4.0"", ""4.4.1""]}",,,"[""https://xenbits.xen.org/xsa/advisory-108.html""]","[""XSA-108""]","{""XSA-108"": {""Public Release"": ""2014-10-01 12:00"", ""Updated"": ""2014-10-01 12:02"", ""Version"": ""4"", ""CVEs"": [""CVE-2014-7188""], ""Title"": ""Improper MSR range used for x2APIC emulation""}}",,,,
CVE-2015-2751,https://www.cvedetails.com/cve/CVE-2015-2751,2015-04-01,2018-10-30,7.1,None,None,Complete,Medium,Not required,None,"[""Denial Of Service""]",17,"{""XEN"": [""4.3.0"", ""4.3.1"", ""4.3.2"", ""4.4.0"", ""4.4.1"", ""4.5.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-127.html""]","[""XSA-127""]","{""XSA-127"": {""Public Release"": ""2015-03-31 12:00"", ""Updated"": ""2015-03-31 12:09"", ""Version"": ""2"", ""CVEs"": [""CVE-2015-2751""], ""Title"": ""Certain domctl operations may be abused to lock up the host""}}",,,,
CVE-2014-9065,https://www.cvedetails.com/cve/CVE-2014-9065,2014-12-09,2018-10-30,4.4,None,None,Complete,Medium,Single system,None,"[""Denial Of Service""]",17,"{""XEN"": [""4.4.1""]}",,,"[""https://xenbits.xen.org/xsa/advisory-114.html""]","[""XSA-114""]","{""XSA-114"": {""Public Release"": ""2014-12-08 12:00"", ""Updated"": ""2014-12-08 12:08"", ""Version"": ""3"", ""CVEs"": [""CVE-2014-9065CVE-2014-9066""], ""Title"": ""p2m lock starvation""}}",,,,
CVE-2014-7155,https://www.cvedetails.com/cve/CVE-2014-7155,2014-10-02,2018-10-30,5.8,Partial,Partial,Partial,Low,Not required,None,"[""Denial Of Service"", ""Gain privileges""]",264,"{""XEN"": [""3.0.2"", ""3.0.3"", ""3.0.4"", ""3.1.3"", ""3.1.4"", ""3.2.0"", ""3.2.1"", ""3.2.2"", ""3.2.3"", ""3.3.0"", ""3.3.1"", ""3.3.2"", ""3.4.0"", ""3.4.1"", ""3.4.2"", ""3.4.3"", ""3.4.4"", ""4.0.0"", ""4.0.1"", ""4.0.2"", ""4.0.3"", ""4.0.4"", ""4.1.0"", ""4.1.1"", ""4.1.2"", ""4.1.3"", ""4.1.4"", ""4.1.5"", ""4.1.6.1"", ""4.2.0"", ""4.2.1"", ""4.2.2"", ""4.2.3"", ""4.3.0"", ""4.3.1"", ""4.4.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-105.html""]","[""XSA-105""]","{""XSA-105"": {""Public Release"": ""2014-09-23 12:00"", ""Updated"": ""2014-09-24 10:29"", ""Version"": ""3"", ""CVEs"": [""CVE-2014-7155""], ""Title"": ""Missing privilege level checks in x86 HLT, LGDT, LIDT, and LMSW emulation""}}",,,,
