CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2012-5514,https://www.cvedetails.com/cve/CVE-2012-5514,2012-12-13,2017-08-28,4.7,None,None,Complete,Medium,Not required,None,"[""Denial Of Service""]",,"{""XEN"": [""3.0.2"", ""3.0.3"", ""3.0.4"", ""3.1.3"", ""3.1.4"", ""3.2.0"", ""3.2.1"", ""3.2.2"", ""3.2.3"", ""3.3.0"", ""3.3.1"", ""3.3.2"", ""3.4.0"", ""3.4.1"", ""3.4.2"", ""3.4.3"", ""3.4.4"", ""4.0.0"", ""4.0.1"", ""4.0.2"", ""4.0.3"", ""4.0.4"", ""4.1.0"", ""4.1.1"", ""4.1.2"", ""4.1.3"", ""4.2.0""]}",,,,,,,,,
CVE-2012-4544,https://www.cvedetails.com/cve/CVE-2012-4544,2012-10-31,2017-08-28,2.1,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",20,"{""XEN"": [""4.1.0"", ""4.1.1"", ""4.1.2"", ""4.1.3"", ""4.2.0""]}",,,,,,,,,
CVE-2012-3494,https://www.cvedetails.com/cve/CVE-2012-3494,2012-11-23,2017-08-28,2.1,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",264,"{""XEN"": [""4.0.0"", ""4.1.0"", ""4.2.0""]}",,,,,,,,,
CVE-2012-6030,https://www.cvedetails.com/cve/CVE-2012-6030,2012-11-23,2017-08-28,7.2,Complete,Complete,Complete,Low,Not required,None,"[""Denial Of Service""]",20,"{""XEN"": [""4.0.0"", ""4.1.0"", ""4.2.0""]}",,,,,,,,,
CVE-2014-9066,https://www.cvedetails.com/cve/CVE-2014-9066,2014-12-09,2018-10-30,4.7,None,None,Complete,Medium,Not required,None,"[""Denial Of Service""]",17,"{""XEN"": [""4.4.1""]}",,,"[""https://xenbits.xen.org/xsa/advisory-114.html""]","[""XSA-114""]","{""XSA-114"": {""Public Release"": ""2014-12-08 12:00"", ""Updated"": ""2014-12-08 12:08"", ""Version"": ""3"", ""CVEs"": [""CVE-2014-9065"", ""CVE-2014-9066""], ""Title"": ""p2m lock starvation""}}",,"[""353de6b221c2d0fb59edfceb1f535357e4d84825"", ""145c8ced0de02d0ad37743eb42b116e40f13e97e"", ""8029dc43f4b232968168ca5bbd0ef47589243140"", ""2a549b9c8aa48dc39d7c97e5a93978b781b3a1db""]",,
CVE-2014-9065,https://www.cvedetails.com/cve/CVE-2014-9065,2014-12-09,2018-10-30,4.4,None,None,Complete,Medium,Single system,None,"[""Denial Of Service""]",17,"{""XEN"": [""4.4.1""]}",,,"[""https://xenbits.xen.org/xsa/advisory-114.html""]","[""XSA-114""]","{""XSA-114"": {""Public Release"": ""2014-12-08 12:00"", ""Updated"": ""2014-12-08 12:08"", ""Version"": ""3"", ""CVEs"": [""CVE-2014-9065"", ""CVE-2014-9066""], ""Title"": ""p2m lock starvation""}}",,"[""353de6b221c2d0fb59edfceb1f535357e4d84825"", ""145c8ced0de02d0ad37743eb42b116e40f13e97e"", ""8029dc43f4b232968168ca5bbd0ef47589243140"", ""2a549b9c8aa48dc39d7c97e5a93978b781b3a1db""]",,
CVE-2014-8866,https://www.cvedetails.com/cve/CVE-2014-8866,2014-12-01,2018-10-30,4.7,None,None,Complete,Medium,Not required,None,"[""Denial Of Service""]",17,"{""XEN"": [""3.3.0"", ""3.3.1"", ""3.3.2"", ""3.4.0"", ""3.4.1"", ""3.4.2"", ""3.4.3"", ""3.4.4"", ""4.0.0"", ""4.0.1"", ""4.0.2"", ""4.0.3"", ""4.0.4"", ""4.1.0"", ""4.1.1"", ""4.1.2"", ""4.1.3"", ""4.1.4"", ""4.1.5"", ""4.1.6.1"", ""4.2.0"", ""4.2.1"", ""4.2.2"", ""4.2.3"", ""4.3.0"", ""4.3.1"", ""4.4.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-111.html""]","[""XSA-111""]","{""XSA-111"": {""Public Release"": ""2014-11-27 11:25"", ""Updated"": ""2014-11-27 11:25"", ""Version"": ""3"", ""CVEs"": [""CVE-2014-8866""], ""Title"": ""Excessive checking in compatibility mode hypercall argument translation""}}",,"[""7d80d71da3369ddfed5ec4cb822194cfd0faf23e"", ""5e687e7da367827344db3965b8a5f5f761a8431a"", ""98c78711764082171b3fa189793c6db904f65ebc"", ""0ad715304b04739fd2fc9517ce8671d3947c7621""]",,
CVE-2015-3340,https://www.cvedetails.com/cve/CVE-2015-3340,2015-04-28,2018-10-30,2.9,Partial,None,None,Medium,Not required,None,"[""Obtain Information""]",200,"{""XEN"": [""4.2.0"", ""4.2.1"", ""4.2.2"", ""4.2.3"", ""4.2.4"", ""4.2.5"", ""4.3.0"", ""4.3.1"", ""4.3.2"", ""4.3.3"", ""4.3.4"", ""4.4.0"", ""4.4.1"", ""4.4.2"", ""4.5.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-132.html""]","[""XSA-132""]","{""XSA-132"": {""Public Release"": ""2015-04-20 17:10"", ""Updated"": ""2015-04-22 13:20"", ""Version"": ""2"", ""CVEs"": [""CVE-2015-3340""], ""Title"": ""Information leak through XEN_DOMCTL_gettscinfo""}}",,"[""7e527e2ab6c95ef84035d02e9e50b956a0d469c9"", ""58db71c5cdd48126b9380c230dc5b61554bad7d8"", ""5365c7b98240acdaac2a332fe2070d5cc5aa596f"", ""f2e08aa5b1bb470b2847d71490e28dfd96bcc2af"", ""4ff3449f0e9d175ceb9551d3f2aecb59273f639d""]",,
CVE-2017-12136,https://www.cvedetails.com/cve/CVE-2017-12136,2017-08-24,2019-05-06,6.9,Complete,Complete,Complete,Medium,Not required,None,"[""Denial Of Service"", ""Gain privileges""]",362,"{""XEN"": [""4.6.0"", ""4.6.1"", ""4.6.3"", ""4.6.4"", ""4.6.5"", ""4.6.6"", ""4.7.0"", ""4.7.1"", ""4.7.2"", ""4.7.3"", ""4.8.0"", ""4.8.1"", ""4.9.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-228.html""]","[""XSA-228""]","{""XSA-228"": {""Public Release"": ""2017-08-15 12:00"", ""Updated"": ""2017-08-15 12:04"", ""Version"": ""3"", ""CVEs"": [""CVE-2017-12136""], ""Title"": ""grant_table: Race conditions with maptrack free list handling""}}",,"[""d708b695a36b4fdcd8e48e6fc8e611e010f5280b"", ""4fbfa34b1a0bb329aa57275421e2e9027d32aad5"", ""1e6c88fafcb4664a501239d1d8665c34b5384648"", ""0fada059a7948153976cc152e36633dee3d5b273"", ""55924baf2211ddcf5ba8f702c9a4c07730e0c8e8"", ""f974d3211ee7431ac45c401a88d6b436ce5c0c3c"", ""c362cde2c62b0164dba3f55815da875c0da918cc"", ""877591cc281c00661bf23917ff02c367229b5964"", ""266fc0ea45a5b56e2d507f84978ec86256280375"", ""02cbeeb6207508b0f04a2c6181445c8eb3f1e117""]",,
CVE-2016-9817,https://www.cvedetails.com/cve/CVE-2016-9817,2017-02-27,2017-07-27,4.9,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",284,"{""XEN"": [""4.7.0"", ""4.7.1""]}",,,"[""https://xenbits.xen.org/xsa/advisory-201.html""]","[""XSA-201""]","{""XSA-201"": {""Public Release"": ""2016-11-29 14:48"", ""Updated"": ""2016-12-07 10:32"", ""Version"": ""2"", ""CVEs"": [""CVE-2016-9815"", ""CVE-2016-9816"", ""CVE-2016-9817"", ""CVE-2016-9818""], ""Title"": ""ARM guests may induce host asynchronous abort""}}",,"[""0ba95621b8988ad5ceb76b43e76be404fd798f7b"", ""7902dba486c2d66f1fba1af8c3bc94a550b60d83"", ""5f85ab0eb8bbf0fa56523424cc0a54d35ea69e80"", ""7bd27bafa28cb47278b39483a0c976242ce174e5"", ""0726cb5f06dda6276fcf999d472b15c958d49a8d"", ""32282af635e51d39a7deb778b1004ca608f8aab6"", ""cf21f0cd30fdf22a8ee071efe46c78517b8044aa"", ""a2d232da5b97360c4c6bf01396c792b82ffa1813"", ""6aaff7b407ca76dcfc4fe81f2afe9d1594cb0d6b"", ""f8c6a9334b251d2e78b0873a71b4d369908fb123"", ""36008800e81bc061cce1fd204a0b638f9dc61c70"", ""2cf7d2bafb9b68add1710b8c3f7ecad58e53a9db""]",,
