CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2012-2934,https://www.cvedetails.com/cve/CVE-2012-2934,2012-12-03,2013-10-10,1.9,None,None,Partial,Medium,Not required,None,"[""Denial Of Service""]",,"{""XEN"": [""4.0.0"", ""4.1.0""]}",,,,,,,,,
CVE-2011-1936,https://www.cvedetails.com/cve/CVE-2011-1936,2014-01-07,2014-02-25,4.6,None,None,Complete,High,Not required,None,"[""Denial Of Service""]",,"{""XEN"": []}",,,,,,,,,
CVE-2012-2625,https://www.cvedetails.com/cve/CVE-2012-2625,2012-10-31,2018-04-13,2.7,None,None,Partial,Low,Single system,None,"[""Denial Of Service""]",20,"{""XEN"": [""4.1.0"", ""4.1.1"", ""4.1.2"", ""4.1.3"", ""4.2.0""]}","[""http://bugzilla.xensource.com/bugzilla/show_bug.cgi?id=1817""]","[""1817""]",,,,,,,
CVE-2012-3497,https://www.cvedetails.com/cve/CVE-2012-3497,2012-11-23,2017-08-28,6.9,Complete,Complete,Complete,Medium,Not required,None,"[""Denial Of Service"", ""Memory corruption""]",20,"{""XEN"": [""4.0.0"", ""4.1.0"", ""4.2.0""]}",,,,,,,,,
CVE-2015-2150,https://www.cvedetails.com/cve/CVE-2015-2150,2015-03-12,2018-10-30,4.9,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",264,"{""XEN"": [""3.3.0"", ""3.3.1"", ""3.3.2"", ""3.4.0"", ""3.4.1"", ""3.4.2"", ""3.4.3"", ""3.4.4"", ""4.0.0"", ""4.0.1"", ""4.0.2"", ""4.0.3"", ""4.0.4"", ""4.1.0"", ""4.1.1"", ""4.1.2"", ""4.1.3"", ""4.1.4"", ""4.1.5"", ""4.1.6.1"", ""4.2.0"", ""4.2.1"", ""4.2.2"", ""4.2.3"", ""4.3.0"", ""4.3.1"", ""4.4.0"", ""4.4.1"", ""4.5.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-120.html""]","[""XSA-120""]","{""XSA-120"": {""Public Release"": ""2015-03-10 12:00"", ""Updated"": ""2015-03-31 16:13"", ""Version"": ""5"", ""CVEs"": [""CVE-2015-2150""], ""Title"": ""Non-maskable interrupts triggerable by guests""}}",,,,
CVE-2014-4022,https://www.cvedetails.com/cve/CVE-2014-4022,2014-07-09,2018-10-30,2.7,Partial,None,None,Low,Single system,None,"[""Obtain Information""]",200,"{""XEN"": [""4.4.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-101.html""]","[""XSA-101""]","{""XSA-101"": {""Public Release"": ""2014-06-25 12:00"", ""Updated"": ""2014-06-30 14:22"", ""Version"": ""3"", ""CVEs"": [""CVE-2014-4022""], ""Title"": ""information leak via gnttab_setup_table on ARM""}}",,"[""9cf5ff44a38b36a316b506758dbf6887de0e4a56""]",,
CVE-2015-3259,https://www.cvedetails.com/cve/CVE-2015-3259,2015-07-16,2018-10-30,6.8,Complete,Complete,Complete,Low,Single system,None,"[""Overflow"", ""Gain privileges""]",264,"{""XEN"": [""4.1.0"", ""4.1.1"", ""4.1.2"", ""4.1.3"", ""4.1.4"", ""4.1.5"", ""4.1.6.1"", ""4.2.0"", ""4.2.1"", ""4.2.2"", ""4.2.3"", ""4.3.0"", ""4.3.1"", ""4.3.4"", ""4.4.0"", ""4.4.1"", ""4.4.2"", ""4.5.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-137.html""]","[""XSA-137""]","{""XSA-137"": {""Public Release"": ""2015-07-07 12:00"", ""Updated"": ""2015-07-07 12:25"", ""Version"": ""3"", ""CVEs"": [""CVE-2015-3259""], ""Title"": ""xl command line config handling stack overflow""}}",,,,
CVE-2014-8867,https://www.cvedetails.com/cve/CVE-2014-8867,2014-12-01,2018-10-30,4.9,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",17,"{""XEN"": [""3.2.0"", ""3.2.1"", ""3.2.2"", ""3.2.3"", ""4.4.0"", ""4.4.1""]}",,,"[""https://xenbits.xenproject.org/xsa/advisory-112.html""]","[""XSA-112""]","{""XSA-112"": {""Public Release"": ""2014-11-27 11:25"", ""Updated"": ""2014-11-27 11:25"", ""Version"": ""5"", ""CVEs"": [""CVE-2014-8867""], ""Title"": ""Insufficient bounding of \""REP MOVS\"" to MMIO emulated inside the hypervisor""}}",,"[""c5397354b998d030b021810b8202de93b9526818""]",,
CVE-2017-10915,https://www.cvedetails.com/cve/CVE-2017-10915,2017-07-04,2017-11-03,6.8,Partial,Partial,Partial,Medium,Not required,None,,362,"{""XEN"": [""4.8.1""]}",,,"[""https://xenbits.xen.org/xsa/advisory-219.html""]","[""XSA-219""]","{""XSA-219"": {""Public Release"": ""2017-06-20 11:58"", ""Updated"": ""2017-07-07 13:52"", ""Version"": ""3"", ""CVEs"": [""CVE-2017-10915""], ""Title"": ""x86: insufficient reference counts during shadow emulation""}}",,"[""26217aff67ae1538d4e1b2226afab6993cdbe772""]",,
CVE-2016-9386,https://www.cvedetails.com/cve/CVE-2016-9386,2017-01-23,2017-06-30,4.6,Partial,Partial,Partial,Low,Not required,None,"[""Gain privileges""]",264,"{""XEN"": []}",,,"[""https://xenbits.xen.org/xsa/advisory-191.html""]","[""XSA-191""]","{""XSA-191"": {""Public Release"": ""2016-11-22 12:00"", ""Updated"": ""2016-11-22 12:00"", ""Version"": ""3"", ""CVEs"": [""CVE-2016-9386""], ""Title"": ""x86 null segments not always treated as unusable""}}",,"[""04beafa8e6c66f5cd814c00e2d2b51cfbc41cb8a""]",,
CVE-2017-7228,https://www.cvedetails.com/cve/CVE-2017-7228,2017-04-04,2019-10-02,7.2,Complete,Complete,Complete,Low,Not required,None,,129,"{""XEN"": []}",,,"[""https://xenbits.xen.org/xsa/advisory-212.html""]","[""XSA-212""]","{""XSA-212"": {""Public Release"": ""2017-04-04 12:00"", ""Updated"": ""2017-04-04 12:37"", ""Version"": ""3"", ""CVEs"": [""CVE-2017-7228""], ""Title"": ""x86: broken check in memory_exchange() permits PV guest breakout""}}",,"[""938fd2586eb081bcbd694f4c1f09ae6a263b0d90""]",,
CVE-2016-9932,https://www.cvedetails.com/cve/CVE-2016-9932,2017-01-26,2017-11-03,2.1,Partial,None,None,Low,Not required,None,"[""Obtain Information""]",200,"{""XEN"": [""3.3.0"", ""3.3.1"", ""3.3.2"", ""3.4.0"", ""3.4.1"", ""3.4.2"", ""3.4.3"", ""3.4.4"", ""4.0.0"", ""4.0.1"", ""4.0.2"", ""4.0.3"", ""4.0.4"", ""4.1.0"", ""4.1.1"", ""4.1.2"", ""4.1.3"", ""4.1.4"", ""4.1.5"", ""4.1.6"", ""4.1.6.1"", ""4.2.0"", ""4.2.1"", ""4.2.2"", ""4.2.3"", ""4.2.4"", ""4.2.5"", ""4.3.0"", ""4.3.1"", ""4.3.2"", ""4.3.3"", ""4.3.4"", ""4.4.0"", ""4.4.1"", ""4.4.2"", ""4.4.3"", ""4.4.4"", ""4.5.0"", ""4.5.1"", ""4.5.2"", ""4.5.3"", ""4.5.5"", ""4.6.0"", ""4.6.3"", ""4.7.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-200.html""]","[""XSA-200""]","{""XSA-200"": {""Public Release"": ""2016-12-13 12:00"", ""Updated"": ""2016-12-13 13:07"", ""Version"": ""3"", ""CVEs"": [""CVE-2016-9932""], ""Title"": ""x86 CMPXCHG8B emulation fails to ignore operand size override""}}",,,,
