CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2019-10071,https://www.cvedetails.com/cve/CVE-2019-10071,2019-09-16,2019-10-07,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,20,,,,,,,,,
CVE-2019-10082,https://www.cvedetails.com/cve/CVE-2019-10082,2019-09-26,2019-09-27,6.4,Partial,None,Partial,Low,Not required,None,,416,"{""Http Server"": [""2.4.18"", ""2.4.19"", ""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23"", ""2.4.24"", ""2.4.25"", ""2.4.26"", ""2.4.27"", ""2.4.28"", ""2.4.29"", ""2.4.30"", ""2.4.32"", ""2.4.33"", ""2.4.34"", ""2.4.35"", ""2.4.36"", ""2.4.37"", ""2.4.38"", ""2.4.39""]}",,,https://httpd.apache.org/security/vulnerabilities_24.html,APACHE-2.4,,,,
CVE-2019-10074,https://www.cvedetails.com/cve/CVE-2019-10074,2019-09-11,2019-09-13,7.5,Partial,Partial,Partial,Low,Not required,None,,20,,,,,,,,,
CVE-2019-0226,https://www.cvedetails.com/cve/CVE-2019-0226,2019-05-09,2019-05-10,5.5,None,Partial,Partial,Low,Single system,None,Directory traversal,22,,,,,,,,,
CVE-2017-12613,https://www.cvedetails.com/cve/CVE-2017-12613,2017-10-23,2019-10-02,3.6,Partial,None,Partial,Low,Not required,None,Denial Of Service,125,,,,,,,,https://svn.apache.org/viewvc?view=revision&revision=1807976,1807976
CVE-2017-9794,https://www.cvedetails.com/cve/CVE-2017-9794,2017-09-29,2017-10-06,4.0,Partial,None,None,Low,Single system,None,"Execute Code,Obtain Information",200,,,,,,,,,
CVE-2017-7685,https://www.cvedetails.com/cve/CVE-2017-7685,2017-07-17,2019-10-02,5.0,Partial,None,None,Low,Not required,None,,,,,,,,,,,
CVE-2017-12620,https://www.cvedetails.com/cve/CVE-2017-12620,2017-10-02,2017-11-02,7.5,Partial,Partial,Partial,Low,Not required,None,,611,,,,,,,,,
CVE-2015-5214,https://www.cvedetails.com/cve/CVE-2015-5214,2015-11-10,2017-06-30,6.8,Partial,Partial,Partial,Medium,Not required,None,"Denial Of Service,Execute Code,Overflow,Memory corruption",119,,,,,,,,,
CVE-2015-5174,https://www.cvedetails.com/cve/CVE-2015-5174,2016-02-24,2019-04-15,4.0,Partial,None,None,Low,Single system,None,"Directory traversal,Bypass a restriction or similar",22,,,,,,,,"https://svn.apache.org/viewvc?view=revision&revision=1700900,https://svn.apache.org/viewvc?view=revision&revision=1700897,https://svn.apache.org/viewvc?view=revision&revision=1696281,https://svn.apache.org/viewvc?view=revision&revision=1700898,https://svn.apache.org/viewvc?view=revision&revision=1696284","1700900,1700897,1696281,1700898,1696284"
CVE-2016-0706,https://www.cvedetails.com/cve/CVE-2016-0706,2016-02-24,2019-04-15,4.0,Partial,None,None,Low,Single system,None,"Bypass a restriction or similar,Obtain Information",200,,,,,,,,"https://svn.apache.org/viewvc?view=revision&revision=1722800,https://svn.apache.org/viewvc?view=revision&revision=1722802,https://svn.apache.org/viewvc?view=revision&revision=1722801,https://svn.apache.org/viewvc?view=revision&revision=1722799","1722800,1722802,1722801,1722799"
CVE-2015-5348,https://www.cvedetails.com/cve/CVE-2015-5348,2016-04-15,2019-05-24,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,19,,,,,,,,,
CVE-2013-0248,https://www.cvedetails.com/cve/CVE-2013-0248,2013-03-15,2017-10-19,3.3,None,Partial,Partial,Medium,Not required,None,,264,,,,,,,,,
CVE-2013-1896,https://www.cvedetails.com/cve/CVE-2013-1896,2013-07-10,2017-09-18,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,264,"{""Http Server"": [""2.2.0"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.6"", ""2.2.8"", ""2.2.9"", ""2.2.10"", ""2.2.11"", ""2.2.12"", ""2.2.13"", ""2.2.14"", ""2.2.15"", ""2.2.16"", ""2.2.17"", ""2.2.18"", ""2.2.19"", ""2.2.20"", ""2.2.21"", ""2.2.22"", ""2.2.23"", ""2.2.24""]}",,,https://httpd.apache.org/security/vulnerabilities_24.html,APACHE-2.4,,,,
CVE-2012-4460,https://www.cvedetails.com/cve/CVE-2012-4460,2013-03-13,2013-03-19,5.0,None,None,Partial,Low,Not required,None,"Denial Of Service,Overflow",119,,,,,,,,https://svn.apache.org/viewvc?view=revision&revision=1453031,1453031
CVE-2013-1884,https://www.cvedetails.com/cve/CVE-2013-1884,2013-05-02,2017-09-18,5.0,None,None,Partial,Low,Not required,None,"Denial Of Service,Overflow",119,,,,,,,,,
CVE-2007-1860,https://www.cvedetails.com/cve/CVE-2007-1860,2007-05-25,2019-04-15,5.0,Partial,None,None,Low,Not required,None,Directory traversal,22,,,,,,,,,
CVE-2007-0451,https://www.cvedetails.com/cve/CVE-2007-0451,2007-02-16,2017-10-10,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,399,,,,,,,,,
CVE-2007-3383,https://www.cvedetails.com/cve/CVE-2007-3383,2007-07-25,2018-10-16,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,,,,,,,,,,
CVE-2007-6388,https://www.cvedetails.com/cve/CVE-2007-6388,2008-01-08,2018-10-30,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,79,"{""Http Server"": [""1.3.1"", ""1.3.2"", ""1.3.3"", ""1.3.4"", ""1.3.5"", ""1.3.6"", ""1.3.7"", ""1.3.8"", ""1.3.9"", ""1.3.11"", ""1.3.12"", ""1.3.22"", ""1.3.23"", ""1.3.24"", ""1.3.25"", ""1.3.26"", ""1.3.27"", ""1.3.28"", ""1.3.29"", ""1.3.30"", ""1.3.31"", ""1.3.32"", ""1.3.33"", ""1.3.37"", ""1.3.38"", ""1.3.39"", ""2.0.35"", ""2.0.36"", ""2.0.37"", ""2.0.38"", ""2.0.39"", ""2.0.40"", ""2.0.41"", ""2.0.42"", ""2.0.43"", ""2.0.44"", ""2.0.45"", ""2.0.46"", ""2.0.47"", ""2.0.48"", ""2.0.49"", ""2.0.50"", ""2.0.51"", ""2.0.52"", ""2.0.53"", ""2.0.54"", ""2.0.55"", ""2.0.56"", ""2.0.57"", ""2.0.58"", ""2.0.59"", ""2.0.60"", ""2.0.61"", ""2.2"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.6""]}",,,"https://httpd.apache.org/security/vulnerabilities_22.html,https://httpd.apache.org/security/vulnerabilities_13.html,https://httpd.apache.org/security/vulnerabilities_20.html","APACHE-2.2,APACHE-1.3,APACHE-2.0",,,,
