CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-1999-1199,https://www.cvedetails.com/cve/CVE-1999-1199,1998-08-07,2016-10-17,10.0,Complete,Complete,Complete,Low,Not required,None,"[""Denial Of Service""]",,"{""Http Server"": [""1.3.1""]}",,,,,,,,,
CVE-1999-0070,https://www.cvedetails.com/cve/CVE-1999-0070,1996-04-01,2008-09-09,5.0,None,Partial,None,Low,Not required,None,,,"{""Http Server"": []}",,,,,,,,,
CVE-1999-0236,https://www.cvedetails.com/cve/CVE-1999-0236,1997-01-01,2008-09-09,10.0,Complete,Complete,Complete,Low,Not required,None,,,"{""Http Server"": []}",,,,,,,,,
CVE-2000-0505,https://www.cvedetails.com/cve/CVE-2000-0505,2000-05-31,2017-10-09,5.0,Partial,None,None,Low,Not required,None,,,"{""Http Server"": [""1.3.6"", ""1.3.9"", ""1.3.11"", ""1.3.12""]}",,,,,,,,,
CVE-1999-1412,https://www.cvedetails.com/cve/CVE-1999-1412,1999-06-03,2008-09-05,10.0,Complete,Complete,Complete,Low,Not required,None,"[""Denial Of Service""]",,"{""Http Server"": []}",,,,,,,,,
CVE-1999-0926,https://www.cvedetails.com/cve/CVE-1999-0926,1999-09-03,2008-09-05,10.0,Complete,Complete,Complete,Low,Not required,None,"[""Denial Of Service""]",,"{""Http Server"": [""1.2.5""]}",,,,,,,,,
CVE-2003-0020,https://www.cvedetails.com/cve/CVE-2003-0020,2003-03-18,2017-10-09,5.0,None,Partial,None,Low,Not required,None,,,"{""Http Server"": []}",,,,,,,,,
CVE-2003-0016,https://www.cvedetails.com/cve/CVE-2003-0016,2003-02-07,2017-10-09,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Denial Of Service"", ""Execute Code""]",,"{""Http Server"": [""2.0.36"", ""2.0.37"", ""2.0.38"", ""2.0.39"", ""2.0.40"", ""2.0.41"", ""2.0.42"", ""2.0.43""]}",,,,,,,,,
CVE-2003-0987,https://www.cvedetails.com/cve/CVE-2003-0987,2004-03-03,2017-10-10,7.5,Partial,Partial,Partial,Low,Not required,User,,,"{""Http Server"": [""1.3.30""]}",,,,,,,,,
CVE-2004-0096,https://www.cvedetails.com/cve/CVE-2004-0096,2004-03-03,2008-09-05,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,,,,,,,,,,
CVE-2002-2012,https://www.cvedetails.com/cve/CVE-2002-2012,2002-12-31,2008-09-05,5.0,None,None,Partial,Low,Not required,None,,,"{""Http Server"": [""1.3.19""]}",,,,,,,,,
CVE-2003-0045,https://www.cvedetails.com/cve/CVE-2003-0045,2003-02-07,2017-10-09,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,,,,,,,,,,
