CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2001-0731,https://www.cvedetails.com/cve/CVE-2001-0731,2001-10-01,2017-10-09,5.0,Partial,None,None,Low,Not required,None,"[""Bypass a restriction or similar""]",,"{""Http Server"": [""1.3.20""]}",,,,,,,,,
CVE-2001-1342,https://www.cvedetails.com/cve/CVE-2001-1342,2001-05-12,2016-10-17,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Http Server"": [""1.3.12"", ""1.3.14"", ""1.3.15"", ""1.3.16"", ""1.3.17"", ""1.3.18"", ""1.3.19""]}",,,,,,,,,
CVE-2000-0869,https://www.cvedetails.com/cve/CVE-2000-0869,2000-11-14,2017-10-09,5.0,Partial,None,None,Low,Not required,None,,,"{""Http Server"": [""1.3.12""]}",,,,,,,,,
CVE-1999-1293,https://www.cvedetails.com/cve/CVE-1999-1293,1999-12-31,2016-10-17,10.0,Complete,Complete,Complete,Low,Not required,None,"[""Denial Of Service""]",,"{""Http Server"": [""1.2.5""]}",,,,,,,,,
CVE-2004-0811,https://www.cvedetails.com/cve/CVE-2004-0811,2004-12-31,2017-07-10,7.5,Partial,Partial,Partial,Low,Not required,User,,,"{""Http Server"": [""2.0.51""]}",,,,,,,,,
CVE-2007-6420,https://www.cvedetails.com/cve/CVE-2007-6420,2008-01-11,2018-10-30,4.3,None,Partial,None,Medium,Not required,None,"[""Gain privileges"", ""CSRF""]",352,"{""Http Server"": [""2.2.0"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.6""]}",,,,,,,,,
CVE-2006-5752,https://www.cvedetails.com/cve/CVE-2006-5752,2007-06-27,2018-10-17,4.3,None,Partial,None,Medium,Not required,None,"[""Cross Site Scripting""]",,"{""Http Server"": [""2.2.0"", ""2.2.3"", ""2.2.4""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_22.html"", ""https://httpd.apache.org/security/vulnerabilities_20.html"", ""https://httpd.apache.org/security/vulnerabilities_13.html""]","[""APACHE-2.2"", ""APACHE-2.0"", ""APACHE-1.3""]",,,,"[""https://svn.apache.org/viewvc?view=rev&revision=549159""]","[""549159""]"
CVE-2004-0885,https://www.cvedetails.com/cve/CVE-2004-0885,2004-11-03,2017-10-10,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Bypass a restriction or similar""]",,"{""Http Server"": [""2.0.35"", ""2.0.36"", ""2.0.37"", ""2.0.38"", ""2.0.39"", ""2.0.40"", ""2.0.41"", ""2.0.42"", ""2.0.43"", ""2.0.44"", ""2.0.45"", ""2.0.46"", ""2.0.47"", ""2.0.48"", ""2.0.49"", ""2.0.50"", ""2.0.51"", ""2.0.52""]}","[""https://issues.apache.org/bugzilla/show_bug.cgi?id=31505""]","[""31505""]",,,,,,,
CVE-2019-10081,https://www.cvedetails.com/cve/CVE-2019-10081,2019-08-15,2019-08-30,5.0,None,None,Partial,Low,Not required,None,"[""Overflow""]",119,"{""Http Server"": [""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23"", ""2.4.24"", ""2.4.25"", ""2.4.26"", ""2.4.27"", ""2.4.28"", ""2.4.29"", ""2.4.30"", ""2.4.32"", ""2.4.33"", ""2.4.34"", ""2.4.35"", ""2.4.36"", ""2.4.37"", ""2.4.38"", ""2.4.39""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2014-3523,https://www.cvedetails.com/cve/CVE-2014-3523,2014-07-20,2018-01-04,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",399,"{""Http Server"": [""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.4"", ""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2018-1301,https://www.cvedetails.com/cve/CVE-2018-1301,2018-03-26,2019-08-15,4.3,None,None,Partial,Medium,Not required,None,"[""Overflow""]",119,"{""Http Server"": [""2.4.29""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2019-0190,https://www.cvedetails.com/cve/CVE-2019-0190,2019-01-30,2019-07-23,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",20,"{""Http Server"": [""2.4.37""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
