CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2001-0131,https://www.cvedetails.com/cve/CVE-2001-0131,2001-03-12,2017-12-18,1.2,None,Partial,None,High,Not required,None,,,"{""Http Server"": []}",,,,,,,,,
CVE-1999-0236,https://www.cvedetails.com/cve/CVE-1999-0236,1997-01-01,2008-09-09,10.0,Complete,Complete,Complete,Low,Not required,None,,,"{""Http Server"": []}",,,,,,,,,
CVE-1999-0107,https://www.cvedetails.com/cve/CVE-1999-0107,1997-12-30,2008-09-09,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service"", ""Overflow""]",,"{""Http Server"": [""0.8.11"", ""0.8.14"", ""1.0"", ""1.0.2"", ""1.0.3"", ""1.0.5"", ""1.1"", ""1.1.1"", ""1.2.5""]}",,,,,,,,,
CVE-2001-0925,https://www.cvedetails.com/cve/CVE-2001-0925,2001-03-12,2017-12-18,5.0,Partial,None,None,Low,Not required,None,,,"{""Http Server"": [""1.3.19""]}",,,,,,,,,
CVE-2007-3847,https://www.cvedetails.com/cve/CVE-2007-3847,2007-08-23,2018-10-15,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Http Server"": [""2.3.0""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_20.html"", ""https://httpd.apache.org/security/vulnerabilities_22.html""]","[""APACHE-2.0"", ""APACHE-2.2""]",,,,,
CVE-2004-0748,https://www.cvedetails.com/cve/CVE-2004-0748,2004-10-20,2018-05-02,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Http Server"": [""2.0"", ""2.0.28"", ""2.0.32"", ""2.0.35"", ""2.0.36"", ""2.0.37"", ""2.0.38"", ""2.0.39"", ""2.0.40"", ""2.0.41"", ""2.0.42"", ""2.0.43"", ""2.0.44"", ""2.0.45"", ""2.0.46"", ""2.0.47"", ""2.0.48"", ""2.0.49"", ""2.0.50""]}",,,,,,,,,
CVE-2004-1082,https://www.cvedetails.com/cve/CVE-2004-1082,2004-02-03,2018-10-30,7.5,Partial,Partial,Partial,Low,Not required,User,,,"{""Http Server"": [""1.3"", ""1.3.1"", ""1.3.3"", ""1.3.4"", ""1.3.6"", ""1.3.7"", ""1.3.9"", ""1.3.11"", ""1.3.12"", ""1.3.14"", ""1.3.17"", ""1.3.18"", ""1.3.19"", ""1.3.20"", ""1.3.22"", ""1.3.23"", ""1.3.24"", ""1.3.25"", ""1.3.26"", ""1.3.27"", ""1.3.28"", ""1.3.29""]}",,,,,,,,,
CVE-2004-0786,https://www.cvedetails.com/cve/CVE-2004-0786,2004-10-20,2017-10-10,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Http Server"": [""2.0"", ""2.0.28"", ""2.0.32"", ""2.0.35"", ""2.0.36"", ""2.0.37"", ""2.0.38"", ""2.0.39"", ""2.0.40"", ""2.0.41"", ""2.0.42"", ""2.0.43"", ""2.0.44"", ""2.0.45"", ""2.0.46"", ""2.0.47"", ""2.0.48"", ""2.0.49"", ""2.0.50""]}",,,,,,,,,
CVE-2018-1333,https://www.cvedetails.com/cve/CVE-2018-1333,2018-06-18,2019-10-02,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",400,"{""Http Server"": [""2.4.18"", ""2.4.19"", ""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23"", ""2.4.24"", ""2.4.25"", ""2.4.26"", ""2.4.27"", ""2.4.28"", ""2.4.29"", ""2.4.30"", ""2.4.33""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html#CVE-2018-1333""]","[""APACHE-2.4""]",,,,,
CVE-2018-11763,https://www.cvedetails.com/cve/CVE-2018-11763,2018-09-25,2019-06-11,4.3,None,None,Partial,Medium,Not required,None,,20,"{""Http Server"": [""2.4.17"", ""2.4.18"", ""2.4.19"", ""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23"", ""2.4.24"", ""2.4.25"", ""2.4.26"", ""2.4.27"", ""2.4.28"", ""2.4.29"", ""2.4.30"", ""2.4.32"", ""2.4.33"", ""2.4.34""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2017-12171,https://www.cvedetails.com/cve/CVE-2017-12171,2018-07-26,2019-10-09,6.4,Partial,Partial,None,Low,Not required,None,,20,"{""Http Server"": [""2.2.15-60""]}",,,,,,,,,
CVE-2016-0736,https://www.cvedetails.com/cve/CVE-2016-0736,2017-07-27,2018-04-24,5.0,Partial,None,None,Low,Not required,None,,310,"{""Http Server"": [""2.4.0"", ""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9"", ""2.4.10"", ""2.4.12"", ""2.4.14"", ""2.4.16"", ""2.4.19"", ""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html#CVE-2016-0736""]","[""APACHE-2.4""]",,,,,
