CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2019-1010024,https://www.cvedetails.com/cve/CVE-2019-1010024,2019-07-15,2019-09-20,5.0,Partial,None,None,Low,Not required,None,"Bypass a restriction or similar,Obtain Information",200,"{""Glibc"": []}",https://sourceware.org/bugzilla/show_bug.cgi?id=22852,22852,,,,,,
CVE-2019-9071,https://www.cvedetails.com/cve/CVE-2019-9071,2019-02-23,2019-05-23,4.3,None,None,Partial,Medium,Not required,None,,399,,https://sourceware.org/bugzilla/show_bug.cgi?id=24227,24227,,,,,,
CVE-2019-14250,https://www.cvedetails.com/cve/CVE-2019-14250,2019-07-24,2019-08-22,4.3,None,None,Partial,Medium,Not required,None,Overflow,190,,,,,,,,,
CVE-2018-20969,https://www.cvedetails.com/cve/CVE-2018-20969,2019-08-16,2019-09-05,9.3,Complete,Complete,Complete,Medium,Not required,None,,78,,,,,,,,,
CVE-2017-8394,https://www.cvedetails.com/cve/CVE-2017-8394,2017-05-01,2017-09-18,5.0,None,None,Partial,Low,Not required,None,,476,,https://sourceware.org/bugzilla/show_bug.cgi?id=21414,21414,,,,,,
CVE-2017-7304,https://www.cvedetails.com/cve/CVE-2017-7304,2017-03-29,2017-03-31,5.0,None,None,Partial,Low,Not required,None,,125,,https://sourceware.org/bugzilla/show_bug.cgi?id=20931,20931,,,,,,
CVE-2017-6965,https://www.cvedetails.com/cve/CVE-2017-6965,2017-03-17,2017-09-18,4.3,None,None,Partial,Medium,Not required,None,Overflow,119,,https://sourceware.org/bugzilla/show_bug.cgi?id=21137,21137,,,,,,
CVE-2017-5618,https://www.cvedetails.com/cve/CVE-2017-5618,2017-03-20,2019-10-02,7.2,Complete,Complete,Complete,Low,Not required,None,Gain privileges,269,,,,,,,,,
CVE-2008-1367,https://www.cvedetails.com/cve/CVE-2008-1367,2008-03-17,2017-09-28,7.5,Partial,Partial,Partial,Low,Not required,User,Memory corruption,399,,,,,,,,,
CVE-2007-2162,https://www.cvedetails.com/cve/CVE-2007-2162,2007-04-22,2018-10-16,7.8,None,None,Complete,Low,Not required,None,Denial Of Service,,,,,,,,,,
CVE-2008-2377,https://www.cvedetails.com/cve/CVE-2008-2377,2008-08-08,2017-08-07,7.6,Complete,Complete,Complete,High,Not required,None,"Denial Of Service,Execute Code,Overflow",119,,,,,,,,,
CVE-2007-5377,https://www.cvedetails.com/cve/CVE-2007-5377,2007-10-11,2008-11-15,6.9,Complete,Complete,Complete,Medium,Not required,None,,59,,,,,,,,,
