CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-1999-0719,https://www.cvedetails.com/cve/CVE-1999-0719,1999-08-05,2008-09-09,4.6,Partial,Partial,Partial,Low,Not required,User,"[""Execute Code""]",,,,,,,,,,,
CVE-2000-0824,https://www.cvedetails.com/cve/CVE-2000-0824,2000-11-14,2017-10-09,7.2,Complete,Complete,Complete,Low,Not required,Admin,"[""Execute Code""]",,"{""Glibc"": [""2.1.1""]}",,,,,,,,,
CVE-2000-0959,https://www.cvedetails.com/cve/CVE-2000-0959,2000-12-19,2017-10-09,1.2,None,Partial,None,High,Not required,None,,,"{""Glibc"": [""2.1.3.10""]}",,,,,,,,,
CVE-2000-1219,https://www.cvedetails.com/cve/CVE-2000-1219,2000-11-01,2008-09-05,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Overflow""]",,,,,,,,,,,
CVE-1999-0041,https://www.cvedetails.com/cve/CVE-1999-0041,1997-02-13,2008-09-09,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Overflow""]",,,,,,,,,,,
CVE-1999-0035,https://www.cvedetails.com/cve/CVE-1999-0035,1997-05-29,2008-09-09,5.1,Partial,Partial,Partial,High,Not required,User,,,,,,,,,,,,
CVE-2005-0990,https://www.cvedetails.com/cve/CVE-2005-0990,2005-05-02,2018-10-03,2.1,None,Partial,None,Low,Not required,None,,,,,,,,,,,,
CVE-2005-1431,https://www.cvedetails.com/cve/CVE-2005-1431,2005-05-03,2017-10-10,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,,,,,,,,,,
CVE-2004-1186,https://www.cvedetails.com/cve/CVE-2004-1186,2004-12-31,2018-10-19,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service"", ""Overflow""]",,,,,,,,,,,
CVE-2004-1488,https://www.cvedetails.com/cve/CVE-2004-1488,2005-04-27,2018-10-03,5.0,None,Partial,None,Low,Not required,None,"[""Execute Code""]",,,,,,,,,,,
CVE-2004-1382,https://www.cvedetails.com/cve/CVE-2004-1382,2004-12-31,2016-10-17,2.1,None,Partial,None,Low,Not required,None,,,"{""Glibc"": [""2.0"", ""2.0.1"", ""2.0.2"", ""2.0.3"", ""2.0.4"", ""2.0.5"", ""2.0.6"", ""2.1"", ""2.1.1"", ""2.1.1.6"", ""2.1.2"", ""2.1.3"", ""2.1.3.10"", ""2.1.9"", ""2.2"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.5"", ""2.3"", ""2.3.1"", ""2.3.2"", ""2.3.3"", ""2.3.4"", ""2.3.10""]}",,,,,,,,,
CVE-2004-2014,https://www.cvedetails.com/cve/CVE-2004-2014,2004-12-31,2018-10-03,2.6,None,Partial,Partial,High,Not required,None,,,,,,,,,,,,
CVE-2008-1688,https://www.cvedetails.com/cve/CVE-2008-1688,2008-04-09,2017-08-07,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Execute Code""]",,,,,,,,,,,
CVE-2007-2500,https://www.cvedetails.com/cve/CVE-2007-2500,2007-05-03,2017-07-28,10.0,Complete,Complete,Complete,Low,Not required,Admin,"[""Execute Code"", ""Overflow"", ""Memory corruption""]",,,,,,,,,,,
CVE-2007-1269,https://www.cvedetails.com/cve/CVE-2007-1269,2007-03-06,2018-10-16,5.0,None,Partial,None,Low,Not required,None,,,,,,,,,,,,
CVE-2008-4989,https://www.cvedetails.com/cve/CVE-2008-4989,2008-11-12,2018-10-11,4.3,None,Partial,None,Medium,Not required,None,,255,,,,,,,,,,
CVE-2008-1948,https://www.cvedetails.com/cve/CVE-2008-1948,2008-05-21,2018-10-11,10.0,Complete,Complete,Complete,Low,Not required,None,"[""Denial Of Service"", ""Execute Code"", ""Overflow""]",189,,,,,,,,,,
CVE-2008-1367,https://www.cvedetails.com/cve/CVE-2008-1367,2008-03-17,2017-09-28,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Memory corruption""]",399,,,,,,,,,,
CVE-2014-3465,https://www.cvedetails.com/cve/CVE-2014-3465,2014-06-10,2017-12-28,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,,,,,,,,,,
CVE-2012-1573,https://www.cvedetails.com/cve/CVE-2012-1573,2012-03-26,2018-01-17,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service"", ""Memory corruption""]",310,,,,,,,,,,
CVE-2012-1175,https://www.cvedetails.com/cve/CVE-2012-1175,2012-08-26,2012-08-27,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Denial Of Service"", ""Execute Code"", ""Overflow""]",189,,,,,,,,,,
