CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2001-1407,https://www.cvedetails.com/cve/CVE-2001-1407,2001-09-10,2016-10-17,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Bypass a restriction or similar""]",,"{""Bugzilla"": [""2.4"", ""2.6"", ""2.8"", ""2.10"", ""2.12"", ""2.14""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=96085""]","[""96085""]",,,,,"[""7750d44cdd7c7a20b0fb6dc8f92092a946e55512""]",,
CVE-2002-0804,https://www.cvedetails.com/cve/CVE-2002-0804,2002-08-12,2008-09-05,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Bypass a restriction or similar""]",,"{""Bugzilla"": [""2.14"", ""2.14.1"", ""2.16""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=129466""]","[""129466""]",,,,,"[""15a6747ad2e4ed9b1f85d49f696b46893584074a"", ""4687c514981261ebe0662f662bf6ed7b3653f567""]",,
CVE-2001-1490,https://www.cvedetails.com/cve/CVE-2001-1490,2001-12-31,2017-07-10,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Mozilla"": [""0.9.6""]}",,,,,,,,,
CVE-2002-0808,https://www.cvedetails.com/cve/CVE-2002-0808,2002-08-12,2008-09-05,7.5,Partial,Partial,Partial,Low,Not required,User,,,"{""Bugzilla"": [""2.14"", ""2.14.1"", ""2.16""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=107718""]","[""107718""]",,,,,"[""8d60ac104d4745c7679db0317aabdf5ea74e79d2""]",,
CVE-2002-1197,https://www.cvedetails.com/cve/CVE-2002-1197,2002-10-28,2016-10-17,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Execute Code""]",,"{""Bugzilla"": [""2.14"", ""2.14.1"", ""2.14.2"", ""2.14.3"", ""2.16""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=163024""]","[""163024""]",,,,,"[""611be4738fffa6f12114bfd3947525f10245f6d1""]",,
CVE-2002-2061,https://www.cvedetails.com/cve/CVE-2002-2061,2002-12-31,2008-09-10,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Execute Code"", ""Overflow""]",,"{""Mozilla"": [""1.0""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=157202""]","[""157202""]",,,,,,,
CVE-2005-0989,https://www.cvedetails.com/cve/CVE-2005-0989,2005-05-02,2018-05-02,5.0,Partial,None,None,Low,Not required,None,,,"{""Firefox"": [""1.0.1"", ""1.0.2""], ""Mozilla"": [""1.7.6""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=288688""]","[""288688""]","[""https://www.mozilla.org/security/announce/mfsa2005-33.html""]","[""MFSA-2005-33""]","{""MFSA-2005-33"": {""Announced"": ""2005-04-15"", ""Reporter"": ""Azafran/Vladimir V. Perepelitsa"", ""Impact"": ""Moderate"", ""Products"": [""Firefox"", ""Mozilla Suite""], ""Fixed In"": [""Firefox 1.0.3"", ""Mozilla Suite 1.7.7""]}}",,,,
CVE-2005-1159,https://www.cvedetails.com/cve/CVE-2005-1159,2005-05-02,2017-10-10,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Denial Of Service"", ""Execute Code"", ""Bypass a restriction or similar""]",,"{""Firefox"": [""0.8"", ""0.9"", ""0.9.1"", ""0.9.2"", ""0.9.3"", ""0.10"", ""0.10.1"", ""1.0"", ""1.0.1"", ""1.0.2""], ""Mozilla"": [""1.3"", ""1.4"", ""1.4.1"", ""1.5"", ""1.5.1"", ""1.6"", ""1.7"", ""1.7.1"", ""1.7.2"", ""1.7.3"", ""1.7.5"", ""1.7.6""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=290162""]","[""290162""]","[""https://www.mozilla.org/security/announce/mfsa2005-40.html""]","[""MFSA-2005-40""]","{""MFSA-2005-40"": {""Announced"": ""2005-04-15"", ""Reporter"": ""Georgi Guninski"", ""Impact"": ""Moderate"", ""Products"": [""Firefox"", ""Mozilla Suite""], ""Fixed In"": [""Firefox 1.0.3"", ""Mozilla Suite 1.7.7""]}}",,,,
CVE-2005-2703,https://www.cvedetails.com/cve/CVE-2005-2703,2005-09-23,2017-10-10,5.0,None,Partial,None,Low,Not required,None,,94,"{""Firefox"": [""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4"", ""1.0.5"", ""1.0.6""], ""Mozilla Suite"": [""1.7.6"", ""1.7.7"", ""1.7.8"", ""1.7.10"", ""1.7.11""]}",,,"[""https://www.mozilla.org/security/announce/mfsa2005-58.html""]","[""MFSA-2005-58""]","{""MFSA-2005-58"": {""Announced"": ""2005-09-22"", ""Impact"": ""Critical"", ""Products"": [""Firefox"", ""Mozilla Suite""], ""Fixed In"": [""Firefox 1.0.7"", ""Mozilla Suite 1.7.12""]}}",,,,
CVE-2005-2261,https://www.cvedetails.com/cve/CVE-2005-2261,2005-07-13,2017-10-10,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Bypass a restriction or similar""]",,"{""Firefox"": [""0.8"", ""0.9"", ""0.9.1"", ""0.9.2"", ""0.9.3"", ""0.10"", ""0.10.1"", ""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4""], ""Mozilla"": [""1.3"", ""1.4"", ""1.4.1"", ""1.5"", ""1.5.1"", ""1.6"", ""1.7"", ""1.7.1"", ""1.7.2"", ""1.7.3"", ""1.7.5"", ""1.7.6"", ""1.7.7"", ""1.7.8""], ""Thunderbird"": [""0.1"", ""0.2"", ""0.3"", ""0.4"", ""0.5"", ""0.6"", ""0.7"", ""0.7.1"", ""0.7.2"", ""0.7.3"", ""0.8"", ""0.9"", ""1.0"", ""1.0.1"", ""1.0.2"", ""1.0.3"", ""1.0.4""]}","[""https://bugzilla.mozilla.org/show_bug.cgi?id=292589"", ""https://bugzilla.mozilla.org/show_bug.cgi?id=292591""]","[""292589"", ""292591""]","[""https://www.mozilla.org/security/announce/mfsa2005-46.html""]","[""MFSA-2005-46""]","{""MFSA-2005-46"": {""Announced"": ""2005-07-12"", ""Reporter"": ""moz_bug_r_a4"", ""Impact"": ""Low"", ""Products"": [""Firefox"", ""Mozilla Suite"", ""Thunderbird""], ""Fixed In"": [""Firefox 1.0.5"", ""Mozilla Suite 1.7.10"", ""Thunderbird 1.0.5""]}}",,,,
