CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2018-14678,https://www.cvedetails.com/cve/CVE-2018-14678,2018-07-28,2019-10-02,7.2,Complete,Complete,Complete,Low,Not required,None,"[""Denial Of Service"", ""Gain privileges""]",665,"{""XEN"": [""4.11.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-274.html""]","[""XSA-274""]","{""XSA-274"": {""Public Release"": ""2018-07-25 16:39"", ""Updated"": ""2018-08-15 16:09"", ""Version"": ""3"", ""CVEs"": [""CVE-2018-14678""], ""Title"": ""Linux: Uninitialized state in x86 PV failsafe callback path""}}",,,,
CVE-2019-17351,https://www.cvedetails.com/cve/CVE-2019-17351,2019-10-07,2019-10-11,4.9,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",400,,,,"[""https://xenbits.xen.org/xsa/advisory-300.html""]","[""XSA-300""]","{""XSA-300"": {""Public Release"": ""2019-07-09 13:54"", ""Updated"": ""2020-08-14 16:50"", ""Version"": ""4"", ""CVEs"": [""CVE-2019-17351""], ""Title"": ""Linux: No grant table and foreign mapping limits""}}",,,,
CVE-2018-18883,https://www.cvedetails.com/cve/CVE-2018-18883,2018-10-31,2019-01-24,7.2,Complete,Complete,Complete,Low,Not required,None,"[""Denial Of Service""]",476,"{""XEN"": [""4.9.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-278.html""]","[""XSA-278""]","{""XSA-278"": {""Public Release"": ""2018-10-24 21:11"", ""Updated"": ""2018-11-01 11:10"", ""Version"": ""2"", ""CVEs"": [""CVE-2018-18883""], ""Title"": ""x86: Nested VT-x usable even when disabled""}}",,"[""35cd5ba367515ffbd274ca529c5e946447f4ba48"", ""f294d80e8e43d4cdcc6d4d94b1e9c9b1aadf67d8"", ""73788eb585a6dc0d0cfe18b03ba5154f8fe5c468"", ""18b5947648ac4457cab55a34d370d9adac0b55db""]",,
CVE-2017-15596,https://www.cvedetails.com/cve/CVE-2017-15596,2017-10-18,2017-11-03,4.9,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",400,"{""XEN"": [""4.4.0"", ""4.4.1"", ""4.4.2"", ""4.4.3"", ""4.4.4"", ""4.5.0"", ""4.5.1"", ""4.5.2"", ""4.5.3"", ""4.5.4"", ""4.5.5"", ""4.6.0"", ""4.6.1"", ""4.6.2"", ""4.6.3"", ""4.6.4"", ""4.6.5"", ""4.6.6"", ""4.7.0"", ""4.7.1"", ""4.7.2"", ""4.7.3"", ""4.8.0"", ""4.8.1"", ""4.8.2"", ""4.9.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-235.html""]","[""XSA-235""]","{""XSA-235"": {""Public Release"": ""2017-08-23 15:16"", ""Updated"": ""2017-10-18 12:08"", ""Version"": ""2"", ""CVEs"": [""CVE-2017-15596""], ""Title"": ""add-to-physmap error paths fail to release lock on ARM""}}",,"[""3217129eb65c0d4995ed08fb8919e3c334cad548"", ""b4660b4d4a35edac715c003c84326de2b0fa4f47"", ""5151257626155d6e331cc9e66d896c84db1611e1"", ""f5211ce75821e0f2cc55effd28dfbe908226970f"", ""9bf14bbf990843bfec16a5d69d36cf46c7593d88"", ""9053a74c08fd6abf43bb45ff932b4386de7e8510"", ""d5a52318d902b956a258a0afbeffd95758f99dc4"", ""64c03bbacfb099f464c0fe0850ece71d4007d0ea"", ""30d50f8ead03d6524cbc4ed22075980090fbd2ed"", ""df8c4fa0e0578313f7be9cd9601449d15fa55783"", ""5ff1de3e4f56b2dd7c5c7dae8b008f6ee6dc2081"", ""59546c1897a90fe9af5ebbbb05ead8d98b4d17b9""]",,
CVE-2019-17348,https://www.cvedetails.com/cve/CVE-2019-17348,2019-10-07,2019-10-11,4.9,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",20,"{""XEN"": [""4.11.2""]}",,,"[""https://xenbits.xen.org/xsa/advisory-294.html""]","[""XSA-294""]","{""XSA-294"": {""Public Release"": ""2019-03-05 12:00"", ""Updated"": ""2019-10-25 11:09"", ""Version"": ""3"", ""CVEs"": [""CVE-2019-17348""], ""Title"": ""x86 shadow: Insufficient TLB flushing when using PCID""}}",,"[""88f936d44d2e34ca2d0827cc828ea9d3aeef3fe8"", ""a1f8fe062899dca34fe2353ea27c6348c5d7cd7d"", ""f72414a56fecd8db2963a2dfe4409e27a479992e"", ""7842419a6b85edb4a5b9bee8b1179de4c8b84b60"", ""e984846dad81218bbd8cbaec6df8e8a3530726dc"", ""329b00e4d49f70185561d7cc4b076c77869888a0""]",,
CVE-2018-7542,https://www.cvedetails.com/cve/CVE-2018-7542,2018-02-27,2018-10-31,4.9,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",476,"{""XEN"": [""4.8.0"", ""4.8.1"", ""4.9.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-256.html""]","[""XSA-256""]","{""XSA-256"": {""Public Release"": ""2018-02-27 11:57"", ""Updated"": ""2018-03-01 13:15"", ""Version"": ""3"", ""CVEs"": [""CVE-2018-7542""], ""Title"": ""x86 PVH guest without LAPIC may DoS the host""}}",,"[""1093876034e00a74735c9e88a191210f1e50803b"", ""395cb3f9b4e31040564a2ca801a292e2cfa76818"", ""a6780c122b863d2b626747a6b93ad6bd89fa11ec"", ""0aa6158b674c5d083b75ac8fcd1e7ae92d0c39ae""]",,
CVE-2017-10918,https://www.cvedetails.com/cve/CVE-2017-10918,2017-07-04,2017-11-03,10.0,Complete,Complete,Complete,Low,Not required,None,,20,"{""XEN"": [""4.8.1""]}",,,"[""https://xenbits.xen.org/xsa/advisory-222.html""]","[""XSA-222""]","{""XSA-222"": {""Public Release"": ""2017-06-20 11:58"", ""Updated"": ""2017-07-07 13:52"", ""Version"": ""3"", ""CVEs"": [""CVE-2017-10918""], ""Title"": ""stale P2M mappings due to insufficient error checking""}}",,"[""0780e81846b2ed718f76065967ef2f0f8a8e2b6e"", ""e5ef76d8208571d606cb0a2f9d670b19f03e0aab"", ""398b60f1714036b808c43002d4784e74fc702b5e"", ""d23eb82c8aeb992e406c721c35799cf2790fd2a2"", ""eeba17403e1bc33453ce49c5ded951f115ebf1e5"", ""ba78feae364db8c35c7afc004b3b8b27f62525d1"", ""270b9f8f6492c740a2e6ff5bf3dd49b181d23ffe"", ""50ee10e22cde66e6c37ce0c526ba4ff2fca7606e"", ""6f52fa04006ba3d3ca72abff51586db3f4e56ebd"", ""ab8e2acdbfb2dbf2196cecc9c4b7b74b9aa72afc"", ""a0cce6048d010a30ac82f8db7787bbf9aada64f4"", ""b614f642c35da5184416787352f51a6379a92628""]",,
CVE-2017-12134,https://www.cvedetails.com/cve/CVE-2017-12134,2017-08-24,2019-10-02,7.2,Complete,Complete,Complete,Low,Not required,None,"[""Denial Of Service"", ""Gain privileges"", ""Obtain Information""]",682,"{""XEN"": []}",,,"[""https://xenbits.xen.org/xsa/advisory-229.html""]","[""XSA-229""]","{""XSA-229"": {""Public Release"": ""2017-08-15 12:00"", ""Updated"": ""2017-08-15 12:04"", ""Version"": ""3"", ""CVEs"": [""CVE-2017-12134""], ""Title"": ""linux: Fix Xen block IO merge-ability calculation""}}",,,,
CVE-2016-10024,https://www.cvedetails.com/cve/CVE-2016-10024,2017-01-26,2017-11-03,4.9,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",20,"{""XEN"": [""4.8.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-202.html""]","[""XSA-202""]","{""XSA-202"": {""Public Release"": ""2016-12-21 12:00"", ""Updated"": ""2016-12-21 12:01"", ""Version"": ""3"", ""CVEs"": [""CVE-2016-10024""], ""Title"": ""x86 PV guests may be able to mask interrupts""}}",,"[""394ddc2de62cbcaf9d28cc7373fde175e6ba3a5d"", ""0bd7faf010631d5bbebd2cf81c75a5f9ef635c51"", ""c7f06e4eedcfd17024d48849bc8b047b813da0f7"", ""c2a7cc912743e23423580fb1628dd86f8b1e4d96"", ""7628c7efb4afca8cb2264bc3ab59830e481b37a8"", ""0e47f92b072548800223f9a21ea051a017173915""]",,
CVE-2017-2615,https://www.cvedetails.com/cve/CVE-2017-2615,2018-07-02,2018-09-07,9.0,Complete,Complete,Complete,Low,Single system,None,"[""Execute Code""]",125,"{""XEN"": [""4.7.1""]}",,,,,,,,,
