CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2018-19961,https://www.cvedetails.com/cve/CVE-2018-19961,2018-12-07,2019-10-02,6.9,Complete,Complete,Complete,Medium,Not required,None,"[""Gain privileges""]",459,"{""XEN"": [""4.11.1""]}",,,"[""https://xenbits.xen.org/xsa/advisory-275.html""]","[""XSA-275""]","{""XSA-275"": {""Public Release"": ""2018-11-20 12:00"", ""Updated"": ""2019-01-08 16:43"", ""Version"": ""3"", ""CVEs"": [""CVE-2018-19961"", ""CVE-2018-19962""], ""Title"": ""insufficient TLB flushing / improper large page mappings with AMD IOMMUs""}}",,"[""ce2f42605888f18f63ff9fe0d45dd69ae83045bb"", ""937ef32565fa3a81fdb37b9dd5aa99a1b87afa75"", ""1a7ffe466cd057daaef245b0a1ab6b82588e4c01""]",,
CVE-2018-19967,https://www.cvedetails.com/cve/CVE-2018-19967,2018-12-07,2019-04-17,4.9,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",20,"{""XEN"": [""4.11.1""]}",,,"[""https://xenbits.xen.org/xsa/advisory-282.html""]","[""XSA-282""]","{""XSA-282"": {""Public Release"": ""2018-11-06 18:40"", ""Updated"": ""2019-01-08 16:43"", ""Version"": ""2"", ""CVEs"": [""CVE-2018-19967""], ""Title"": ""guest use of HLE constructs may lock up host""}}",,"[""ce2f42605888f18f63ff9fe0d45dd69ae83045bb"", ""cc76410d20aff2cc07b268b0713dc1d2740c6e12"", ""8617e69fb8307b372eeff41d55ec966dbeba36eb""]",,
CVE-2017-15590,https://www.cvedetails.com/cve/CVE-2017-15590,2017-10-18,2019-10-02,4.6,Partial,Partial,Partial,Low,Not required,None,"[""Denial Of Service"", ""Gain privileges""]",,"{""XEN"": [""4.9.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-237.html""]","[""XSA-237""]","{""XSA-237"": {""Public Release"": ""2017-10-12 12:00"", ""Updated"": ""2017-10-18 12:08"", ""Version"": ""3"", ""CVEs"": [""CVE-2017-15590""], ""Title"": ""multiple MSI mapping issues on x86""}}",,"[""a8ea6e2688118a3e19e29b39e316faa5f96ab9d1"", ""6f17f5c43a3bd28d27ed8133b2bf513e2eab7d59"", ""573ac7b22aba9e5b8d40d9cdccd744af57cd5928"", ""a46126fec20e0cf4f5442352ef45efaea8c89646"", ""db72faf69c94513e180568006a9d899ed422ff90"", ""3308374b1be7d43e23bd2e9eaf23ec06d7959882""]",,
CVE-2018-19965,https://www.cvedetails.com/cve/CVE-2018-19965,2018-12-07,2019-10-02,4.7,None,None,Complete,Medium,Not required,None,"[""Denial Of Service""]",,"{""XEN"": [""4.11.1""]}",,,"[""https://xenbits.xen.org/xsa/advisory-279.html""]","[""XSA-279""]","{""XSA-279"": {""Public Release"": ""2018-11-20 12:00"", ""Updated"": ""2019-01-08 16:43"", ""Version"": ""3"", ""CVEs"": [""CVE-2018-19965""], ""Title"": ""x86: DoS from attempting to use INVPCID with a non-canonical addresses""}}",,"[""1de3459e0961ff3233392cf21a69cafe9006de59"", ""6c8d50288722672ecc8e19b0741a31b521d01706""]",,
CVE-2019-17344,https://www.cvedetails.com/cve/CVE-2019-17344,2019-10-07,2019-10-11,4.9,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",20,"{""XEN"": [""4.11.2""]}",,,"[""https://xenbits.xen.org/xsa/advisory-290.html""]","[""XSA-290""]","{""XSA-290"": {""Public Release"": ""2019-03-05 12:00"", ""Updated"": ""2019-10-25 11:09"", ""Version"": ""3"", ""CVEs"": [""CVE-2019-17344""], ""Title"": ""missing preemption in x86 PV page table unvalidation""}}",,"[""24d5282527f4647907b3572820b5335c15cd0356"", ""bac4567a67d5e8b916801ea5a04cf8b443dfb245"", ""176ebf9c8bc2828f6637eb61cc1cf166e302c699""]",,
CVE-2017-12136,https://www.cvedetails.com/cve/CVE-2017-12136,2017-08-24,2019-05-06,6.9,Complete,Complete,Complete,Medium,Not required,None,"[""Denial Of Service"", ""Gain privileges""]",362,"{""XEN"": [""4.6.0"", ""4.6.1"", ""4.6.3"", ""4.6.4"", ""4.6.5"", ""4.6.6"", ""4.7.0"", ""4.7.1"", ""4.7.2"", ""4.7.3"", ""4.8.0"", ""4.8.1"", ""4.9.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-228.html""]","[""XSA-228""]","{""XSA-228"": {""Public Release"": ""2017-08-15 12:00"", ""Updated"": ""2017-08-15 12:04"", ""Version"": ""3"", ""CVEs"": [""CVE-2017-12136""], ""Title"": ""grant_table: Race conditions with maptrack free list handling""}}",,"[""55924baf2211ddcf5ba8f702c9a4c07730e0c8e8"", ""02cbeeb6207508b0f04a2c6181445c8eb3f1e117""]",,
CVE-2017-12855,https://www.cvedetails.com/cve/CVE-2017-12855,2017-08-15,2017-11-14,2.1,Partial,None,None,Low,Not required,None,"[""Obtain Information""]",200,"{""XEN"": [""4.5.0"", ""4.5.1"", ""4.5.2"", ""4.5.3"", ""4.5.5"", ""4.6.0"", ""4.6.1"", ""4.6.3"", ""4.6.4"", ""4.6.5"", ""4.6.6"", ""4.7.0"", ""4.7.1"", ""4.7.2"", ""4.7.3"", ""4.8.0"", ""4.8.1"", ""4.9.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-230.html""]","[""XSA-230""]","{""XSA-230"": {""Public Release"": ""2017-08-15 12:00"", ""Updated"": ""2017-08-15 13:47"", ""Version"": ""3"", ""CVEs"": [""CVE-2017-12855""], ""Title"": ""grant_table: possibly premature clearing of GTF_writing / GTF_reading""}}",,"[""55924baf2211ddcf5ba8f702c9a4c07730e0c8e8"", ""6e2a4c73564ab907b732059adb317d6ca2d138a2""]",,
CVE-2017-7995,https://www.cvedetails.com/cve/CVE-2017-7995,2017-05-03,2017-05-15,1.7,Partial,None,None,Low,Single system,None,"[""Obtain Information""]",200,"{""XEN"": [""4.2.5""]}",,,,,,,,,
CVE-2017-14317,https://www.cvedetails.com/cve/CVE-2017-14317,2017-09-12,2018-10-19,4.7,None,None,Complete,Medium,Not required,None,,362,"{""XEN"": [""4.9.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-233.html""]","[""XSA-233""]","{""XSA-233"": {""Public Release"": ""2017-09-12 12:00"", ""Updated"": ""2017-09-12 12:03"", ""Version"": ""3"", ""CVEs"": [""CVE-2017-14317""], ""Title"": ""cxenstored: Race in domain cleanup""}}",,"[""9053a74c08fd6abf43bb45ff932b4386de7e8510"", ""562a1c0f7ef3fbf3c122c3dfa4f2ad9dd51da9fe""]",,
CVE-2017-14316,https://www.cvedetails.com/cve/CVE-2017-14316,2017-09-12,2018-10-19,7.2,Complete,Complete,Complete,Low,Not required,None,,125,"{""XEN"": [""4.9.0""]}",,,"[""https://xenbits.xen.org/xsa/advisory-231.html""]","[""XSA-231""]","{""XSA-231"": {""Public Release"": ""2017-09-12 12:00"", ""Updated"": ""2017-09-12 12:03"", ""Version"": ""3"", ""CVEs"": [""CVE-2017-14316""], ""Title"": ""Missing NUMA node parameter verification""}}",,"[""9053a74c08fd6abf43bb45ff932b4386de7e8510"", ""2fece35303529395bfea6b03d2268380ef682c93""]",,
