CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2016-5387,https://www.cvedetails.com/cve/CVE-2016-5387,2016-07-18,2018-01-18,5.1,Partial,Partial,Partial,High,Not required,None,,284,"{""Http Server"": [""2.4.23""]}",,,,,,,,,
CVE-2016-8740,https://www.cvedetails.com/cve/CVE-2016-8740,2016-12-05,2018-04-24,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",20,"{""Http Server"": [""2.4.17"", ""2.4.18"", ""2.4.19"", ""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23""]}",,,,,,"[""https://github.com/apache/httpd/commit/29c63b786ae028d82405421585e91283c8fa0da3""]","[""29c63b786ae028d82405421585e91283c8fa0da3""]",,
CVE-2017-7668,https://www.cvedetails.com/cve/CVE-2017-7668,2017-06-19,2018-06-02,7.5,Partial,Partial,Partial,Low,Not required,None,,20,"{""Http Server"": [""2.2.0"", ""2.2.2"", ""2.2.3"", ""2.2.11"", ""2.2.12"", ""2.2.13"", ""2.2.14"", ""2.2.15"", ""2.2.16"", ""2.2.17"", ""2.2.18"", ""2.2.19"", ""2.2.20"", ""2.2.21"", ""2.2.22"", ""2.2.23"", ""2.2.24"", ""2.2.25"", ""2.2.26"", ""2.2.27"", ""2.2.29"", ""2.2.30"", ""2.2.31"", ""2.2.32"", ""2.4.1"", ""2.4.2"", ""2.4.10"", ""2.4.12"", ""2.4.16"", ""2.4.17"", ""2.4.18"", ""2.4.20"", ""2.4.23"", ""2.4.25""]}",,,,,,,,,
CVE-2017-7679,https://www.cvedetails.com/cve/CVE-2017-7679,2017-06-19,2018-06-02,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Overflow""]",119,"{""Http Server"": [""2.2.0"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.5"", ""2.2.6"", ""2.2.8"", ""2.2.9"", ""2.2.10"", ""2.2.11"", ""2.2.12"", ""2.2.13"", ""2.2.14"", ""2.2.15"", ""2.2.16"", ""2.2.17"", ""2.2.18"", ""2.2.19"", ""2.2.20"", ""2.2.21"", ""2.2.22"", ""2.2.23"", ""2.2.24"", ""2.2.25"", ""2.2.26"", ""2.2.27"", ""2.2.29"", ""2.2.31"", ""2.2.32"", ""2.4.0"", ""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.4"", ""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9"", ""2.4.10"", ""2.4.12"", ""2.4.14"", ""2.4.16"", ""2.4.17"", ""2.4.18"", ""2.4.19"", ""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23"", ""2.4.24"", ""2.4.25""]}",,,,,,,,,
CVE-2014-8109,https://www.cvedetails.com/cve/CVE-2014-8109,2014-12-29,2016-12-30,4.3,None,Partial,None,Medium,Not required,None,"[""Bypass a restriction or similar""]",264,"{""Http Server"": [""2.3.0"", ""2.3.1"", ""2.3.2"", ""2.3.3"", ""2.3.4"", ""2.3.5"", ""2.3.6"", ""2.3.7"", ""2.3.8"", ""2.3.9"", ""2.3.10"", ""2.3.11"", ""2.3.12"", ""2.3.13"", ""2.3.14"", ""2.3.15"", ""2.3.16"", ""2.4.0"", ""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9"", ""2.4.10""]}","[""https://issues.apache.org/bugzilla/show_bug.cgi?id=57204""]","[""57204""]",,,,"[""https://github.com/apache/httpd/commit/3f1693d558d0758f829c8b53993f1749ddf6ffcb""]","[""3f1693d558d0758f829c8b53993f1749ddf6ffcb""]",,
CVE-2019-0215,https://www.cvedetails.com/cve/CVE-2019-0215,2019-04-08,2019-05-13,6.0,Partial,Partial,Partial,Medium,Single system,None,"[""Bypass a restriction or similar""]",284,"{""Http Server"": [""2.4.37"", ""2.4.38""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2012-4557,https://www.cvedetails.com/cve/CVE-2012-4557,2012-11-30,2017-09-18,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",399,"{""Http Server"": [""2.2.12"", ""2.2.13"", ""2.2.14"", ""2.2.15"", ""2.2.16"", ""2.2.17"", ""2.2.18"", ""2.2.19"", ""2.2.20"", ""2.2.21""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_22.html#2.2.22""]","[""APACHE-2.2""]",,,,"[""https://svn.apache.org/viewvc?view=revision&revision=1227298""]","[""1227298""]"
CVE-2010-2791,https://www.cvedetails.com/cve/CVE-2010-2791,2010-08-05,2017-08-16,5.0,Partial,None,None,Low,Not required,None,"[""Obtain Information""]",200,"{""Http Server"": [""2.2.9""]}",,,,,,,,,
CVE-2014-0226,https://www.cvedetails.com/cve/CVE-2014-0226,2014-07-20,2017-12-08,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Denial Of Service"", ""Execute Code"", ""Overflow"", ""Obtain Information""]",362,"{""Http Server"": [""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.4"", ""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2014-0098,https://www.cvedetails.com/cve/CVE-2014-0098,2014-03-18,2018-10-09,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",20,"{""Http Server"": [""2.0"", ""2.0.9"", ""2.0.28"", ""2.0.32"", ""2.0.34"", ""2.0.35"", ""2.0.36"", ""2.0.37"", ""2.0.38"", ""2.0.39"", ""2.0.40"", ""2.0.41"", ""2.0.42"", ""2.0.43"", ""2.0.44"", ""2.0.45"", ""2.0.46"", ""2.0.47"", ""2.0.48"", ""2.0.49"", ""2.0.50"", ""2.0.51"", ""2.0.52"", ""2.0.53"", ""2.0.54"", ""2.0.55"", ""2.0.56"", ""2.0.57"", ""2.0.58"", ""2.0.59"", ""2.0.60"", ""2.0.61"", ""2.0.63"", ""2.0.64"", ""2.1"", ""2.1.1"", ""2.1.2"", ""2.1.3"", ""2.1.4"", ""2.1.5"", ""2.1.6"", ""2.1.7"", ""2.1.8"", ""2.1.9"", ""2.2"", ""2.2.0"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.6"", ""2.2.8"", ""2.2.9"", ""2.2.10"", ""2.2.11"", ""2.2.12"", ""2.2.13"", ""2.2.14"", ""2.2.15"", ""2.2.16"", ""2.2.17"", ""2.2.18"", ""2.2.19"", ""2.2.20"", ""2.2.21"", ""2.2.22"", ""2.2.23"", ""2.2.24"", ""2.2.25"", ""2.3.0"", ""2.3.1"", ""2.3.2"", ""2.3.3"", ""2.3.4"", ""2.3.5"", ""2.3.6"", ""2.3.7"", ""2.3.8"", ""2.3.9"", ""2.3.10"", ""2.3.11"", ""2.3.12"", ""2.3.13"", ""2.3.14"", ""2.3.15"", ""2.3.16"", ""2.4.0"", ""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.4"", ""2.4.6"", ""2.4.7""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
