CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2019-0196,https://www.cvedetails.com/cve/CVE-2019-0196,2019-06-11,2019-06-17,5.0,None,None,Partial,Low,Not required,None,,416,"{""Http Server"": [""2.4.17"", ""2.4.18"", ""2.4.19"", ""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23"", ""2.4.24"", ""2.4.25"", ""2.4.26"", ""2.4.27"", ""2.4.28"", ""2.4.29"", ""2.4.30"", ""2.4.32"", ""2.4.33"", ""2.4.34"", ""2.4.35"", ""2.4.36"", ""2.4.37"", ""2.4.38""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2016-4979,https://www.cvedetails.com/cve/CVE-2016-4979,2016-07-06,2018-06-02,5.0,None,Partial,None,Low,Not required,None,"[""Bypass a restriction or similar""]",284,"{""Http Server"": [""2.4.18"", ""2.4.19"", ""2.4.20""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,"[""https://github.com/apache/httpd/commit/2d0e4eff04ea963128a41faaef21f987272e05a2""]",,,
CVE-2018-17189,https://www.cvedetails.com/cve/CVE-2018-17189,2019-01-30,2019-07-23,5.0,None,None,Partial,Low,Not required,None,,400,"{""Http Server"": [""2.4.37""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2019-10098,https://www.cvedetails.com/cve/CVE-2019-10098,2019-09-25,2019-10-09,5.8,Partial,Partial,None,Medium,Not required,None,,601,"{""Http Server"": [""2.4.0"", ""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.4"", ""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9"", ""2.4.10"", ""2.4.12"", ""2.4.14"", ""2.4.16"", ""2.4.17"", ""2.4.18"", ""2.4.19"", ""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23"", ""2.4.24"", ""2.4.25"", ""2.4.26"", ""2.4.27"", ""2.4.28"", ""2.4.29"", ""2.4.30"", ""2.4.32"", ""2.4.33"", ""2.4.34"", ""2.4.35"", ""2.4.36"", ""2.4.37"", ""2.4.38"", ""2.4.39""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2019-0217,https://www.cvedetails.com/cve/CVE-2019-0217,2019-04-08,2019-05-13,6.0,Partial,Partial,Partial,Medium,Single system,None,"[""Bypass a restriction or similar""]",362,"{""Http Server"": [""2.4.38""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2014-0117,https://www.cvedetails.com/cve/CVE-2014-0117,2014-07-20,2019-08-15,4.3,None,None,Partial,Medium,Not required,None,"[""Denial Of Service""]",20,"{""Http Server"": [""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2012-3499,https://www.cvedetails.com/cve/CVE-2012-3499,2013-02-26,2017-09-18,4.3,None,Partial,None,Medium,Not required,None,"[""Cross Site Scripting""]",79,"{""Http Server"": [""2.2"", ""2.2.0"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.6"", ""2.2.8"", ""2.2.9"", ""2.2.10"", ""2.2.11"", ""2.2.12"", ""2.2.13"", ""2.2.14"", ""2.2.15"", ""2.2.16"", ""2.2.17"", ""2.2.18"", ""2.2.19"", ""2.2.20"", ""2.2.21"", ""2.2.22"", ""2.2.23"", ""2.4.0"", ""2.4.1"", ""2.4.2"", ""2.4.3""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_22.html"", ""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.2"", ""APACHE-2.4""]",,,,,
CVE-2008-2579,https://www.cvedetails.com/cve/CVE-2008-2579,2008-07-15,2017-08-07,6.8,Partial,Partial,Partial,Medium,Not required,None,,,"{""Http Server"": []}",,,,,,,,,
CVE-2012-2687,https://www.cvedetails.com/cve/CVE-2012-2687,2012-08-22,2017-09-18,2.6,None,Partial,None,High,Not required,None,"[""Cross Site Scripting""]",79,"{""Http Server"": [""2.2.0"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.6"", ""2.2.8"", ""2.2.9"", ""2.2.10"", ""2.2.11"", ""2.2.12"", ""2.2.13"", ""2.2.14"", ""2.2.15"", ""2.2.16"", ""2.2.17"", ""2.2.18"", ""2.2.19"", ""2.2.20"", ""2.2.21"", ""2.2.22"", ""2.2.23"", ""2.4.0"", ""2.4.1"", ""2.4.2""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2013-1896,https://www.cvedetails.com/cve/CVE-2013-1896,2013-07-10,2017-09-18,4.3,None,None,Partial,Medium,Not required,None,"[""Denial Of Service""]",264,"{""Http Server"": [""2.2.0"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.6"", ""2.2.8"", ""2.2.9"", ""2.2.10"", ""2.2.11"", ""2.2.12"", ""2.2.13"", ""2.2.14"", ""2.2.15"", ""2.2.16"", ""2.2.17"", ""2.2.18"", ""2.2.19"", ""2.2.20"", ""2.2.21"", ""2.2.22"", ""2.2.23"", ""2.2.24""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
