CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2017-1000408,https://www.cvedetails.com/cve/CVE-2017-1000408,2018-01-31,2019-10-02,7.2,Complete,Complete,Complete,Low,Not required,None,,772,"{""Glibc"": [""2.1.1""]}",,,,,,,,,
CVE-2016-3075,https://www.cvedetails.com/cve/CVE-2016-3075,2016-06-01,2018-10-30,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service"", ""Overflow""]",119,"{""Glibc"": [""2.23""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=19879""]","[""19879""]",,,,,"[""916ef0f69613613e11123657bff127bd26104630"", ""a48e32ee701ff0247601464e5b3d4b6b496eb423"", ""a02f3e795993ae0f80242b488061b74666605625"", ""d3d94abbe8af2aa6e3de6a85983b9f17070a7564"", ""72ea3397b7fa7c6fc51229b22b992b456fa22c2e"", ""146b58d11fddbef15b888906e3be4f33900c416f"", ""1199943f072f8a0c47d9283bc9d8c1740a38a94e"", ""883dceebc8f11921a9890211a4e202e5be17562f"", ""317b199b4aff8cfa27f2302ab404d2bb5032b9a4""]",,
CVE-2017-17426,https://www.cvedetails.com/cve/CVE-2017-17426,2017-12-05,2017-12-15,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Overflow""]",190,"{""Glibc"": [""2.26""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=22375""]","[""22375""]",,,,,"[""df8c219cb987cfe85c550efa693a1383a11e38aa"", ""34697694e8a93b325b18f25f7dcded55d6baeaf6""]",,
CVE-2017-16997,https://www.cvedetails.com/cve/CVE-2017-16997,2017-12-17,2019-04-26,9.3,Complete,Complete,Complete,Medium,Not required,None,"[""Gain privileges""]",426,"{""Glibc"": [""2.19"", ""2.20"", ""2.21"", ""2.22"", ""2.23"", ""2.25"", ""2.26""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=22625""]","[""22625""]",,,,,"[""21c5d14bfb4e08bee86f94fd815535d3be2c3869"", ""f24c345bf5486cc8d659f7a17463adcae402ec8e"", ""1998843fb78d9b3ebc0216757042ce4b00dd08a1"", ""4ebd0c4191c6073cc8a7c5fdcf1d182c4719bcbb"", ""3e3c904daef69b8bf7d5cc07f793c9f07c3553ef""]",,
CVE-2014-9402,https://www.cvedetails.com/cve/CVE-2014-9402,2015-02-24,2019-06-13,7.8,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",399,"{""Glibc"": [""2.20""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=17630""]","[""17630""]",,,,,"[""27e46f5836d69c3e82442b1e3ac8a8b5e9ab12ce"", ""1517dfb8aaaf25dfdb79bb3c8549bc997ae7319a"", ""b21abc069f58da3f8e556ec730f0a387cfc91f5f"", ""ac8060265bcaca61568ef3a20b9a0140a270af54"", ""d2a6f3a27b791d91beec2ea91f293ec898080904"", ""612b11da56d9cd77a7125e4de984127ee7b52de6"", ""c7093fd0fedd8a0b4ed5b01347e3798219ba22ec"", ""f4f9fb08d49740d9f18918bcf9d45ca594f416ee"", ""f80af76648ed97a76745fad6caa3315a79cb1c7c"", ""11e3417af6e354f1942c68a271ae51e892b2814d""]",,
CVE-2016-3706,https://www.cvedetails.com/cve/CVE-2016-3706,2016-06-10,2018-10-30,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service"", ""Overflow""]",20,"{""Glibc"": []}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=20010""]","[""20010""]",,,,,"[""6fc2cd54ae7e045ed19033211a289bc6421743af"", ""1029487ab3b2ef65ec9364cb15c44ee9c571224f"", ""762aafec34478bcef01a16acf1959732ab8bb2b6"", ""9d4fe83c8ccf2a4dcc87f905b474d3053c6c42b7"", ""1a8a7c12950a0026a3c406a7cb1608f96aa1460e"", ""4ab2ab03d4351914ee53248dc5aef4a8c88ff8b9""]",,
CVE-2013-0242,https://www.cvedetails.com/cve/CVE-2013-0242,2013-02-08,2017-08-28,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service"", ""Overflow"", ""Memory corruption""]",119,"{""Glibc"": [""2.17""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=15078""]","[""15078""]",,,,,,,
CVE-2012-4412,https://www.cvedetails.com/cve/CVE-2012-4412,2013-10-09,2019-06-13,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Denial Of Service"", ""Execute Code"", ""Overflow""]",189,"{""Glibc"": [""2.0"", ""2.0.1"", ""2.0.2"", ""2.0.3"", ""2.0.4"", ""2.0.5"", ""2.0.6"", ""2.1"", ""2.1.1"", ""2.1.1.6"", ""2.1.2"", ""2.1.3"", ""2.1.9"", ""2.10.1"", ""2.11"", ""2.11.1"", ""2.11.2"", ""2.11.3"", ""2.12.1"", ""2.12.2"", ""2.13"", ""2.14"", ""2.14.1"", ""2.15"", ""2.16"", ""2.17""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=14547""]","[""14547""]",,,,,,,
CVE-2010-4052,https://www.cvedetails.com/cve/CVE-2010-4052,2011-01-13,2018-10-10,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",399,"{""Glibc"": [""1.00"", ""1.01"", ""1.02"", ""1.03"", ""1.04"", ""1.05"", ""1.06"", ""1.07"", ""1.08"", ""1.09"", ""1.09.1"", ""2.1"", ""2.1.1"", ""2.1.1.6"", ""2.1.2"", ""2.1.3"", ""2.1.3.10"", ""2.1.9"", ""2.10"", ""2.10.1"", ""2.10.2"", ""2.11"", ""2.11.1"", ""2.11.2"", ""2.11.3"", ""2.12.0"", ""2.12.1"", ""2.12.2""]}",,,,,,,,,
CVE-2011-1095,https://www.cvedetails.com/cve/CVE-2011-1095,2011-04-09,2018-10-09,6.2,Complete,Complete,Complete,High,Not required,None,"[""Gain privileges""]",264,"{""Glibc"": [""1.00"", ""1.01"", ""1.02"", ""1.03"", ""1.04"", ""1.05"", ""1.06"", ""1.07"", ""1.08"", ""1.09"", ""1.09.1"", ""2.0"", ""2.0.1"", ""2.0.2"", ""2.0.3"", ""2.0.4"", ""2.0.5"", ""2.0.6"", ""2.1"", ""2.1.1"", ""2.1.1.6"", ""2.1.2"", ""2.1.3"", ""2.1.3.10"", ""2.1.9"", ""2.2"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.5"", ""2.3"", ""2.3.1"", ""2.3.2"", ""2.3.3"", ""2.3.4"", ""2.3.5"", ""2.3.6"", ""2.3.10"", ""2.4"", ""2.5"", ""2.5.1"", ""2.6"", ""2.6.1"", ""2.7"", ""2.8"", ""2.9"", ""2.10"", ""2.10.1"", ""2.10.2"", ""2.11"", ""2.11.1"", ""2.11.2"", ""2.11.3"", ""2.12.0"", ""2.12.1"", ""2.12.2""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=11904""]","[""11904""]",,,,,,,
