CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2018-19591,https://www.cvedetails.com/cve/CVE-2018-19591,2018-12-04,2019-01-04,5.0,None,None,Partial,Low,Not required,None,,20,"{""Glibc"": [""2.28""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=23927""]","[""23927""]",,,,"[""https://sourceware.org/git/gitweb.cgi?p=glibc.git;a=commitdiff;h=d527c860f5a3f0ed687bd03f0cb464612dc23408""]","[""d527c860f5a3f0ed687bd03f0cb464612dc23408"", ""899478c2bfa00c5df8d8bedb52effbb065700278""]",,
CVE-2014-9984,https://www.cvedetails.com/cve/CVE-2014-9984,2017-06-12,2019-06-13,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Execute Code"", ""Overflow""]",119,"{""Glibc"": [""2.19""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=16695""]","[""16695""]",,,,"[""https://sourceware.org/git/gitweb.cgi?p=glibc.git;a=commit;h=c44496df2f090a56d3bf75df930592dac6bba46f""]","[""c44496df2f090a56d3bf75df930592dac6bba46f""]",,
CVE-2015-1473,https://www.cvedetails.com/cve/CVE-2015-1473,2015-04-08,2016-11-28,6.4,None,Partial,Partial,Low,Not required,None,"[""Denial Of Service"", ""Overflow""]",119,"{""Glibc"": [""2.20""]}",,,,,,"[""https://sourceware.org/git/gitweb.cgi?p=glibc.git;a=commit;h=5bd80bfe9ca0d955bfbbc002781bc7b01b6bcb06""]","[""5bd80bfe9ca0d955bfbbc002781bc7b01b6bcb06""]",,
CVE-2016-3075,https://www.cvedetails.com/cve/CVE-2016-3075,2016-06-01,2018-10-30,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service"", ""Overflow""]",119,"{""Glibc"": [""2.23""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=19879""]","[""19879""]",,,,,"[""317b199b4aff8cfa27f2302ab404d2bb5032b9a4""]",,
CVE-2017-12133,https://www.cvedetails.com/cve/CVE-2017-12133,2017-09-07,2019-10-02,4.3,None,Partial,None,Medium,Not required,None,,416,"{""Glibc"": [""2.25""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=21115""]","[""21115""]",,,,,"[""d42eed4a044e5e10dfb885cf9891c2518a72a491""]",,
CVE-2012-0864,https://www.cvedetails.com/cve/CVE-2012-0864,2013-05-02,2013-05-03,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Overflow"", ""Bypass a restriction or similar""]",189,"{""Glibc"": [""2.14""]}",,,,,,"[""https://sourceware.org/git/?p=glibc.git;a=commitdiff;h=7c1f4834d398163d1ac8101e35e9c36fc3176e6e""]","[""7c1f4834d398163d1ac8101e35e9c36fc3176e6e""]",,
CVE-2014-6040,https://www.cvedetails.com/cve/CVE-2014-6040,2014-12-05,2017-01-02,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service"", ""Overflow""]",119,"{""Glibc"": [""2.0"", ""2.0.1"", ""2.0.2"", ""2.0.3"", ""2.0.4"", ""2.0.5"", ""2.0.6"", ""2.1"", ""2.1.1"", ""2.1.1.6"", ""2.1.2"", ""2.1.3"", ""2.1.9"", ""2.10.1"", ""2.11"", ""2.11.1"", ""2.11.2"", ""2.11.3"", ""2.12"", ""2.12.1"", ""2.12.2"", ""2.13"", ""2.14"", ""2.14.1"", ""2.15"", ""2.16"", ""2.17"", ""2.18"", ""2.19""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=17325""]","[""17325""]",,,,"[""https://sourceware.org/git/gitweb.cgi?p=glibc.git;a=commitdiff;h=41488498b6""]","[""41488498b6d9440ee66ab033808cce8323bba7ac""]",,
CVE-2010-3856,https://www.cvedetails.com/cve/CVE-2010-3856,2011-01-07,2019-06-13,7.2,Complete,Complete,Complete,Low,Not required,None,"[""Gain privileges""]",264,"{""Glibc"": [""1.00"", ""1.01"", ""1.02"", ""1.03"", ""1.04"", ""1.05"", ""1.06"", ""1.07"", ""1.08"", ""1.09"", ""1.09.1"", ""2.0"", ""2.0.1"", ""2.0.2"", ""2.0.3"", ""2.0.4"", ""2.0.5"", ""2.0.6"", ""2.1"", ""2.1.1"", ""2.1.1.6"", ""2.1.2"", ""2.1.3"", ""2.1.3.10"", ""2.1.9"", ""2.2"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.5"", ""2.3"", ""2.3.1"", ""2.3.2"", ""2.3.3"", ""2.3.4"", ""2.3.5"", ""2.3.6"", ""2.3.10"", ""2.4"", ""2.5"", ""2.5.1"", ""2.6"", ""2.6.1"", ""2.7"", ""2.8"", ""2.9"", ""2.10"", ""2.10.1"", ""2.10.2"", ""2.11"", ""2.11.1"", ""2.11.2"", ""2.12.0"", ""2.12.1""]}",,,,,,,,,
CVE-2005-3590,https://www.cvedetails.com/cve/CVE-2005-3590,2019-04-10,2019-04-11,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Overflow""]",119,"{""Glibc"": [""0.1"", ""0.4"", ""0.4.1"", ""0.5"", ""0.6"", ""1.00"", ""1.01"", ""1.02"", ""1.03"", ""1.04"", ""1.05"", ""1.06"", ""1.06.1"", ""1.06.2"", ""1.06.3"", ""1.06.4"", ""1.06.6"", ""1.06.7"", ""1.06.8"", ""1.06.9"", ""1.06.10"", ""1.06.11"", ""1.06.12"", ""1.06.13"", ""1.07"", ""1.07.1"", ""1.07.2"", ""1.07.3"", ""1.07.4"", ""1.07.5"", ""1.07.6"", ""1.08"", ""1.08.1"", ""1.08.3"", ""1.08.4"", ""1.08.5"", ""1.08.6"", ""1.08.7"", ""1.08.8"", ""1.08.9"", ""1.08.10"", ""1.08.11"", ""1.08.12"", ""1.08.13"", ""1.08.14"", ""1.09"", ""1.09.1"", ""1.09.2"", ""1.09.3"", ""1.09.5"", ""2.0"", ""2.0.1"", ""2.0.2"", ""2.0.3"", ""2.0.4"", ""2.0.5"", ""2.0.6"", ""2.1"", ""2.1.1"", ""2.1.1.6"", ""2.1.2"", ""2.1.3"", ""2.1.3.10"", ""2.1.9"", ""2.2"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.5"", ""2.3"", ""2.3.1"", ""2.3.2"", ""2.3.3"", ""2.3.4""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=661""]","[""661""]",,,,,"[""3322ecbfe29a16e74c4f584d661b0b8018bb4031"", ""388b4f1a02f3a801965028bbfcd48d905638b797"", ""72354ab5e1d61dec7606a8851f0eb1bb016f7af7"", ""b4425b95ad64e5945ea9674f888561d725747128"", ""8e1f346462d8c1b238a7c6bb501c45b381a45e4d"", ""ed225df3ad9cbac3c22ec3f0fbbed1f9c61d1c54"", ""7fe9e2e089f4990b7d18d0798f591ab276b15f2b"", ""5bd80bfe9ca0d955bfbbc002781bc7b01b6bcb06"", ""a5357b7ce2a2982c5778435704bcdb55ce3667a0"", ""706688aaefdeb48e63519525f11108ce14844a26"", ""aa5f0ff11ad2cc85277c64cf65c723a9664e1149"", ""6539be6e48912892997eea6afc21883ba1fb8714"", ""d050367659e04685a0eab910e86ea6829a8d24f9"", ""bc688c10296cb416c082e44aa8bf881505aec64a"", ""0e31b18ca280c6056d41d0235b85d6890367ff46"", ""a76148d712d6c88b2f58044a422efb605154a1c9"", ""5bcc6c0f96789e52caa4ffdded7856472bb895e2"", ""6c215a8d6c972ca3324107109c393f21e782fb10"", ""edac424073092fda118fb8514ad524d3a66a9ae6""]",,
CVE-2013-2207,https://www.cvedetails.com/cve/CVE-2013-2207,2013-10-09,2017-06-30,2.6,Partial,Partial,None,High,Not required,None,,264,"{""Glibc"": [""2.0"", ""2.0.1"", ""2.0.2"", ""2.0.3"", ""2.0.4"", ""2.0.5"", ""2.0.6"", ""2.1"", ""2.1.1"", ""2.1.1.6"", ""2.1.2"", ""2.1.3"", ""2.1.9"", ""2.10.1"", ""2.11"", ""2.11.1"", ""2.11.2"", ""2.11.3"", ""2.12.1"", ""2.12.2"", ""2.13"", ""2.14"", ""2.14.1"", ""2.15"", ""2.16"", ""2.17""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=15755""]","[""15755""]",,,,,"[""e4608715e6e1dd2adc91982fd151d5ba4f761d69""]",,
