File Path,Topological Index,Neutral Git Commit Hash,Vulnerable Git Commit Hash,CVEs
embedding/components/windowwatcher/src/nsPrompt.cpp,0,a714da4a56957c826a7cafa381c4d8df832172f2,0d3c713dd0d59175c50fa9e4d97b09f96566ca46,"[""CVE-2008-0367""]"
dom/base/nsDOMClassInfo.cpp,1,26fefbada419ff667357f60744f4b9dd6a1844ff,1d20b32eabad4a29ff648e630cb1c139702975d7,"[""CVE-2010-0171""]"
js/src/xpconnect/src/xpccomponents.cpp,2,a2b551c9ae88e2c7812b5c590d87675d765d16db,c2a40a4d4191c616f84583a35884d143d54dc280,"[""CVE-2010-0171""]"
media/libtremor/lib/tremor_floor1.c,3,f8a6601ff42aed9bc7039a35ee6d8265c0565190,22fe2c5db5a1700a82449c2ee8b30ef0cc41aec7,"[""CVE-2012-0444""]"
media/libvorbis/lib/vorbis_floor1.c,3,f8a6601ff42aed9bc7039a35ee6d8265c0565190,22fe2c5db5a1700a82449c2ee8b30ef0cc41aec7,"[""CVE-2012-0444""]"
content/canvas/src/CustomQS_WebGL.h,4,f0746b81d84ce00a387a882e161932ae684cfac4,d21da161e3b3bf74ac5850faa91eb4fc884ac706,"[""CVE-2012-0478""]"
js/src/jsstr.cpp,5,27a1db07a134a1b6d8c89ba4b71d93e1b5bd559a,dcece234453c127d857c48543a3d491f90044e8d,"[""CVE-2013-1682""]"
js/src/jsapi.cpp,6,6b753fc40b3f1adfae93621974c8a709266211dc,762cbfa69ad71aa23c43300c44f4e232b052bef1,"[""CVE-2013-1682""]"
docshell/base/nsDSURIContentListener.cpp,7,65bfe783c94e2c80dda3ef5999dedbe4108c947d,f6530e6064f29653bc1c1f9dcd9ab6673060833f,"[""CVE-2013-1696""]"
docshell/base/nsDSURIContentListener.h,7,65bfe783c94e2c80dda3ef5999dedbe4108c947d,f6530e6064f29653bc1c1f9dcd9ab6673060833f,"[""CVE-2013-1696""]"
content/html/document/src/nsHTMLDocument.cpp,8,d3dab87a5ceb21a4f2ab158bbe65b0e57057fee9,7c03085fb1f8026520b67a77e3e684388f1a9480,"[""CVE-2013-1704""]"
dom/base/Navigator.cpp,9,ccaa5f9328f83a57c09103c31ddaf941b05bd630,3b9728eea79ab9b010bb81eddd2b77ed805ca4fa,"[""CVE-2015-0807""]"
caps/nsScriptSecurityManager.cpp,10,94fe2215225f1de4e8d67883b0ccf0418cf27358,616387439004e99860e2e7c7e99cd626eea105ca,"[""CVE-2015-0816""]"
toolkit/mozapps/update/updater/updater.cpp,11,769625853b0d63c7c0c37666fa1426ec95bb8db9,a096e3264f27bdb9a591971a188e9ee718ddca93,"[""CVE-2016-5253""]"
dom/base/nsDocument.cpp,12,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,53f6a7d204eea3f05c6382ac9b4b31496236081a,"[""CVE-2016-2831""]"
dom/events/EventStateManager.cpp,12,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,53f6a7d204eea3f05c6382ac9b4b31496236081a,"[""CVE-2016-2831""]"
netwerk/protocol/http/HttpBaseChannel.cpp,13,3525b6a6938b53077b950533dc75f0e8ec5c5141,140cd14e0d7af910bfd6848298ecd980fd7f6791,"[""CVE-2016-5250""]"
layout/svg/nsSVGEffects.cpp,14,ef55583835000f85d7d63a53a94d90eb5d53287a,0f6e33eb43bff145cb122b9e00e4375d75c07b90,"[""CVE-2016-5264""]"
layout/svg/nsSVGEffects.h,14,ef55583835000f85d7d63a53a94d90eb5d53287a,0f6e33eb43bff145cb122b9e00e4375d75c07b90,"[""CVE-2016-5264""]"
dom/network/UDPSocketChild.cpp,15,6bd2b36d88d4288b7ae00901745e39736d88e1a9,4a2b5dd88cd83b9024bce5f4cd89bdc2026727e3,"[""CVE-2019-11714""]"
