Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,7c1f4834d398163d1ac8101e35e9c36fc3176e6e,File,bug-vfprintf-nargs.c,stdio-common/bug-vfprintf-nargs.c,3,16,4,10,41,27,4,4,4,1,23,3,16,4,0,2,6,2,3,78,10,32,7,18,27,0,9,18,4,6,28,14,20,4,0,16,5,5,5,1,2,6,2,2,5184,0,7,7,8,2
No,7c1f4834d398163d1ac8101e35e9c36fc3176e6e,File,vfprintf.c,stdio-common/vfprintf.c,34,429,108,171,1961,478,128,125,218,16,495,34,153,103,0,4,152,19,50,2307,168,685,226,455,456,234,1211,184,23,69,37567176,1207,1616,282,3,1331,468,454,814,37,7,30,4,7,8641900916,0,512,498,872,64
Yes,c6922934363f44b88250567f52036d8e9972c255,File,bug-vfprintf-nargs.c,stdio-common/bug-vfprintf-nargs.c,3,16,4,10,41,27,4,4,4,1,23,3,16,4,0,2,6,2,3,78,10,32,7,18,27,0,9,18,4,6,28,14,20,4,0,16,5,5,5,1,2,6,2,2,5184,0,7,7,8,2
Yes,c6922934363f44b88250567f52036d8e9972c255,File,vfprintf.c,stdio-common/vfprintf.c,33,424,106,168,1941,472,128,124,218,15,488,33,148,101,0,4,152,19,50,2278,165,665,225,443,450,234,1211,184,23,69,37567176,1197,1604,280,3,1321,466,452,812,37,7,30,4,7,8641900916,0,510,496,870,61
No,89e435f3559c53084498e9baad22172b64429362,File,spawn_faction_addopen.c,posix/spawn_faction_addopen.c,6,27,5,9,31,23,4,4,6,4,38,6,27,5,0,1,18,9,9,63,9,27,7,18,23,0,4,16,8,9,7,15,19,4,0,15,4,4,6,4,1,2,1,1,173664,0,4,4,6,4
No,89e435f3559c53084498e9baad22172b64429362,File,spawn_faction_destroy.c,posix/spawn_faction_destroy.c,1,19,3,4,22,20,5,3,5,1,23,1,19,3,0,1,11,6,8,46,4,19,4,11,20,0,3,4,2,2,5,8,14,3,0,11,5,3,5,1,2,2,1,2,2888,1,5,3,5,1
No,89e435f3559c53084498e9baad22172b64429362,File,spawn_int.h,posix/spawn_int.h,0,0,0,4,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,34,31,0,1,0,2,0,0,0,0,15,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,89e435f3559c53084498e9baad22172b64429362,File,tst-spawn.c,posix/tst-spawn.c,9,51,12,44,175,60,15,15,16,1,72,9,51,12,0,3,44,7,9,279,44,162,35,123,60,0,13,73,12,22,1245190,109,148,31,0,117,23,23,24,1,1,4,1,1,4708259,0,44,44,47,3
Yes,c3a2ebe1f7541cc35937621e08c28ff88afd0845,File,spawn_faction_addopen.c,posix/spawn_faction_addopen.c,5,21,5,8,25,23,3,3,5,3,31,5,21,5,0,1,18,9,9,56,8,21,6,14,23,0,4,16,8,9,7,12,15,3,0,12,3,3,5,3,1,2,1,1,173664,1,3,3,5,3
Yes,c3a2ebe1f7541cc35937621e08c28ff88afd0845,File,spawn_faction_destroy.c,posix/spawn_faction_destroy.c,0,6,1,2,8,18,1,1,1,1,7,0,6,1,0,1,11,6,8,28,2,6,2,2,18,0,2,4,2,2,5,2,3,1,0,2,1,1,1,1,0,2,1,2,2888,3,1,1,1,1
Yes,c3a2ebe1f7541cc35937621e08c28ff88afd0845,File,spawn_int.h,posix/spawn_int.h,0,0,0,4,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,34,31,0,1,0,2,0,0,0,0,15,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,c3a2ebe1f7541cc35937621e08c28ff88afd0845,File,tst-spawn.c,posix/tst-spawn.c,9,49,12,43,169,59,14,14,15,1,69,9,49,12,0,3,44,7,9,271,43,156,34,118,59,0,13,73,12,22,1245190,104,142,30,0,112,22,22,23,1,1,4,1,1,4708259,0,43,43,46,3
No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,File,dns-network.c,nss_dns/dns-network.c,13,93,18,56,306,113,17,16,24,10,121,13,93,18,0,3,70,12,16,466,56,288,79,175,113,1,18,85,14,24,60316,146,192,48,0,144,32,31,46,25,7,22,4,7,34289082,0,52,48,71,32
Yes,a6033052d08027f745867e5e346852da1959226c,File,dns-network.c,nss_dns/dns-network.c,13,93,18,57,308,113,17,16,24,10,122,13,93,18,0,3,70,12,16,469,57,290,80,176,113,1,18,85,14,24,60316,148,194,49,0,145,32,31,46,25,7,22,4,7,34289082,0,52,48,71,32
