Vulnerable,Git Commit Hash,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
No,7c1f4834d398163d1ac8101e35e9c36fc3176e6e,Static Function,"_IO_helper_overflow(_IO_FILE *,int)",stdio-common/vfprintf.c,0,31,0,5,31,0,16,5,10,0,12,3,5,3,0,7,9,3,0,6,3,3,4,3,2,2,2,2,0
No,7c1f4834d398163d1ac8101e35e9c36fc3176e6e,Static Function,"buffered_vfprintf(register _IO_FILE *,const char *,_IO_va_list)",stdio-common/vfprintf.c,7,56,6,9,69,7,28,9,17,6,14,15,14,4,1,18,21,4,0,17,4,4,5,1,1,0,2,0,0
No,7c1f4834d398163d1ac8101e35e9c36fc3176e6e,Static Function,do_test(),stdio-common/bug-vfprintf-nargs.c,4,17,7,0,28,4,17,4,10,7,0,0,3,12,1,7,11,2,0,9,5,5,5,1,0,0,2,0,0
No,7c1f4834d398163d1ac8101e35e9c36fc3176e6e,Static Function,"format_failed(const char *,const char *)",stdio-common/bug-vfprintf-nargs.c,2,15,1,3,18,2,15,3,8,1,0,0,6,2,0,7,8,1,0,7,2,2,3,1,1,0,1,0,0
No,7c1f4834d398163d1ac8101e35e9c36fc3176e6e,Static Function,"printf_unknown(,,)",stdio-common/vfprintf.c,121,1587,425,50,1832,121,526,147,369,405,152,1049,70,12386309,7,1087,1440,204,3,1233,468,454,814,23,79,45,7,44,0
No,7c1f4834d398163d1ac8101e35e9c36fc3176e6e,Static Function,"printf_unknown(_IO_FILE *,const struct printf_info *,const void *const *)",stdio-common/vfprintf.c,7,42,0,12,49,7,42,20,29,0,0,0,4,204120,5,67,91,16,0,75,37,37,49,37,41,41,4,41,0
Yes,59ba27a63ada3f46b71ec99a314dfac5a38ad6d2,Static Function,"_IO_helper_overflow(_IO_FILE *,int)",stdio-common/vfprintf.c,0,31,0,5,31,0,16,5,10,0,12,3,5,3,0,7,9,3,0,6,3,3,4,3,2,2,2,2,0
Yes,59ba27a63ada3f46b71ec99a314dfac5a38ad6d2,Static Function,"buffered_vfprintf(register _IO_FILE *,const char *,_IO_va_list)",stdio-common/vfprintf.c,7,56,6,9,69,7,28,9,17,6,14,15,14,4,1,18,21,4,0,17,4,4,5,1,1,0,2,0,0
Yes,59ba27a63ada3f46b71ec99a314dfac5a38ad6d2,Static Function,"printf_unknown(,,)",stdio-common/vfprintf.c,118,1567,419,50,1803,118,506,146,357,399,152,1049,70,24772613,7,1077,1428,202,3,1223,466,452,812,20,73,39,7,38,0
Yes,59ba27a63ada3f46b71ec99a314dfac5a38ad6d2,Static Function,"printf_unknown(_IO_FILE *,const struct printf_info *,const void *const *)",stdio-common/vfprintf.c,7,42,0,12,49,7,42,20,29,0,0,0,4,204120,5,67,91,16,0,75,37,37,49,37,41,41,4,41,0
