Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,edac424073092fda118fb8514ad524d3a66a9ae6,Struct,block_list,intl\dcigettext.c,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,0,5,3,0,0,0,0,,,,,2,2,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
No,edac424073092fda118fb8514ad524d3a66a9ae6,File,dcigettext.c,intl\dcigettext.c,11.0,59.0,12.0,159,842,196,12.0,12.0,13.0,5.0,82.0,8.0,41.0,10.0,,,,0.0,,,,,,4.0,,,,,,,,,,,,,,1188,112,332,143,122,139,414,247,,,,206.0,328,214,9,105,,,,,,41.0,41.0,47.0,19.0,,,5,,,0.42,47.0,47.0,53.0,22.0
No,edac424073092fda118fb8514ad524d3a66a9ae6,Function,found(),intl\dcigettext.c,,,,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9,0,7,3,3,2,0,0,4.0,1.0,0.0,2.0,2,0,0,2,3.0,3.0,3.0,1.0,0.0,,,,,0.0,,0,0.0,,0.29,,,,
No,edac424073092fda118fb8514ad524d3a66a9ae6,Function,"getgrouplist(const char *,gid_t,gid_t *,int *)",grp\initgroups.c,,,,5,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,31,5,21,5,13,5,0,0,9.0,3.0,0.0,12.0,14,3,0,11,3.0,3.0,3.0,1.0,2.0,,,,,0.0,,1,0.0,,0.24,,,,
No,edac424073092fda118fb8514ad524d3a66a9ae6,File,initgroups.c,grp\initgroups.c,10.0,39.0,7.0,43,138,43,7.0,7.0,8.0,3.0,56.0,9.0,34.0,6.0,,,,0.0,,,,,,3.0,,,,,,,,,,,,,,224,40,109,26,68,41,16,18,,,,56.0,72,20,0,52,,,,,,13.0,13.0,15.0,8.0,,,4,,,0.38,20.0,20.0,24.0,10.0
No,edac424073092fda118fb8514ad524d3a66a9ae6,Static Function,"internal_getgrouplist(const char *,gid_t,long int *,gid_t **,long int)",grp\initgroups.c,,,,14,69,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,88,13,57,11,41,4,12,2,8.0,676.0,3.0,26.0,38,8,0,30,13.0,13.0,15.0,8.0,11.0,,,,,11.0,,4,8.0,,0.07,,,,
No,edac424073092fda118fb8514ad524d3a66a9ae6,Struct,known_translation_t,intl\dcigettext.c,0.0,0.0,0.0,5,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21,5,10,8,0,6,0,0,,,,,7,7,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.6,0.0,0.0,0.0,0.0
No,edac424073092fda118fb8514ad524d3a66a9ae6,Function,"libintl_dcigettext(const char *,const char *,const char *,int,unsigned long int,int)",intl\dcigettext.c,,,,44,211,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,300,32,140,31,85,35,84,10,18.0,194341.0,5.0,101.0,131,23,8,100,41.0,41.0,47.0,19.0,23.0,,,,,23.0,,5,22.0,,0.25,,,,
No,edac424073092fda118fb8514ad524d3a66a9ae6,Static Function,"mempcpy(void *,const void *,size_t)",intl\dcigettext.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8,0,8,5,1,0,0,0,2.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,edac424073092fda118fb8514ad524d3a66a9ae6,Function,static_link_warning(),grp\initgroups.c,,,,11,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,49,9,23,9,14,10,4,3,8.0,4.0,1.0,14.0,16,5,0,11,4.0,4.0,6.0,1.0,2.0,,,,,0.0,,1,0.0,,0.43,,,,
No,edac424073092fda118fb8514ad524d3a66a9ae6,Static Function,"stpcpy(char *,const char *)",intl\dcigettext.c,,,,0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9,0,9,4,2,1,0,0,1.0,2.0,0.0,2.0,3,0,1,2,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,1,0.0,,0.11,,,,
Yes,a334319f6530564d22e775935d9c91663623a1b4,Function,"getgrouplist(const char *,gid_t,gid_t *,int *)",grp\initgroups.c,,,,5,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,31,5,21,5,13,5,0,0,9.0,3.0,0.0,12,14,3,0,11,3.0,3.0,3.0,1.0,2.0,,,,,0.0,,1,0.0,,0.24,,,,
Yes,a334319f6530564d22e775935d9c91663623a1b4,File,initgroups.c,grp\initgroups.c,10.0,39.0,7.0,43,137,42,6.0,6.0,8.0,3.0,55.0,9.0,33.0,6.0,,,,0.0,,,,,,3.0,,,,,,,,,,,,,,222,40,108,26,67,40,16,18,,,,56,71,20,0,51,,,,,,12.0,12.0,14.0,8.0,,,4,,,0.37,19.0,19.0,23.0,10.0
Yes,a334319f6530564d22e775935d9c91663623a1b4,Static Function,"internal_getgrouplist(const char *,gid_t,long int *,gid_t **,long int)",grp\initgroups.c,,,,14,68,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,86,13,56,11,40,3,12,2,8.0,338.0,3.0,26,37,8,0,29,12.0,12.0,14.0,8.0,11.0,,,,,11.0,,4,8.0,,0.05,,,,
