Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,6e0dd741a89be35defa05bd79f4211c5a2762825,File,file.c,sysfs\file.c,2,15,2,75,275,133,3,3,4,1,19,2,15,2,0,16,218,7,16,483,75,266,87,177,133,0,9,178,6,12,1820,145,195,69,0,126,12,12,17,8,2,34,1,2,3797542,0,52,52,61,25
Yes,4b6f5d20b04dcbc3d888555522b90ba6d36c4106,File,file.c,sysfs\file.c,2,15,2,75,275,133,3,3,4,1,19,2,15,2,0,16,218,7,16,483,75,266,87,177,133,0,9,178,6,12,1820,145,195,69,0,126,12,12,17,8,2,34,1,2,3797542,0,52,52,61,25
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,File,nfs3proc.c,nfsd\nfs3proc.c,3,19,1,109,513,110,2,2,2,1,24,3,19,1,0,22,201,9,17,715,109,465,143,318,110,0,48,207,9,19,47,263,306,63,27,216,5,5,9,5,2,13,1,2,6501233,0,43,42,48,28
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,File,nfs4proc.c,nfsd\nfs4proc.c,3,25,3,123,743,148,6,4,7,2,31,3,25,3,0,28,278,10,55,1013,123,716,107,550,148,0,27,212,8,57,148109,371,528,67,0,461,50,18,65,12,3,28,1,3,1799105838,0,154,114,187,79
Yes,6264d69d7df654ca64f625e9409189a0e50734e9,File,vfs.c,nfsd\vfs.c,5,38,6,237,1448,332,8,7,9,3,48,5,37,6,0,26,278,11,24,1996,173,966,184,685,275,531,75,283,11,24,831876,560,754,133,2,619,23,23,28,11,3,42,2,3,55283221,0,197,192,243,101
Yes,a90b061c0bf712961cea40d9c916b300073d12e5,File,nfsd.h,nfsd\nfsd.h,0,0,0,30,242,77,0,0,0,0,0,0,0,0,0,0,0,0,0,339,5,0,0,0,13,304,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,7bfac9ecf0585962fe13584f5cf526d8c8e76f17,File,file.c,fs\ocfs2\file.c,7,38,6,319,1545,309,14,14,23,4,51,7,38,6,0,38,344,9,23,2167,319,1497,409,1083,309,4,44,402,11,31,1030404368,1183,1604,345,3,1256,72,72,114,23,6,130,3,6,116284816,0,521,516,862,163
No,7bfac9ecf0585962fe13584f5cf526d8c8e76f17,File,splice.c,fs\splice.c,6,30,7,247,1023,459,7,7,7,4,43,6,30,7,0,33,615,9,21,1729,247,1010,232,716,459,0,13,551,8,32,360715,545,765,144,6,615,23,23,24,18,4,127,2,4,94596453,0,221,221,240,136
Yes,c19a28e1193a6c854738d609ae9b2fe2f6e6bea4,File,file.c,ocfs2\file.c,7,38,6,319,1541,309,14,14,23,4,51,7,38,6,0,38,342,9,23,2163,319,1493,409,1079,309,4,44,402,11,31,1030404320,1181,1600,345,3,1252,72,72,114,23,6,130,3,6,116102416,0,519,514,860,163
Yes,266cf658efcf6ac33541a46740f74f50c79d2b6b,File,splice.c,fs\splice.c,6,30,7,247,1012,455,7,7,7,4,42,6,30,7,0,33,615,9,21,1714,247,999,232,706,455,0,13,551,8,32,360715,539,755,144,6,605,23,23,24,18,4,127,2,4,94596453,0,217,217,236,136
