Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Static Function,"check_perm(struct inode *,struct file *)",sysfs\file.c,,,,10,49,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,77,10,49,7,39,18,0,0,12.0,864.0,3.0,27.0,38,5,0,33,12.0,12.0,17.0,8.0,21.0,,,,,10.0,,2,10.0,,0.37,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,File,file.c,sysfs\file.c,2.0,15.0,2.0,75,275,133,3.0,3.0,4.0,1.0,19.0,2.0,15.0,2.0,,,,0.0,,,,,,16.0,,,,,,,,,,,,,,483,75,266,87,177,133,0,9,,,,145.0,195,69,0,126,,,,,,12.0,12.0,17.0,8.0,,,2,,,0.5,52.0,52.0,61.0,25.0
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Static Function,"fill_read_buffer(struct dentry *,struct sysfs_buffer *)",sysfs\file.c,,,,2,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,22,2,20,6,16,0,0,0,10.0,6.0,1.0,13.0,16,5,0,11,4.0,4.0,4.0,1.0,2.0,,,,,0.0,,1,0.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Static Function,"fill_write_buffer(struct sysfs_buffer *,const char __user *,size_t)",sysfs\file.c,,,,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,16,2,14,3,9,0,0,0,6.0,6.0,1.0,7.0,10,1,0,9,5.0,5.0,5.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Static Function,"flush_read_buffer(struct sysfs_buffer *,char __user *,size_t,loff_t *)",sysfs\file.c,,,,3,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,16,3,13,3,8,0,0,0,2.0,5.0,1.0,6.0,9,1,0,8,5.0,5.0,5.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Static Function,"flush_write_buffer(struct dentry *,struct sysfs_buffer *,size_t)",sysfs\file.c,,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9,1,8,5,4,0,0,0,4.0,1.0,0.0,4.0,4,3,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Static Function,"subsys_attr_show(struct kobject *,struct attribute *,char *)",sysfs\file.c,,,,1,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,11,1,10,5,6,0,0,0,3.0,2.0,0.0,5.0,6,3,0,3,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Static Function,"subsys_attr_store(struct kobject *,struct attribute *,const char *,size_t)",sysfs\file.c,,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12,1,11,6,6,0,0,0,3.0,2.0,0.0,5.0,6,3,0,3,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Function,"sysfs_add_file(struct dentry *,const struct attribute *,int)",sysfs\file.c,,,,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,14,2,12,4,9,0,0,0,5.0,2.0,0.0,7.0,8,3,0,5,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Struct,sysfs_buffer,sysfs\file.c,0.0,0.0,0.0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,,,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8,0,8,7,0,0,0,0,,,,,6,6,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Function,"sysfs_chmod_file(struct kobject *,struct attribute *,mode_t)",sysfs\file.c,,,,2,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,27,2,25,6,17,0,0,0,10.0,3.0,0.0,16.0,18,5,0,13,3.0,3.0,4.0,1.0,0.0,,,,,0.0,,2,0.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Function,"sysfs_create_file(struct kobject *,const struct attribute *)",sysfs\file.c,,,,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7,2,5,1,2,0,0,0,3.0,1.0,0.0,2.0,2,0,0,2,1.0,1.0,3.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Static Function,"sysfs_open_file(struct inode *,struct file *)",sysfs\file.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4,0,4,1,1,0,0,0,2.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Static Function,"sysfs_read_file(struct file *,char __user *,size_t,loff_t *)",sysfs\file.c,,,,1,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,18,1,17,4,11,0,0,0,6.0,3.0,0.0,8.0,10,2,0,8,3.0,3.0,3.0,3.0,2.0,,,,,2.0,,2,2.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Static Function,"sysfs_release(struct inode *,struct file *)",sysfs\file.c,,,,2,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,19,2,16,5,12,1,0,0,7.0,6.0,1.0,9.0,12,4,0,8,4.0,4.0,4.0,1.0,0.0,,,,,0.0,,2,0.0,,0.06,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Function,"sysfs_remove_file(struct kobject *,const struct attribute *)",sysfs\file.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4,0,4,1,1,0,0,0,1.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Function,"sysfs_update_file(struct kobject *,const struct attribute *)",sysfs\file.c,,,,4,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,32,4,21,4,16,7,0,0,10.0,3.0,0.0,13.0,15,3,0,12,3.0,3.0,4.0,1.0,1.0,,,,,0.0,,2,0.0,,0.33,,,,
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Static Function,"sysfs_write_file(struct file *,const char __user *,size_t,loff_t *)",sysfs\file.c,,,,1,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15,1,14,4,9,0,0,0,5.0,4.0,1.0,8.0,10,2,0,8,3.0,3.0,3.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
