Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,a714da4a56957c826a7cafa381c4d8df832172f2,File,nsPrompt.cpp,src/nsPrompt.cpp,2,18,1,75,444,73,2,2,2,1,21,2,18,1,0,21,186,4,10,590,74,417,174,185,73,6,22,209,5,30,186,149,226,94,0,132,9,9,10,5,3,24,1,3,3379312,0,48,48,51,33
Yes,bacde8593350682862f27a19daf03f4a3572b444,File,nsPrompt.cpp,src/nsPrompt.cpp,2,17,1,72,426,71,2,2,2,1,20,2,17,1,0,21,186,4,10,567,71,401,173,172,71,6,20,209,5,30,186,141,214,93,0,121,7,7,7,5,2,24,1,3,3379312,0,44,44,47,33
No,26fefbada419ff667357f60744f4b9dd6a1844ff,File,nsDOMClassInfo.cpp,base/nsDOMClassInfo.cpp,7,31,3,1971,7855,814,4,4,5,3,41,7,27,3,2,206,1912,5,86,10626,1822,6244,3185,4457,770,1285,629,3424,8,87,60177,3463,4395,1547,86,2762,85,85,85,85,5,452,1,5,9933347450,0,871,845,1048,657
Yes,00b87e5ee3e81567d6317727660f0ef4348027f7,File,nsDOMClassInfo.cpp,base/nsDOMClassInfo.cpp,7,31,3,1971,7852,814,4,4,5,3,41,7,27,3,2,206,1912,5,86,10623,1822,6241,3185,4455,770,1285,629,3424,8,87,60177,3462,4393,1547,86,2760,85,85,85,85,5,452,1,5,9933347450,0,870,844,1047,656
No,94fe2215225f1de4e8d67883b0ccf0418cf27358,File,nsScriptSecurityManager.cpp,caps/nsScriptSecurityManager.cpp,2,16,2,222,1187,181,3,3,3,1,20,2,16,2,2,65,372,3,19,1582,222,1125,383,605,181,0,62,772,6,39,750,494,690,261,0,429,36,36,39,28,4,100,1,4,150796630,0,170,170,189,123
Yes,c9d51e1ad009b9dd2a44c543c286ec4582a42ffe,File,nsScriptSecurityManager.cpp,caps/nsScriptSecurityManager.cpp,2,16,2,220,1187,175,3,3,3,1,20,2,16,2,2,65,372,3,19,1574,220,1125,383,605,175,0,62,772,6,39,750,494,690,261,0,429,36,36,39,28,4,100,1,4,150796630,0,170,170,189,123
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,File,updater.cpp,updater/updater.cpp,4,27,5,529,2979,564,4,4,4,2,35,3,17,2,10,84,596,4,10,4049,400,1540,370,934,261,1652,265,878,5,30,63442,753,1070,313,1,756,25,25,27,25,5,190,1,5,18101478,0,320,311,341,242
Yes,f887951ac33113d39e423665d134c2895064eec2,File,updater.cpp,updater/updater.cpp,4,27,5,528,2963,564,4,4,4,2,35,3,17,2,10,84,596,4,10,4032,400,1540,370,934,261,1635,265,878,5,30,63442,753,1070,313,1,756,25,25,27,25,5,190,1,5,18101478,0,320,311,341,242
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,File,EventStateManager.cpp,events/EventStateManager.cpp,3,30,5,657,4452,843,7,5,8,2,39,3,30,5,3,138,1429,5,38,5932,652,4230,1016,2825,839,124,110,2234,8,106,224863,1826,2759,662,9,2088,91,71,116,34,6,382,1,6,10980074407,0,908,750,1124,409
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,File,nsDocument.cpp,base/nsDocument.cpp,2,15,2,1918,10330,1337,3,3,4,1,19,2,15,2,12,619,3047,2,20,13501,1913,9911,3053,5333,1329,117,317,6914,6,60,372151,4161,6432,2338,24,4070,36,36,48,35,7,1183,1,7,408846126,0,1872,1836,2174,1078
Yes,52a7f283b30e3dbad63f74305cc752d857b1ae52,File,nsDocument.cpp,base/nsDocument.cpp,2,15,2,1922,10337,1338,3,3,4,1,19,2,15,2,12,619,3047,2,20,13513,1917,9925,3055,5344,1330,112,315,6914,6,60,372151,4170,6444,2340,24,4080,36,36,48,35,7,1183,1,7,408846126,0,1875,1839,2176,1081
Yes,868bc3704acb702c6fbf33ed32357a415775543b,File,EventStateManager.cpp,events/EventStateManager.cpp,3,30,5,657,4452,843,7,5,8,2,39,3,30,5,3,138,1429,5,38,5932,652,4230,1016,2825,839,124,110,2234,8,106,224863,1826,2759,662,9,2088,91,71,116,34,6,382,1,6,10980074407,0,908,750,1124,409
No,3525b6a6938b53077b950533dc75f0e8ec5c5141,File,HttpBaseChannel.cpp,http/HttpBaseChannel.cpp,1,11,1,534,2594,337,2,2,2,1,13,1,11,1,4,205,611,1,26,3452,534,2521,808,1214,335,11,64,1551,4,39,163638,1165,1909,831,1,1077,51,50,57,45,4,200,0,4,13697274,0,430,426,465,338
Yes,c10122236dfe87226608159fe93de24d4cb99e59,File,HttpBaseChannel.cpp,http/HttpBaseChannel.cpp,1,11,1,528,2578,335,2,2,2,1,13,1,11,1,4,205,611,1,26,3428,528,2506,806,1204,333,11,63,1551,4,39,163638,1158,1898,829,1,1068,51,50,57,45,4,200,0,4,13697274,0,426,422,460,334
No,ef55583835000f85d7d63a53a94d90eb5d53287a,File,nsSVGEffects.cpp,svg/nsSVGEffects.cpp,1,12,1,124,675,78,2,2,3,1,14,1,12,1,0,52,246,2,11,871,124,654,238,324,78,7,14,548,5,19,277,254,419,165,0,254,7,7,10,6,3,95,1,3,866512,0,127,127,143,79
No,ef55583835000f85d7d63a53a94d90eb5d53287a,File,nsSVGEffects.h,svg/nsSVGEffects.h,0,3,0,94,308,197,1,1,1,1,3,0,3,0,13,33,82,1,3,597,94,285,191,36,197,2,21,126,2,5,66,122,178,149,0,29,2,2,2,1,1,1,0,1,1266,0,34,34,36,33
Yes,bb6b3396a07e607d3f340ccba7e258f61c767147,File,nsSVGEffects.cpp,svg/nsSVGEffects.cpp,1,12,1,120,663,78,2,2,3,1,14,1,12,1,0,50,246,2,11,855,120,642,229,319,78,7,14,548,5,19,277,252,424,175,0,249,7,7,10,6,3,95,1,3,866512,0,124,124,140,75
Yes,bb6b3396a07e607d3f340ccba7e258f61c767147,File,nsSVGEffects.h,svg/nsSVGEffects.h,0,3,0,92,302,197,1,1,1,1,3,0,3,0,13,32,82,1,3,589,92,279,189,34,197,2,21,126,2,5,66,119,173,147,0,26,1,1,2,1,0,1,0,1,1266,0,32,32,34,32
No,6bd2b36d88d4288b7ae00901745e39736d88e1a9,File,UDPSocketChild.cpp,network/UDPSocketChild.cpp,1,8,0,62,228,13,1,1,1,1,9,1,8,0,0,25,94,2,9,301,62,218,73,115,13,0,10,227,5,13,64,96,146,52,0,94,6,6,6,5,2,10,0,2,552461,0,33,33,33,29
Yes,d3a1bdd83c1d56c056d01584dd3463d9f459f3be,File,UDPSocketChild.cpp,network/UDPSocketChild.cpp,1,8,0,61,220,13,1,1,1,1,9,1,8,0,0,25,94,2,9,292,61,210,73,110,13,0,10,227,5,13,64,95,142,52,0,90,3,3,3,1,2,10,0,2,552461,0,30,30,30,25
No,a2b551c9ae88e2c7812b5c590d87675d765d16db,File,xpccomponents.cpp,src/xpccomponents.cpp,2,13,1,589,3167,440,3,3,3,2,16,2,13,1,11,169,542,2,11,4161,574,2775,1046,1171,408,197,243,1552,5,35,1514,1121,1946,1000,1,945,21,21,43,19,5,200,1,5,32537516,0,440,436,541,359
Yes,ec313f69b932e554243c16ff03f7f9f4930a8faa,File,xpccomponents.cpp,src/xpccomponents.cpp,2,13,1,589,3162,440,3,3,3,2,16,2,13,1,11,169,542,2,11,4156,574,2770,1046,1166,408,197,243,1552,5,35,1514,1118,1941,1000,1,940,21,21,43,19,5,200,1,5,32537516,0,438,434,539,357
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,File,tremor_floor1.c,libtremor/lib/tremor_floor1.c,4,26,4,63,356,54,7,7,7,3,33,4,26,4,0,10,70,7,18,461,63,340,154,271,54,1,16,43,4,13,10847,201,264,79,2,183,18,18,21,15,5,20,2,5,1677691,0,68,65,73,31
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,File,vorbis_floor1.c,libvorbis/lib/vorbis_floor1.c,6,36,5,149,862,121,8,8,9,3,45,6,35,5,0,21,187,9,28,1100,149,828,297,649,121,18,16,97,5,18,119009,572,741,210,2,529,26,25,29,15,8,53,3,8,16179268,0,176,170,188,73
Yes,038de97c0de31b8c72d3a451c4d7e8bcb0b78946,File,tremor_floor1.c,lib/tremor_floor1.c,4,26,4,63,355,54,7,6,7,3,33,4,26,4,0,10,70,7,18,460,63,339,154,270,54,1,16,43,4,13,6347,200,262,79,2,181,17,17,20,14,5,20,2,5,1657242,0,67,64,72,30
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,File,vorbis_floor1.c,lib/vorbis_floor1.c,6,36,5,149,861,121,8,8,9,3,45,6,35,5,0,21,187,9,28,1099,149,827,297,648,121,18,16,95,5,18,114509,571,739,210,2,527,26,25,29,14,8,53,3,8,16037731,0,175,169,187,72
No,f0746b81d84ce00a387a882e161932ae684cfac4,File,CustomQS_WebGL.h,src/CustomQS_WebGL.h,5,26,1,165,739,97,8,8,9,7,31,5,26,1,0,28,266,5,11,1000,165,718,201,497,97,0,21,560,10,25,584,465,655,173,0,482,37,37,44,37,3,50,1,3,32100346,0,233,233,249,209
Yes,a3f57f90f9bf1280178f91434dcc9b85e7499578,File,CustomQS_WebGL.h,src/CustomQS_WebGL.h,5,26,1,165,739,97,8,8,9,7,31,5,26,1,0,28,266,5,11,1000,165,718,201,497,97,0,21,560,10,25,584,465,655,173,0,482,37,37,44,37,3,50,1,3,32100346,0,233,233,249,209
No,27a1db07a134a1b6d8c89ba4b71d93e1b5bd559a,File,jsstr.cpp,src/jsstr.cpp,0,0,0,636,3369,533,0,0,0,0,0,0,0,0,0,0,0,0,0,4444,597,3095,0,0,522,247,73,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,dcece234453c127d857c48543a3d491f90044e8d,File,jsstr.cpp,src/jsstr.cpp,0,0,0,636,3368,533,0,0,0,0,0,0,0,0,0,0,0,0,0,4443,597,3094,0,0,522,247,73,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,6b753fc40b3f1adfae93621974c8a709266211dc,File,jsapi.cpp,src/jsapi.cpp,0,0,0,913,5971,379,0,0,0,0,0,0,0,0,0,0,0,0,0,7232,876,5352,0,0,331,489,249,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,cbb9822c3401ab4c2e3e5d3a73d1646b8beccace,File,jsapi.cpp,src/jsapi.cpp,0,0,0,913,5970,379,0,0,0,0,0,0,0,0,0,0,0,0,0,7230,876,5351,0,0,331,489,249,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,File,nsDSURIContentListener.cpp,base/nsDSURIContentListener.cpp,4,25,4,78,371,73,5,5,5,3,33,4,24,4,0,14,75,3,7,521,78,347,97,212,73,4,20,220,8,23,398,154,226,63,0,163,18,18,25,17,4,30,1,4,2267645,0,65,63,73,50
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,File,nsDSURIContentListener.h,base/nsDSURIContentListener.h,0,3,0,14,42,11,1,1,1,1,3,0,3,0,1,1,0,0,0,66,14,35,26,1,11,0,7,2,1,1,2,17,18,17,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
Yes,6cc1792013df7a0499570d434cc2c41dad9922f0,File,nsDSURIContentListener.cpp,base/nsDSURIContentListener.cpp,4,24,4,77,365,72,5,4,5,3,33,4,24,4,0,14,75,3,7,513,77,341,96,208,72,4,20,220,8,23,398,151,221,62,0,159,19,19,26,18,4,30,1,4,2267645,0,63,61,71,48
Yes,87ab0338fdfe7b47254cfd4ea8850d204ffeb4f1,File,nsDSURIContentListener.h,base/nsDSURIContentListener.h,0,3,0,14,41,11,1,1,1,1,3,0,3,0,1,1,0,0,0,65,14,34,25,1,11,0,7,2,1,1,2,16,17,16,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
No,d3dab87a5ceb21a4f2ab158bbe65b0e57057fee9,File,nsHTMLDocument.cpp,src/nsHTMLDocument.cpp,3,19,3,573,2836,415,3,3,4,2,24,3,19,3,1,137,566,2,17,3813,572,2686,734,1597,413,37,116,1734,6,66,20117154,1168,1669,440,0,1229,40,40,64,23,4,240,1,4,155340841,0,474,474,596,328
