Vulnerable,Git Commit Hash,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"Alert(const PRUnichar *,const PRUnichar *)",src\nsPrompt.cpp,0,6,0,2,6,0,6,3,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"AlertCheck(const PRUnichar *,const PRUnichar *,const PRUnichar *,PRBool *)",src\nsPrompt.cpp,0,9,0,4,9,0,9,5,2,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"AsyncPromptAuth(nsIChannel *,nsIAuthPromptCallback *,nsISupports *,PRUint32,nsIAuthInformation *,nsICancelable **)",src\nsPrompt.cpp,1,16,1,6,18,1,16,7,6,1,0,0,2,2,0,2,3,0,0,3,2,2,2,1,1,0,1,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Public Function,"AuthPromptWrapper::AsyncPromptAuth(nsIChannel *,nsIAuthPromptCallback *,nsISupports *,PRUint32,nsIAuthInformation *,nsICancelable **)",src\nsPrompt.cpp,0,10,2,0,12,0,10,7,1,2,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"Confirm(const PRUnichar *,const PRUnichar *,PRBool *)",src\nsPrompt.cpp,0,7,0,3,7,0,7,4,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"ConfirmCheck(const PRUnichar *,const PRUnichar *,const PRUnichar *,PRBool *,PRBool *)",src\nsPrompt.cpp,0,10,0,5,10,0,10,6,2,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"ConfirmEx(const PRUnichar *,const PRUnichar *,PRUint32,const PRUnichar *,const PRUnichar *,const PRUnichar *,const PRUnichar *,PRBool *,PRInt32 *)",src\nsPrompt.cpp,0,15,0,9,15,0,15,10,3,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,Init(),src\nsPrompt.cpp,0,7,2,0,9,0,7,2,3,2,0,0,3,1,0,3,3,0,0,3,2,2,2,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Static Function,"MakeDialogText(nsIChannel *,nsIAuthInformation *,nsXPIDLString &)",src\nsPrompt.cpp,17,75,5,6,97,17,75,17,54,5,0,0,30,84,2,52,60,14,0,46,9,9,10,1,2,0,3,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"NS_NewAuthPrompter(nsIAuthPrompt **,nsIDOMWindow *)",src\nsPrompt.cpp,4,36,8,2,47,4,36,4,27,8,0,0,12,11,1,18,24,2,0,22,7,7,7,5,4,4,2,4,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"NS_NewAuthPrompter2(nsIAuthPrompt2 **,nsIDOMWindow *)",src\nsPrompt.cpp,5,26,2,2,33,5,26,4,19,2,0,0,10,7,1,13,17,2,0,15,5,5,6,5,4,4,2,4,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"NS_NewPrompter(nsIPrompt **,nsIDOMWindow *)",src\nsPrompt.cpp,3,17,0,1,20,3,17,4,11,0,0,0,6,3,0,10,12,2,0,10,3,3,3,3,2,2,1,2,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"Prompt(const PRUnichar *,const PRUnichar *,PRUnichar **,const PRUnichar *,PRBool *,PRBool *)",src\nsPrompt.cpp,0,11,0,6,11,0,11,7,2,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"Prompt(const PRUnichar *,const PRUnichar *,const PRUnichar *,PRUint32,const PRUnichar *,PRUnichar **,PRBool *)",src\nsPrompt.cpp,2,18,1,5,21,2,18,8,6,1,0,0,5,3,0,3,5,0,0,5,3,3,3,3,2,2,2,2,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"PromptAuth(nsIChannel *,PRUint32,nsIAuthInformation *,PRBool *)",src\nsPrompt.cpp,1,14,0,4,15,1,14,5,6,0,0,0,3,2,0,2,3,0,0,3,2,2,2,1,1,0,1,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"PromptPassword(const PRUnichar *,const PRUnichar *,PRUnichar **,const PRUnichar *,PRBool *,PRBool *)",src\nsPrompt.cpp,0,11,0,6,11,0,11,7,2,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"PromptPassword(const PRUnichar *,const PRUnichar *,const PRUnichar *,PRUint32,PRUnichar **,PRBool *)",src\nsPrompt.cpp,0,11,1,4,12,0,11,7,2,1,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"PromptPasswordAdapter(nsIPromptService *,nsIDOMWindow *,nsIChannel *,PRUint32,nsIAuthInformation *,const PRUnichar *,PRBool *,PRBool *)",src\nsPrompt.cpp,6,38,4,10,47,6,38,17,20,4,0,0,14,4,1,18,20,7,0,13,3,3,4,1,1,0,1,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"PromptUsernameAndPassword(const PRUnichar *,const PRUnichar *,PRUnichar **,PRUnichar **,const PRUnichar *,PRBool *,PRBool *)",src\nsPrompt.cpp,0,14,0,7,14,0,14,8,4,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"PromptUsernameAndPassword(const PRUnichar *,const PRUnichar *,const PRUnichar *,PRUint32,PRUnichar **,PRUnichar **,PRBool *)",src\nsPrompt.cpp,0,13,1,5,14,0,13,8,3,1,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"Select(const PRUnichar *,const PRUnichar *,PRUint32,const PRUnichar **,PRInt32 *,PRBool *)",src\nsPrompt.cpp,0,11,0,6,11,0,11,7,2,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"accumulate_fit(const float *,const float *,int,int,lsfit_acc *,int,vorbis_info_floor1 *)",libvorbis\lib\vorbis_floor1.c,6,43,0,9,49,6,43,6,35,0,0,0,18,8,1,34,38,3,0,35,5,5,5,1,1,0,3,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"fit_line(lsfit_acc *,int,int *,int *,vorbis_info_floor1 *)",libvorbis\lib\vorbis_floor1.c,8,50,1,21,59,8,50,10,40,1,0,0,4,136,2,38,46,8,0,38,9,9,9,1,1,0,2,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Function,"floor1_encode(oggpack_buffer *,vorbis_block *,vorbis_look_floor1 *,int *,int *)",libvorbis\lib\vorbis_floor1.c,23,156,26,28,199,23,134,39,108,26,18,4,12,11449,4,97,122,35,0,87,26,23,27,7,14,6,6,3,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Function,"floor1_fit(vorbis_block *,vorbis_look_floor1 *,const float *,const float *)",libvorbis\lib\vorbis_floor1.c,20,118,25,12,154,20,118,40,93,25,0,0,8,95712,5,95,119,37,0,82,25,25,29,11,10,7,8,4,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,floor1_free_info(vorbis_info_floor *),libtremor\lib\tremor_floor1.c,0,7,0,2,7,0,7,2,4,0,0,0,2,2,0,3,4,1,0,3,2,2,2,1,0,0,1,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,floor1_free_info(vorbis_info_floor *),libvorbis\lib\vorbis_floor1.c,0,7,0,2,7,0,7,2,4,0,0,0,2,2,0,3,4,1,0,3,2,2,2,1,0,0,1,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,floor1_free_look(vorbis_look_floor *),libtremor\lib\tremor_floor1.c,0,7,0,1,7,0,7,2,4,0,0,0,2,2,0,3,4,1,0,3,2,2,2,1,0,0,1,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,floor1_free_look(vorbis_look_floor *),libvorbis\lib\vorbis_floor1.c,1,7,4,1,12,1,7,2,4,4,0,0,2,2,0,3,4,1,0,3,2,2,2,1,0,0,1,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Function,"floor1_interpolate_fit(vorbis_block *,vorbis_look_floor1 *,int *,int *,int)",libvorbis\lib\vorbis_floor1.c,4,15,1,6,20,4,15,6,8,1,0,0,2,4,1,9,12,3,0,9,4,4,6,1,0,0,3,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"floor1_inverse1(vorbis_block *,vorbis_look_floor *)",libtremor\lib\tremor_floor1.c,13,68,5,18,86,13,68,22,54,5,0,0,6,79,2,42,54,17,1,36,14,14,14,8,20,18,5,16,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"floor1_inverse1(vorbis_block *,vorbis_look_floor *)",libvorbis\lib\vorbis_floor1.c,13,68,4,18,85,13,68,22,54,4,0,0,6,79,2,41,53,17,0,36,14,14,14,8,20,18,5,16,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"floor1_inverse2(vorbis_block *,vorbis_look_floor *,void *,float *)",libvorbis\lib\vorbis_floor1.c,6,31,4,14,40,6,31,13,24,4,0,0,3,7,1,26,30,11,0,19,9,9,9,1,1,0,3,0,0
No,f8a6601ff42aed9bc7039a35ee6d8265c0565190,Static Function,"floor1_inverse2(vorbis_block *,vorbis_look_floor *,void *,ogg_int32_t *)",libtremor\lib\tremor_floor1.c,7,31,4,13,41,7,31,13,24,4,0,0,3,7,1,26,30,11,0,19,9,9,9,1,1,0,3,0,0
