Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"Alert(const PRUnichar *,const PRUnichar *)",src\nsPrompt.cpp,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6,0,6,3,1,0,0,0,2.0,1.0,0.0,1,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"AlertCheck(const PRUnichar *,const PRUnichar *,const PRUnichar *,PRBool *)",src\nsPrompt.cpp,,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9,0,9,5,2,0,0,0,2.0,1.0,0.0,1,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"AsyncPromptAuth(nsIChannel *,nsIAuthPromptCallback *,nsISupports *,PRUint32,nsIAuthInformation *,nsICancelable **)",src\nsPrompt.cpp,,,,1,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,18,1,16,7,6,1,0,0,2.0,2.0,0.0,2,3,0,0,3,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.06,,,,
No,a714da4a56957c826a7cafa381c4d8df832172f2,Public Function,"AuthPromptWrapper::AsyncPromptAuth(nsIChannel *,nsIAuthPromptCallback *,nsISupports *,PRUint32,nsIAuthInformation *,nsICancelable **)",src\nsPrompt.cpp,,,,0,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12,0,10,7,1,2,0,0,1.0,1.0,0.0,1,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.2,,,,
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"Confirm(const PRUnichar *,const PRUnichar *,PRBool *)",src\nsPrompt.cpp,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7,0,7,4,1,0,0,0,2.0,1.0,0.0,1,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"ConfirmCheck(const PRUnichar *,const PRUnichar *,const PRUnichar *,PRBool *,PRBool *)",src\nsPrompt.cpp,,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10,0,10,6,2,0,0,0,2.0,1.0,0.0,1,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"ConfirmEx(const PRUnichar *,const PRUnichar *,PRUint32,const PRUnichar *,const PRUnichar *,const PRUnichar *,const PRUnichar *,PRBool *,PRInt32 *)",src\nsPrompt.cpp,,,,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,15,0,15,10,3,0,0,0,2.0,1.0,0.0,1,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,Init(),src\nsPrompt.cpp,,,,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9,0,7,2,3,2,0,0,3.0,1.0,0.0,3,3,0,0,3,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,0,0.0,,0.29,,,,
No,a714da4a56957c826a7cafa381c4d8df832172f2,Static Function,"MakeDialogText(nsIChannel *,nsIAuthInformation *,nsXPIDLString &)",src\nsPrompt.cpp,,,,17,75,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,97,17,75,17,54,5,0,0,30.0,84.0,2.0,52,60,14,0,46,9.0,9.0,10.0,1.0,2.0,,,,,0.0,,3,0.0,,0.07,,,,
No,a714da4a56957c826a7cafa381c4d8df832172f2,Function,"NS_NewAuthPrompter(nsIAuthPrompt **,nsIDOMWindow *)",src\nsPrompt.cpp,,,,4,36,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,47,4,36,4,27,8,0,0,12.0,11.0,1.0,18,24,2,0,22,7.0,7.0,7.0,5.0,4.0,,,,,4.0,,2,4.0,,0.22,,,,
