Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,arch_domain,include\asm-x86\domain.h,0,0,0,16,53,26,0,0,0,0,0,0,0,0,0,12,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,85,16,53,50,0,26,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,arch_vcpu,include\asm-x86\domain.h,0,0,0,13,30,35,0,0,0,0,0,0,0,0,0,7,0,0,0,1,22,0,0,22,1,1,0,0,0,0,1,71,13,30,27,0,35,0,0,26,26,0,0,0,0,0,0,0,0,100,1,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,hap_domain,include\asm-x86\domain.h,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,log_dirty_domain,include\asm-x86\domain.h,0,0,0,2,10,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,15,2,10,9,0,3,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,mapcache_domain,include\asm-x86\domain.h,0,0,0,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,16,3,9,8,0,4,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,mapcache_vcpu,include\asm-x86\domain.h,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,11,1,8,7,0,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Public Struct,mapcache_vcpu::vcpu_maphash_entry,include\asm-x86\domain.h,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,migrate_info,common\domain.c,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,7,0,7,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,paging_domain,include\asm-x86\domain.h,0,0,0,3,21,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,33,3,21,20,0,9,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,paging_mode,include\asm-x86\paging.h,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,32,1,30,29,0,1,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,paging_vcpu,include\asm-x86\domain.h,0,0,0,1,9,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,16,1,9,8,0,6,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,pv_domain,include\asm-x86\domain.h,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,7,1,5,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,pv_vcpu,include\asm-x86\domain.h,0,0,0,12,39,10,0,0,0,0,0,0,0,0,0,4,0,0,0,1,30,0,0,30,1,1,0,0,0,0,1,58,12,39,35,0,10,0,0,34,34,0,0,0,0,0,0,0,0,100,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,sh_dirty_vram,include\asm-x86\paging.h,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,7,0,7,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,shadow_domain,include\asm-x86\domain.h,0,0,0,7,16,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,31,7,16,15,0,13,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,shadow_paging_mode,include\asm-x86\paging.h,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,18,0,17,16,0,1,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,shadow_vcpu,include\asm-x86\domain.h,0,0,0,2,12,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,22,2,12,12,0,8,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,time_scale,include\asm-x86\domain.h,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,trap_bounce,include\asm-x86\domain.h,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,34155c34aec89ea0dec94c44d714c9085beb6135,Struct,migrate_info,common\domain.c,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,7,0,7,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,arch_domain,asm-x86\domain.h,0,0,0,16,53,26,0,0,0,0,0,0,0,0,0,12,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,85,16,53,50,0,26,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,arch_vcpu,asm-x86\domain.h,0,0,0,13,30,35,0,0,0,0,0,0,0,0,0,7,0,0,0,1,22,0,0,22,1,1,0,0,0,0,1,71,13,30,27,0,35,0,0,26,26,0,0,0,0,0,0,0,0,100,1,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,hap_domain,asm-x86\domain.h,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,log_dirty_domain,asm-x86\domain.h,0,0,0,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,15,2,10,9,0,3,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,mapcache_domain,asm-x86\domain.h,0,0,0,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,16,3,9,8,0,4,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,mapcache_vcpu,asm-x86\domain.h,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,11,1,8,7,0,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Public Struct,mapcache_vcpu::vcpu_maphash_entry,asm-x86\domain.h,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,paging_domain,asm-x86\domain.h,0,0,0,1,10,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,19,1,10,9,0,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,paging_vcpu,asm-x86\domain.h,0,0,0,1,9,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,16,1,9,8,0,6,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,pv_domain,asm-x86\domain.h,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,7,1,5,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,pv_vcpu,asm-x86\domain.h,0,0,0,12,39,10,0,0,0,0,0,0,0,0,0,4,0,0,0,1,30,0,0,30,1,1,0,0,0,0,1,58,12,39,35,0,10,0,0,34,34,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,shadow_domain,asm-x86\domain.h,0,0,0,7,16,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,31,7,16,15,0,13,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,shadow_vcpu,asm-x86\domain.h,0,0,0,2,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,22,2,12,12,0,8,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,time_scale,asm-x86\domain.h,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,340f8cb83013dc80ebd29ed5b743040a5a45c146,Struct,trap_bounce,asm-x86\domain.h,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,3131c990b737f9892badd3184115829f05ca1edc,Struct,paging_mode,asm-x86\paging.h,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,32,1,30,29,0,1,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
