Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,95e6d82224689fdfd967a093a4d69efc24c17e91,File,common.c,arch\x86\mm\shadow\common.c,4,28,6,503,2638,784,6,6,7,3,36,4,27,6,0,89,778,9,24,3783,491,2428,531,1642,765,112,117,832,9,41,1000134131,1274,1777,298,3,1476,107,101,109,63,7,124,1,7,215338909,0,561,516,662,282
No,95e6d82224689fdfd967a093a4d69efc24c17e91,File,domain.c,arch\x86\domain.c,5,28,3,347,1623,174,7,6,8,2,36,5,28,3,0,54,622,6,47,2134,347,1538,190,1062,174,0,85,1151,11,80,2000025784,830,1176,166,20,990,101,97,130,34,5,150,1,5,6367148151,0,381,345,454,161
No,95e6d82224689fdfd967a093a4d69efc24c17e91,File,domain.c,common\domain.c,6,23,2,300,1053,99,5,4,5,3,30,5,22,1,0,42,1044,6,27,1448,289,961,126,675,86,62,56,1472,9,59,2378876,544,733,121,3,609,34,32,37,27,3,208,1,3,1309755629,0,194,181,213,132
No,95e6d82224689fdfd967a093a4d69efc24c17e91,File,domain.h,include\asm-x86\domain.h,0,0,0,97,311,151,0,0,0,0,0,0,0,0,0,0,0,0,0,526,97,260,244,0,151,0,51,0,0,0,0,213,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,File,domctl.c,arch\x86\domctl.c,69,423,10,215,1307,46,87,70,103,41,500,69,417,10,0,3,355,59,134,1558,214,1252,87,954,46,15,41,410,68,162,4209842,632,873,82,3,788,220,169,269,121,7,18,3,7,695835884206,0,260,209,309,123
No,95e6d82224689fdfd967a093a4d69efc24c17e91,File,hap.c,arch\x86\mm\hap\hap.c,3,17,2,124,558,125,3,3,3,1,22,3,17,2,0,28,193,7,17,805,124,530,123,351,125,0,28,221,8,22,359,252,330,72,3,255,13,13,14,8,3,23,1,3,10163238,0,81,79,88,50
No,95e6d82224689fdfd967a093a4d69efc24c17e91,File,paging.c,arch\x86\mm\paging.c,4,24,2,132,634,110,6,5,6,3,30,4,24,2,0,25,318,6,21,876,132,608,74,411,110,0,26,480,9,37,1384380,311,445,62,4,379,35,35,45,15,5,79,2,5,152574207,0,140,136,162,76
No,95e6d82224689fdfd967a093a4d69efc24c17e91,File,paging.h,include\asm-x86\paging.h,1,9,0,60,226,141,2,2,2,1,9,1,8,0,0,12,138,6,11,426,60,187,111,48,141,0,39,80,3,11,48,79,102,65,0,37,5,5,5,5,2,12,0,2,373256,0,23,23,25,18
Yes,31ae587e6f0181bf1f7d196fe1b49357c8922e60,File,domain.c,x86\domain.c,5,28,3,347,1621,174,7,6,8,2,36,5,28,3,0,54,573,5,46,2132,347,1536,190,1060,174,0,85,1157,11,81,2000025782,829,1174,166,20,988,101,97,130,34,5,150,1,5,6314116926,0,380,344,453,160
Yes,a7d8ce78444dd8a5ee4d987745b6a4582ee43bf9,File,domctl.c,x86\domctl.c,69,422,10,215,1304,46,86,69,103,40,499,69,416,10,0,3,354,59,133,1555,214,1249,87,951,46,15,41,415,69,164,4209840,631,871,82,3,786,219,168,268,120,7,18,3,7,705300017092,0,259,208,308,122
