Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Static Function,__context_switch(),arch\x86\domain.c,,,,12,62,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,79,12,62,11,42,5,0,0,26.0,384.0,3.0,35.0,45,10,2,33,13.0,13.0,18.0,1.0,0.0,,,,,0.0,,3,0.0,,0.08,,,,
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Function,__domain_crash(struct domain *),common\domain.c,,,,1,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,20,1,18,1,9,1,0,0,5.0,3.0,0.0,4.0,6,0,0,6,3.0,3.0,3.0,1.0,2.0,,,,,0.0,,1,0.0,,0.06,,,,
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Function,__domain_crash_synchronous(),common\domain.c,,,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9,2,7,1,4,0,0,0,3.0,2.0,0.0,5.0,6,0,3,3,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Static Function,__domain_finalise_shutdown(struct domain *),common\domain.c,,,,4,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,19,4,15,2,11,0,0,0,7.0,3.0,0.0,7.0,9,1,0,8,3.0,3.0,4.0,1.0,2.0,,,,,0.0,,1,0.0,,0.0,,,,
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Function,"__domain_pause_by_systemcontroller(struct domain *,void (*) (struct domain *))",common\domain.c,,,,5,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,24,5,15,3,10,4,0,0,2.0,2.0,0.0,8.0,9,1,0,8,3.0,3.0,3.0,3.0,2.0,,,,,2.0,,2,2.0,,0.27,,,,
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Function,__sync_local_execstate(),arch\x86\domain.c,,,,5,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19,5,14,3,7,0,0,0,7.0,2.0,0.0,8.0,9,2,0,7,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Static Function,_domain_struct_bits(),arch\x86\domain.c,,,,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12,2,10,4,7,0,0,0,2.0,3.0,0.0,7.0,9,3,1,5,3.0,3.0,4.0,1.0,0.0,,,,,0.0,,2,0.0,,0.0,,,,
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Static Function,_free_pirq_struct(struct rcu_head *),common\domain.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4,0,4,1,1,0,0,0,2.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Static Function,"_sh_resync(struct vcpu *,mfn_t,struct oos_fixup *,mfn_t)",arch\x86\mm\shadow\common.c,,,,6,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,33,6,21,3,15,6,0,0,11.0,2.0,0.0,12.0,13,1,0,12,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.29,,,,
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Static Function,"_sh_resync_l1(struct vcpu *,mfn_t,mfn_t)",arch\x86\mm\shadow\common.c,,,,2,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15,2,12,2,9,1,0,0,8.0,4.0,1.0,6.0,9,1,0,8,4.0,4.0,4.0,1.0,2.0,,,,,0.0,,1,0.0,,0.08,,,,
