File Path,Topological Index,Neutral Git Commit Hash,Vulnerable Git Commit Hash,Last Change Git Commit Hash,CVEs
grp/initgroups.c,0,edac424073092fda118fb8514ad524d3a66a9ae6,edc8cc2a29b53fd6eeb82cd5fae14aa6bbb827dc,a334319f6530564d22e775935d9c91663623a1b4,"[""CVE-2005-3590""]"
intl/dcigettext.c,0,edac424073092fda118fb8514ad524d3a66a9ae6,edc8cc2a29b53fd6eeb82cd5fae14aa6bbb827dc,9cfe5381a17b19e6558902606a59e6ad6695e410,"[""CVE-2005-3590""]"
grp/initgroups.c,1,6c215a8d6c972ca3324107109c393f21e782fb10,9c06eb66b5b4662c22532ab03525eab46c4cf2eb,edac424073092fda118fb8514ad524d3a66a9ae6,"[""CVE-2005-3590""]"
stdio-common/printf_fphex.c,1,6c215a8d6c972ca3324107109c393f21e782fb10,9c06eb66b5b4662c22532ab03525eab46c4cf2eb,9c06eb66b5b4662c22532ab03525eab46c4cf2eb,"[""CVE-2005-3590""]"
locale/findlocale.c,2,4e8f95a0df7c2300b830ec12c0ae1e161bc8a8a3,d183645616b0533b3acee28f1a95570bffbdf50f,a1ffb40e32741f992c743e7b16c061fefa3747ac,"[""CVE-2014-0475""]"
localedata/tst-setlocale3.c,2,4e8f95a0df7c2300b830ec12c0ae1e161bc8a8a3,d183645616b0533b3acee28f1a95570bffbdf50f,,"[""CVE-2014-0475""]"
resolv/nss_dns/dns-network.c,3,11e3417af6e354f1942c68a271ae51e892b2814d,ae61fc7b33d9d99d2763c16de8275227dc9748ba,ab09bf616ad527b249aca5f2a4956fd526f0712f,"[""CVE-2014-9402""]"
posix/fnmatch_loop.c,4,4a28f4d55a6cc33474c0792fe93b5942d81bf185,524ae9ea2e3ae9f5bf5d655595fda827e9dc50a1,b168057aaacf1d149246d0eb3e84332492d35063,"[""CVE-2015-8984""]"
posix/tst-fnmatch3.c,4,4a28f4d55a6cc33474c0792fe93b5942d81bf185,524ae9ea2e3ae9f5bf5d655595fda827e9dc50a1,b168057aaacf1d149246d0eb3e84332492d35063,"[""CVE-2015-8984""]"
resolv/nss_dns/dns-host.c,5,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,2c8f75f79bd6f3f4b3400a9f1a01a75e3086006b,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,"[""CVE-2015-7547""]"
resolv/res_query.c,5,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,2c8f75f79bd6f3f4b3400a9f1a01a75e3086006b,b59d114bd1e0571fba85b3cbcc61d4f4b42f5d1b,"[""CVE-2015-7547""]"
resolv/res_send.c,5,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,2c8f75f79bd6f3f4b3400a9f1a01a75e3086006b,f2b3078e6a20211233d4971653838e06d048296a,"[""CVE-2015-7547""]"
resolv/res_send.c,6,b66d837bb5398795c6b0f651bd5a5d66091d8577,f327f5b47be57bc05a4077344b381016c1bb2c11,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,"[""CVE-2015-7547""]"
resolv/nss_dns/dns-network.c,7,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,a6033052d08027f745867e5e346852da1959226c,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,"[""CVE-2016-3075""]"
sunrpc/clnt_udp.c,8,d42eed4a044e5e10dfb885cf9891c2518a72a491,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,bc779a1a5b3035133024b21e2f339fe4219fb11c,"[""CVE-2017-12133""]"
sunrpc/tst-udp-error.c,8,d42eed4a044e5e10dfb885cf9891c2518a72a491,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,,"[""CVE-2017-12133""]"
resolv/tst-resolv-network.c,9,ac8060265bcaca61568ef3a20b9a0140a270af54,596cc360aa9f0484d6621fd9dfa5de83c3a24dc5,688903eb3ef01301d239ab753d309d45720610a7,"[""CVE-2014-9402""]"
