Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,6e0dd741a89be35defa05bd79f4211c5a2762825,Struct,sysfs_buffer,sysfs/file.c,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,8,0,8,7,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,597a7679dd83691be2f3a53e1f3f915b4a7f6eba,Struct,sysfs_buffer,sysfs/file.c,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,8,0,8,7,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,81ac95c5569d7a60ab5db6c1ccec56c12b3ebcb5,Struct,nfsd3_voidargs,fs/nfsd/nfs3proc.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,81ac95c5569d7a60ab5db6c1ccec56c12b3ebcb5,Struct,nfsd4_voidargs,fs/nfsd/nfs4proc.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,81ac95c5569d7a60ab5db6c1ccec56c12b3ebcb5,Struct,raparm_hbucket,fs/nfsd/vfs.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,81ac95c5569d7a60ab5db6c1ccec56c12b3ebcb5,Struct,raparms,fs/nfsd/vfs.c,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,9,0,9,8,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Struct,nfsd3_voidargs,fs/nfsd/nfs3proc.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Struct,nfsd4_voidargs,fs/nfsd/nfs4proc.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Struct,raparm_hbucket,fs/nfsd/vfs.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Struct,raparms,fs/nfsd/vfs.c,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,9,0,9,8,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,Struct,ablkcipher_buffer,crypto/ablkcipher.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,Struct,ahash_request_priv,crypto/ahash.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,Struct,crypto_dump_info,crypto/crypto_user.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,Struct,crypto_link,crypto/crypto_user.c,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,7eb9c5df92361c55daab4d8d4e8468eb774e297b,Struct,ablkcipher_buffer,crypto/ablkcipher.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,7eb9c5df92361c55daab4d8d4e8468eb774e297b,Struct,ahash_request_priv,crypto/ahash.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,7eb9c5df92361c55daab4d8d4e8468eb774e297b,Struct,crypto_dump_info,crypto/crypto_user.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,7eb9c5df92361c55daab4d8d4e8468eb774e297b,Struct,crypto_link,crypto/crypto_user.c,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,2d6fbfe733f35c6b355c216644e08e149c61b271,Struct,caifsock,caif/caif_socket.c,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,9,0,9,8,0,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,c8c499175f7d295ef867335bceb9a76a2c3cdc38,Struct,caifsock,caif/caif_socket.c,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,9,0,9,8,0,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,Struct,iov_iter,include/linux/uio.h,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,7,0,7,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
