File Path,Topological Index,Neutral Git Commit Hash,Vulnerable Git Commit Hash,Last Change Git Commit Hash,CVEs
tools/libxc/xc_dom_armzimageloader.c,0,2cd6bf3653a2b983c90bf3af42d199c499db4165,6d49536d844a2685a50281c5385a093a61911987,4fad2dc72a8607f50c3783e1cbcb3fb25e3af932,"[""CVE-2014-3716""]"
xen/arch/x86/domain.c,1,95e6d82224689fdfd967a093a4d69efc24c17e91,f093fcf90f420b18429dcbc6c91f9393171634ce,31ae587e6f0181bf1f7d196fe1b49357c8922e60,"[""CVE-2014-5146""]"
xen/arch/x86/domctl.c,1,95e6d82224689fdfd967a093a4d69efc24c17e91,f093fcf90f420b18429dcbc6c91f9393171634ce,a7d8ce78444dd8a5ee4d987745b6a4582ee43bf9,"[""CVE-2014-5146""]"
xen/arch/x86/mm/hap/hap.c,1,95e6d82224689fdfd967a093a4d69efc24c17e91,f093fcf90f420b18429dcbc6c91f9393171634ce,bc36a12f90c290a09ca515c20dafff6c4436d340,"[""CVE-2014-5146""]"
xen/arch/x86/mm/paging.c,1,95e6d82224689fdfd967a093a4d69efc24c17e91,f093fcf90f420b18429dcbc6c91f9393171634ce,bc36a12f90c290a09ca515c20dafff6c4436d340,"[""CVE-2014-5146""]"
xen/arch/x86/mm/shadow/common.c,1,95e6d82224689fdfd967a093a4d69efc24c17e91,f093fcf90f420b18429dcbc6c91f9393171634ce,3131c990b737f9892badd3184115829f05ca1edc,"[""CVE-2014-5146""]"
xen/common/domain.c,1,95e6d82224689fdfd967a093a4d69efc24c17e91,f093fcf90f420b18429dcbc6c91f9393171634ce,34155c34aec89ea0dec94c44d714c9085beb6135,"[""CVE-2014-5146""]"
xen/include/asm-x86/domain.h,1,95e6d82224689fdfd967a093a4d69efc24c17e91,f093fcf90f420b18429dcbc6c91f9393171634ce,340f8cb83013dc80ebd29ed5b743040a5a45c146,"[""CVE-2014-5146""]"
xen/include/asm-x86/paging.h,1,95e6d82224689fdfd967a093a4d69efc24c17e91,f093fcf90f420b18429dcbc6c91f9393171634ce,3131c990b737f9892badd3184115829f05ca1edc,"[""CVE-2014-5146""]"
xen/common/event_fifo.c,2,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,0561e1f01e87b777bcc47971e4ae1f420314f4a0,400b3bd6426f3334e47f16d55fd42f438d7fe6fa,"[""CVE-2014-6268""]"
xen/arch/x86/x86_emulate/x86_emulate.c,3,0e442727ceccfa32a7276cccd205b4722e68fdc1,46a49b91f1026f64430b84dd83e845a33f06415e,3af450fd2d9403f208d3ac6459716f027b8597ad,"[""CVE-2014-7155""]"
xen/arch/x86/domain.c,4,070493dfd2788e061b53f074b7ba97507fbcbf65,5a3eef4fbf7b16fb499c17021625bc997ef8bebd,0f67514c855299ad59bb18a91cb9ae1016a6e63b,"[""CVE-2014-5146""]"
xen/arch/x86/domctl.c,4,070493dfd2788e061b53f074b7ba97507fbcbf65,5a3eef4fbf7b16fb499c17021625bc997ef8bebd,213fd25109a3996615b5b227a0a76835e3e90a10,"[""CVE-2014-5146""]"
xen/arch/x86/hvm/hvm.c,4,070493dfd2788e061b53f074b7ba97507fbcbf65,5a3eef4fbf7b16fb499c17021625bc997ef8bebd,61fdda7acf3de11f3d50d50e5b4f4ecfac7e0d04,"[""CVE-2014-5146""]"
xen/arch/x86/mm/paging.c,4,070493dfd2788e061b53f074b7ba97507fbcbf65,5a3eef4fbf7b16fb499c17021625bc997ef8bebd,974516cc54e627efea424f963ebd644dc54b55ea,"[""CVE-2014-5146""]"
xen/common/domain.c,4,070493dfd2788e061b53f074b7ba97507fbcbf65,5a3eef4fbf7b16fb499c17021625bc997ef8bebd,aa673e9fa00c1f1fa90dfd531c89078b7afef7d3,"[""CVE-2014-5146""]"
xen/include/asm-x86/domain.h,4,070493dfd2788e061b53f074b7ba97507fbcbf65,5a3eef4fbf7b16fb499c17021625bc997ef8bebd,1e71f2d7418dfdcf6356e4be8e9311ea607a1877,"[""CVE-2014-5146""]"
xen/include/asm-x86/paging.h,4,070493dfd2788e061b53f074b7ba97507fbcbf65,5a3eef4fbf7b16fb499c17021625bc997ef8bebd,974516cc54e627efea424f963ebd644dc54b55ea,"[""CVE-2014-5146""]"
tools/libxl/libxl_dm.c,5,91b0ae9db33f72468b1d411a07f53085c893c097,156e90e8f9ad74c7f91633630a882bdbb6caf5ff,7f0638e914a542f20e8bb369dd476dfc6c020f0a,"[""CVE-2015-2152""]"
tools/libxl/libxl_create.c,6,40412e3c99722229f1ec93cd95fc8486d778f5df,eedecb3cf0b2ce1ffc2eb08f3c73f88d42c382c9,0d0f28455d9c019475575d7a36f3c98fa4f0342d,"[""CVE-2015-8341""]"
