Vulnerable,Git Commit Hash,Affected Functions,Affected Classes,File,Line,Column,Severity,Rule,CWE,Message
No,e4dccc73a36f06f269c8bdc81fe58f8da9ff43fb,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,f9a7931b0d268ac57f585d67fc11be7c21f0f9da,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,481dddb63b1fac2368c8e8be109babee0b1ca171,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
No,c429d90b6d6fb4885fa358b35b2338a697ce7973,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,e4dccc73a36f06f269c8bdc81fe58f8da9ff43fb,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
No,0527125a6aae58a7eee8078184fced49dc2422ef,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,c429d90b6d6fb4885fa358b35b2338a697ce7973,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
No,0dbc6af04f990c60e26c0898e02d5b741b9fcb20,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,0527125a6aae58a7eee8078184fced49dc2422ef,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
No,7e03b128e0347b83f2b81697e2ad1e17c0682727,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,0dbc6af04f990c60e26c0898e02d5b741b9fcb20,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
No,eaccadee0122476fda2f02137e5f26ed6a64675f,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,7e03b128e0347b83f2b81697e2ad1e17c0682727,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
No,ca04e01490acc333b43cfc784751d09134e65e18,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,eaccadee0122476fda2f02137e5f26ed6a64675f,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
No,624c8621764630e812154df9ce78d4f1eadfada1,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,4f79473898bad5b311646b3a64e9892cd2993099,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
No,03273df2ecbe04bdb16dab1b6dacf8175a0fe84a,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,624c8621764630e812154df9ce78d4f1eadfada1,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,b2405fed195ae7020fc876fc688b0ec85405146c,"[{""Name"": ""elf_load_bsdsyms(struct elf_binary *)"", ""Begin Line"": 206, ""End Line"": 413}]",,xen/common/libelf/libelf-loader.c,288,5,error,autoVariables,562,Address of local auto-variable assigned to a function parameter.
