Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,2cd6bf3653a2b983c90bf3af42d199c499db4165,Struct,minimal_dtb_header,libxc/xc_dom_armzimageloader.c,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,4,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,2cd6bf3653a2b983c90bf3af42d199c499db4165,Struct,zimage64_hdr,libxc/xc_dom_armzimageloader.c,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,13,0,12,11,0,2,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,6d49536d844a2685a50281c5385a093a61911987,Struct,minimal_dtb_header,libxc/xc_dom_armzimageloader.c,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,4,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,6d49536d844a2685a50281c5385a093a61911987,Struct,zimage64_hdr,libxc/xc_dom_armzimageloader.c,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,13,0,12,11,0,2,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,arch_domain,include/asm-x86/domain.h,0,0,0,16,53,26,0,0,0,0,0,0,0,0,0,12,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,85,16,53,50,0,26,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,arch_vcpu,include/asm-x86/domain.h,0,0,0,13,30,35,0,0,0,0,0,0,0,0,0,7,0,0,0,1,22,0,0,22,1,1,0,0,0,0,1,71,13,30,27,0,35,0,0,26,26,0,0,0,0,0,0,0,0,100,1,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,hap_domain,include/asm-x86/domain.h,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,log_dirty_domain,include/asm-x86/domain.h,0,0,0,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,15,2,10,9,0,3,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,mapcache_domain,include/asm-x86/domain.h,0,0,0,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,16,3,9,8,0,4,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,95e6d82224689fdfd967a093a4d69efc24c17e91,Struct,mapcache_vcpu,include/asm-x86/domain.h,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,11,1,8,7,0,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
